,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,14184905.272727273,24766.090909090908,11,156033958.0,272427.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20753696.0,27598.0,752.0,19472868.0,26386.0,738.0,10815900.0,23260.0,465.0,13244130.0,23735.0,558.0,14679405.0,25093.0,585.0,19420400.0,25825.0,752.0,16693350.0,25525.0,654.0,11162098.0,23953.0,466.0,7858772.0,23671.0,332.0,7697364.0,23046.0,334.0,14235975.0,24335.0,585.0,-0.018042741048894917,-0.01817847630923597
2019-1-15,13835042.272727273,24153.18181818182,11,152185465.0,265685.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20177663.999999996,26832.0,752.0,19132650.0,25925.0,738.0,10527135.0,22639.0,465.0,12921606.0,23157.0,558.0,14286285.0,24421.0,585.0,18909792.0,25146.0,752.0,16224432.0,24808.0,654.0,10940748.0,23478.0,466.0,7648616.0,23038.0,332.0,7497632.0,22448.0,334.0,13918905.0,23793.0,585.0,0.04248973366357611,0.04248248044008829
2018-12-15,13271154.454545455,23168.909090909092,11,145982699.0,254858.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",19354223.999999996,25737.0,752.0,18351846.0,24867.0,738.0,10098405.0,21717.0,465.0,12394854.0,22213.0,558.0,13704795.0,23427.0,585.0,18141248.0,24124.0,752.0,15560622.0,23793.0,654.0,10493854.0,22519.0,466.0,7336868.0,22099.0,332.0,7193358.0,21537.0,334.0,13352625.0,22825.0,585.0,-0.07168806309387721,-0.07169420960803663
2018-11-15,14296007.545454545,24958.272727272728,11,157256083.0,274541.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20848448.0,27724.0,752.0,19768806.0,26787.0,738.0,10878675.0,23395.0,465.0,13351824.0,23928.0,558.0,14763060.0,25236.0,585.0,19544480.0,25990.0,752.0,16758750.0,25625.0,654.0,11302830.0,24255.0,466.0,7903924.0,23807.0,332.0,7750136.0,23204.0,334.0,14385150.0,24590.0,585.0,0.02783921462186667,0.027835391193009595
2018-10-15,13908797.545454545,24282.363636363636,11,152996773.0,267106.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",20282944.0,26972.0,752.0,19233018.0,26061.0,738.0,10584330.0,22762.0,465.0,12990240.0,23280.0,558.0,14363505.0,24553.0,585.0,19017328.0,25289.0,752.0,16302258.0,24927.0,654.0,10995270.0,23595.0,466.0,7689784.0,23162.0,332.0,7541385.999999999,22579.0,334.0,13996710.0,23926.0,585.0,-0.04283142567072662,-0.04284009589301274
2018-9-15,14531189.090909092,25369.18181818182,11,159843080.0,279061.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21189104.0,28177.0,752.0,20093526.0,27227.0,738.0,11058630.0,23782.0,465.0,13571676.0,24322.0,558.0,15007005.0,25653.0,585.0,19870096.0,26423.0,752.0,17028198.0,26037.0,654.0,11485968.0,24648.0,466.0,8034400.0,24200.0,332.0,7880062.0,23593.0,334.0,14624415.0,24999.0,585.0,-0.049209898776234606,-0.049215348238196066
2018-8-15,15283277.636363637,26682.363636363636,11,168116054.0,293506.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",22285520.0,29635.0,752.0,21132630.0,28635.0,738.0,11631045.0,25013.0,465.0,14274198.0,25581.0,558.0,15783885.0,26981.0,585.0,20901088.0,27794.0,752.0,17905866.0,27379.0,654.0,12078720.0,25920.0,466.0,8450396.0,25453.0,332.0,8289546.0,24819.0,334.0,15383160.0,26296.0,585.0,9.848333932271913e-05,9.199976829687984e-05
2018-7-15,15281772.636363637,26679.909090909092,11,168099499.0,293479.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",22282512.0,29631.0,752.0,21130416.0,28632.0,738.0,11630580.0,25012.0,465.0,14272524.0,25578.0,558.0,15782715.0,26979.0,585.0,20901088.0,27794.0,752.0,17900634.0,27371.0,654.0,12075924.0,25914.0,466.0,8449732.0,25451.0,332.0,8290214.0,24821.0,334.0,15383160.0,26296.0,585.0,0.0384084460898364,0.03840057178037415
2018-6-15,14716533.454545455,25693.272727272728,11,161881868.0,282626.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21456816.0,28533.0,752.0,20348136.0,27572.0,738.0,11200920.0,24088.0,465.0,13744656.0,24632.0,558.0,15199470.0,25982.0,585.0,20130288.0,26769.0,752.0,17235516.0,26354.0,654.0,11628098.0,24953.0,466.0,8137320.0,24510.0,332.0,7984938.0,23907.0,334.0,14815710.0,25326.0,585.0,0.005545630727927131,0.005539565017842696
2018-5-15,14635371.090909092,25551.727272727272,11,160989082.0,281069.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21338000.0,28375.0,752.0,20235222.0,27419.0,738.0,11139540.0,23956.0,465.0,13668768.0,24496.0,558.0,15115815.0,25839.0,585.0,20022000.0,26625.0,752.0,17136762.0,26203.0,654.0,11562392.0,24812.0,466.0,8092832.0,24376.0,332.0,7942186.0,23779.0,334.0,14735565.0,25189.0,585.0,0.0016129052327806814,0.001607167038465196
2018-4-15,14611803.636363637,25510.727272727272,11,160729840.0,280618.0,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",21302656.0,28328.0,752.0,20202012.0,27374.0,738.0,11121869.999999998,23918.0,465.0,13647006.0,24457.0,558.0,15092415.0,25799.0,585.0,19991920.0,26585.0,752.0,17106024.0,26156.0,654.0,11541888.0,24768.0,466.0,8079884.0,24337.0,332.0,7930830.0,23745.0,334.0,14713335.0,25151.0,585.0,,
2018-3-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2018-2-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2018-1-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-12-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-11-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-10-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-9-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-8-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-7-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-6-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-5-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-4-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-3-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-2-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2017-1-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-12-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-11-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-10-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-9-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-8-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-7-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-6-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-5-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-4-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-3-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-2-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
2016-1-15,,,11,,,6221,"UPPER RIVERBANK(Block 2),MUK TAI ST|尚．珒溋2座,沐泰街",,,752.0,,,738.0,,,465.0,,,558.0,,,585.0,,,752.0,,,654.0,,,466.0,,,332.0,,,334.0,,,585.0,,
