,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_E1,npsf_E1,nfa_E1,lumpSum_E2,npsf_E2,nfa_E2,lumpSum_E3,npsf_E3,nfa_E3,lumpSum_E4,npsf_E4,nfa_E4,lumpSum_change,npsf_change
2019-12-15,107903778.28571428,53860.142857142855,7,755326448,377021,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",84896326.0,51703.0,1642.0,84896326.0,51703.0,1642.0,84896326.0,51703.0,1642.0,189217645.0,58745.0,3221.0,134466785.0,58337.0,2305.0,88476520.0,52415.0,1688.0,88476520.0,52415.0,1688.0,-0.06371663666320104,-0.06373684772540456
2018-11-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-10-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-9-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-8-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-7-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-6-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-5-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-4-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-3-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-2-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2018-1-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-12-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-11-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-10-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-9-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-8-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-7-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-6-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-5-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-4-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-3-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-2-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2017-1-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-12-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-11-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-10-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-9-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-8-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-7-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-6-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-5-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-4-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-3-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-2-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
2016-1-15,,,7,,,13828,"GOODVIEW GDN(Block E),STUBBS RD|豐景台E座,司徒拔道",,,1642.0,,,1642.0,,,1642.0,,,3221.0,,,2305.0,,,1688.0,,,1688.0,,
