,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6412831.25,13389.375,8,51302650.0,107115.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8687675.0,13025.0,667.0,4747264.0,15616.0,304.0,7513373.0,13489.0,557.0,5500747.0,13319.0,413.0,8059430.0,12029.0,670.0,5729913.0,13419.0,427.0,5598405.0,13235.0,423.0,5465843.0,12983.0,421.0,-0.0003553523928766511,-0.00033597446594058056
2019-1-15,5954684.375,12430.0,8,47637475.0,99440.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",8082706.0,12118.0,667.0,4406480.0,14495.0,304.0,6990907.0,12551.0,557.0,5104267.0,12359.0,413.0,7482560.0,11168.0,670.0,5316577.0,12451.0,427.0,5185980.0,12260.0,423.0,5067998.0,12038.0,421.0,0.05634448536554948,0.05636645632821291
2018-12-15,5637066.75,11766.75,8,45096534.0,94134.0,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",7653158.0,11474.0,667.0,4171488.0,13722.0,304.0,6619388.0,11884.0,557.0,4831274.0,11698.0,413.0,7083240.0,10572.0,670.0,5032622.0,11786.0,427.0,4908069.0,11603.0,423.0,4797295.0,11395.0,421.0,,
2018-11-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-10-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-9-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-8-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-7-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-6-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-5-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-4-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-3-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-2-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2018-1-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-12-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-11-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-10-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-9-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-8-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-7-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-6-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-5-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-4-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-3-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-2-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2017-1-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-12-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-11-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-10-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-9-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-8-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-7-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-6-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-5-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-4-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-3-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-2-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
2016-1-15,,,8,,,3882,"WETLAND SEASONS PARK(Phase 2),Block 12,WETLAND PARK RD|WETLAND SEASONS PARK2期,12座,濕地公園路",,,667.0,,,304.0,,,557.0,,,413.0,,,670.0,,,427.0,,,423.0,,,421.0,,
