,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,12514760.0,13603.0,1,12514760.0,13603,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",12514760.0,13603.0,920.0,0.029594308204662356,0.029594308204662356
2018-1-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-2-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-3-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-4-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-5-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-6-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-7-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-8-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-9-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-10-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-11-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2018-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-1-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-2-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-3-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-4-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-5-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-6-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-7-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-8-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-9-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-10-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-11-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2019-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2020-1-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2020-2-15,15378720.0,16716.0,1,15378720.0,16716,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15378720.0,16716.0,920.0,-0.03174235403151071,-0.03174235403151071
2020-3-15,15882880.0,17264.0,1,15882880.0,17264,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15882880.0,17264.0,920.0,0.02293061563074006,0.02293061563074006
2020-4-15,15526840.0,16877.0,1,15526840.0,16877,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15526840.0,16877.0,920.0,-0.03272581384685924,-0.03272581384685924
2020-5-15,16052160.0,17448.0,1,16052160.0,17448,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",16052160.0,17448.0,920.0,0.015658653006577872,0.015658653006577872
2020-6-15,15804680.0,17179.0,1,15804680.0,17179,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15804680.0,17179.0,920.0,-0.0018012783265543009,-0.0018012783265543009
2020-7-15,15833200.0,17210.0,1,15833200.0,17210,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15833200.0,17210.0,920.0,0.030353828653535198,0.030353828653535198
2020-8-15,15366760.0,16703.0,1,15366760.0,16703,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15366760.0,16703.0,920.0,-0.03662475487368788,-0.03662475487368788
2020-9-15,15950960.0,17338.0,1,15950960.0,17338,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15950960.0,17338.0,920.0,0.011021050790133602,0.011021050790133602
2020-10-15,15777080.0,17149.0,1,15777080.0,17149,920.0,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",15777080.0,17149.0,920.0,,
2020-11-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2020-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-1-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-2-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-3-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-4-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-5-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-6-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-7-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-8-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-9-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-10-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-11-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2021-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-1-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-2-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-3-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-4-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-5-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-6-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-7-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-8-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-9-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-10-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-11-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
2022-12-15,,,1,,,,"GRAND COURT,BABINGTON PATH|格蘭閣,巴丙頓道",,,,,
