,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",73447990.0,39277.0,1870.0,,,3657.0,69660834.0,38982.0,1787.0,,
2018-9-15,80853176.0,32121.333333333332,3,242559528.0,96364.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",56417900.0,30170.0,1870.0,132694245.0,36285.0,3657.0,53447383.0,29909.0,1787.0,0.04941408327948493,0.049430982847808336
2018-8-15,77046017.66666667,30608.333333333332,3,231138053.0,91825.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",53755020.0,28746.0,1870.0,126451746.0,34578.0,3657.0,50931287.0,28501.0,1787.0,-0.060786545759991206,-0.06076754699997966
2018-7-15,82032489.33333333,32588.666666666668,3,246097468.0,97766.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",57225740.0,30602.0,1870.0,134643426.0,36818.0,3657.0,54228302.0,30346.0,1787.0,0.09651522983538752,0.09653540304399999
2018-6-15,74811992.66666667,29719.666666666668,3,224435978.0,89159.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",52182350.0,27905.0,1870.0,122798403.0,33579.0,3657.0,49455225.0,27675.0,1787.0,0.009749734910075247,0.009762506087409584
2018-5-15,74089638.33333333,29432.333333333332,3,222268915.0,88297.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",51671840.0,27632.0,1870.0,121617192.0,33256.0,3657.0,48979883.0,27409.0,1787.0,0.05784536801993512,0.30316134364484326
2018-4-15,70038249.98734324,22585.333333333332,3,210114749.9620297,67756.0,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",54397692.105463214,22860.0,1870.0,104868526.23663254,22535.0,3657.0,50848531.61993393,22361.0,1787.0,,
2018-3-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2018-2-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2018-1-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-12-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-11-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-10-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-9-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-8-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-7-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-6-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-5-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-4-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-3-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-2-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2017-1-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-12-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-11-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-10-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-9-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-8-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-7-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-6-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-5-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-4-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-3-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-2-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
2016-1-15,,,3,,,7314.0,"MARINA SOUTH(Block 1),AP LEI CHAU DR|南區．左岸1座,鴨利洲徑",,,1870.0,,,3657.0,,,1787.0,,
