,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_change,npsf_change
2016-1-15,67195015.0,27863.5,2,134390030.0,55727,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",72580226.0,28474.0,2549.0,61809804.0,27253.0,2268.0,0.029579043153471707,0.029579130177733504
2017-4-15,75569279.5,31336.0,2,151138559.0,62672,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",81626627.0,32023.0,2549.0,69511932.0,30649.0,2268.0,-0.013783765911664858,-0.013784855542267271
2017-5-15,76625467.0,31774.0,2,153250934.0,63548,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",82766030.0,32470.0,2549.0,70484904.0,31078.0,2268.0,-0.04149446195449824,-0.04149383851943467
2017-6-15,79942644.0,33149.5,2,159885288.0,66299,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",86349924.0,33876.0,2549.0,73535364.0,32423.0,2268.0,0.018966521830307448,0.018965649734880463
2017-7-15,78454632.5,32532.5,2,156909265.0,65065,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",84741505.0,33245.0,2549.0,72167760.0,31820.0,2268.0,-0.0008606291027642987,-0.0008599376545200821
2017-8-15,78522211.0,32560.5,2,157044422.0,65121,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",84815426.0,33274.0,2549.0,72228996.0,31847.0,2268.0,-0.003808681566687011,-0.0038090867370352832
2017-9-15,78822420.5,32685.0,2,157644841.0,65370,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",85139149.0,33401.0,2549.0,72505692.0,31969.0,2268.0,0.007365659111909784,0.007366085187696436
2017-10-15,78246086.5,32446.0,2,156492173.0,64892,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",84517193.0,33157.0,2549.0,71974980.0,31735.0,2268.0,-0.020675481975200194,-0.020675500286740478
2017-11-15,79898016.5,33131.0,2,159796033.0,66262,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",86301493.0,33857.0,2549.0,73494540.0,32405.0,2268.0,-0.029668135349183222,-0.029668462980318666
2017-12-15,82340918.0,34144.0,2,164681836.0,68288,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",88939708.0,34892.0,2549.0,75742128.0,33396.0,2268.0,0.01089520242146591,0.010895310279488424
2018-1-15,81453466.0,33776.0,2,162906932.0,67552,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",87981284.0,34516.0,2549.0,74925648.0,33036.0,2268.0,-0.02226106976940545,-0.022260819221305517
2018-2-15,83307991.0,34545.0,2,166615982.0,69090,4817.0,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",89984798.0,35302.0,2549.0,76631184.0,33788.0,2268.0,,
2018-3-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-4-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-5-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-6-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-7-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-8-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-9-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-10-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-11-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2018-12-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-1-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-2-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-3-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-4-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-5-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-6-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-7-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-8-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-9-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-10-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-11-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2019-12-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-1-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-2-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-3-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-4-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-5-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-6-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-7-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-8-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-9-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-10-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-11-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2020-12-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-1-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-2-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-3-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-4-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-5-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-6-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-7-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-8-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-9-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-10-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-11-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2021-12-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-1-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-2-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-3-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-4-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-5-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-6-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-7-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-8-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-9-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-10-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-11-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
2022-12-15,,,2,,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",,,,,,,,
