,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,33549397.5,20511.5,2,67098795.0,41023.0,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",32902395.0,20373.0,1615.0,34196400.0,20650.0,1656.0,-0.02027586460857045,-0.020276079480320952
2018-2-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2018-1-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-12-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-11-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-10-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-9-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-8-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-7-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-6-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-5-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-4-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-3-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-2-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2017-1-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-12-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-11-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-10-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-9-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-8-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-7-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-6-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-5-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-4-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-3-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-2-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
2016-1-15,,,2,,,3271,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,
