,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7632363.666666667,15256.5,6,45794182.0,91539.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8634435.0,15843.0,545.0,8051850.000000001,15425.0,522.0,6319400.0,16630.0,380.0,9176908.0,15346.0,598.0,7032959.999999999,14208.0,495.0,6578629.0,14087.0,467.0,-0.04988713797864486,-0.04988323213451662
2019-1-15,7486485.833333333,14987.333333333334,6,44918915.0,89924.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8539605.0,15669.0,545.0,7967285.999999999,15263.0,522.0,6258600.0,16470.0,380.0,8681764.0,14518.0,598.0,6961680.0,14064.0,495.0,6509980.0,13940.0,467.0,0.03979742534660957,0.03978816646046046
2018-12-15,7199946.5,14413.833333333334,6,43199679.0,86483.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8212060.0,15068.0,545.0,7661916.000000001,14678.0,522.0,6019960.0,15842.0,380.0,8349276.0,13962.0,598.0,6695865.0,13527.0,495.0,6260602.0,13406.0,467.0,-0.035359732324627635,-0.03536930867557497
2018-11-15,7463866.833333333,14942.333333333334,6,44783201.0,89654.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8512355.0,15619.0,545.0,7942230.0,15215.0,522.0,6241880.000000001,16426.0,380.0,8655452.0,14474.0,598.0,6941385.0,14023.0,495.0,6489898.999999999,13897.0,467.0,0.03335847936131642,0.033344475052154765
2018-10-15,7222921.166666667,14460.166666666666,6,43337527.0,86761.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8236585.0,15113.0,545.0,7685406.0,14723.0,522.0,6041619.999999999,15899.0,380.0,8375588.0,14006.0,598.0,6717645.0,13571.0,495.0,6280683.0,13449.0,467.0,-0.10740711066806174,-0.10741548527808076
2018-9-15,8092066.666666667,16200.333333333334,6,48552400.0,97202.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9226849.999999998,16930.0,545.0,8609868.0,16494.0,522.0,6769700.0,17815.0,380.0,9383218.0,15691.0,598.0,7526475.0,15205.0,495.0,7036289.0,15067.0,467.0,0.0017115112770842433,0.0017003823283900932
2018-8-15,8078240.666666667,16172.833333333334,6,48469444.0,97037.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9209955.0,16899.0,545.0,8594730.0,16465.0,522.0,6759440.0,17788.0,380.0,9367072.0,15664.0,598.0,7514100.0,15180.0,495.0,7024147.0,15041.0,467.0,0.006972999247701228,0.006963036755702312
2018-7-15,8022301.166666667,16061.0,6,48133807.0,96366.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9145645.0,16781.0,545.0,8534700.0,16350.0,522.0,6713840.0,17668.0,380.0,9301890.0,15555.0,598.0,7462620.0,15076.0,495.0,6975112.0,14936.0,467.0,0.014990025079847369,0.014977249747219368
2018-6-15,7903822.666666667,15824.0,6,47422936.0,94944.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9009395.0,16531.0,545.0,8408376.0,16108.0,522.0,6616180.0,17411.0,380.0,9164350.0,15325.0,598.0,7352730.0,14854.0,495.0,6871905.000000001,14715.0,467.0,0.025757197495092532,0.025745184256868336
2018-5-15,7705354.333333333,15426.833333333334,6,46232126.0,92561.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8782130.0,16114.0,545.0,8196444.0,15702.0,522.0,6451260.0,16977.0,380.0,8934120.0,14940.0,598.0,7168590.000000001,14482.0,495.0,6699582.0,14346.0,467.0,0.002904079683887284,0.002892929117819243
2018-4-15,7683042.166666667,15382.333333333334,6,46098253.0,92294.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8755970.0,16066.0,545.0,8172432.0,15656.0,522.0,6433780.0,16931.0,380.0,8907808.0,14896.0,598.0,7148295.0,14441.0,495.0,6679968.0,14304.0,467.0,0.03774677951446259,0.03773415188108564
2018-3-15,7403580.833333333,14823.0,6,44421485.0,88938.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8436600.0,15480.0,545.0,7874892.0,15086.0,522.0,6201220.0,16319.0,380.0,8583692.0,14354.0,598.0,6888420.0,13916.0,495.0,6436661.0,13783.0,467.0,,
2018-2-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2018-1-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-12-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-11-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-10-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-9-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-8-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-7-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-6-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-5-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-4-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-3-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-2-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-1-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-12-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-11-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-10-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-9-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-8-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-7-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-6-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-5-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-4-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-3-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-2-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-1-15,,,6,,,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
