,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7540673.166666667,15077.833333333334,6,45244039.0,90467.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8761965.0,16077.0,545.0,8051850.000000001,15425.0,522.0,6264300.0,16485.0,380.0,8845616.0,14792.0,598.0,6894855.0,13929.0,495.0,6425453.0,13759.0,467.0,-0.023510869928604516,-0.024077929643253948
2019-1-15,7370677.166666667,14743.833333333334,6,44224063.0,88463.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8539605.0,15669.0,545.0,7967285.999999999,15263.0,522.0,6085700.0,16015.0,380.0,8489208.0,14196.0,598.0,6785460.0,13708.0,495.0,6356804.0,13612.0,467.0,0.038920464883356765,0.03884680876049562
2018-12-15,7094553.833333333,14192.5,6,42567323.0,85155.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8212060.0,15068.0,545.0,7661916.000000001,14678.0,522.0,5853140.0,15403.0,380.0,8163298.0,13651.0,598.0,6525585.0,13183.0,495.0,6151324.0,13172.0,467.0,-0.010619806066497595,-0.011595515008008928
2018-11-15,7170705.333333333,14359.0,6,43024232.0,86154.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8512355.0,15619.0,545.0,6881526.0,13183.0,522.0,6068220.0,15969.0,380.0,8461700.0,14150.0,598.0,6764175.0,13665.0,495.0,6336256.0,13568.0,467.0,0.007649206938399322,0.00862825901167219
2018-10-15,7116271.5,14236.166666666666,6,42697629.0,85417.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8236585.0,15113.0,545.0,7685406.0,14723.0,522.0,5872900.0,15455.0,380.0,8187816.0,13692.0,598.0,6545385.0,13223.0,495.0,6169537.000000001,13211.0,467.0,-0.0852587866254495,-0.0862244188409984
2018-9-15,7779546.166666667,15579.5,6,46677277.0,93477.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9226849.999999998,16930.0,545.0,7454160.0,14280.0,522.0,6580080.0,17316.0,380.0,9172124.0,15338.0,598.0,7332930.0,14814.0,495.0,6911133.0,14799.0,467.0,0.002767977232831509,0.0028214645868647192
2018-8-15,7758072.0,15535.666666666666,6,46548432.0,93214.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9209955.0,16899.0,545.0,7437978.0,14249.0,522.0,6569060.0,17287.0,380.0,9155380.0,15310.0,598.0,7319565.0,14787.0,495.0,6856494.0,14682.0,467.0,-0.01825611610133604,-0.01728972947898877
2018-7-15,7902338.0,15809.0,6,47414028.0,94854.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9145645.0,16781.0,545.0,8534700.0,16350.0,522.0,6524220.000000001,17169.0,380.0,9091394.0,15203.0,598.0,7268580.0,14684.0,495.0,6849489.0,14667.0,467.0,0.015946215006909847,0.016002570694087392
2018-6-15,7778303.5,15560.0,6,46669821.0,93360.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9009395.0,16531.0,545.0,8408376.0,16108.0,522.0,6428080.0,16916.0,380.0,8956246.0,14977.0,598.0,7160670.0,14466.0,495.0,6707054.0,14362.0,467.0,0.024945246916230568,0.024875403429424514
2018-5-15,7588994.166666667,15182.333333333334,6,45533965.0,91094.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8782130.0,16114.0,545.0,8196444.0,15702.0,522.0,6267340.0,16493.0,380.0,8730800.0,14600.0,598.0,6980490.0,14102.0,495.0,6576761.0,14083.0,467.0,0.003814781282118096,0.003868066958332861
2018-4-15,7560153.833333333,15123.833333333334,6,45360923.0,90743.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8755970.0,16066.0,545.0,8172432.0,15656.0,522.0,6249480.0,16446.0,380.0,8704488.0,14556.0,598.0,6959700.0,14060.0,495.0,6518853.0,13959.0,467.0,0.037806194643454916,0.03779821130400984
2018-3-15,7284745.333333333,14573.0,6,43708472.0,87438.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8436600.0,15480.0,545.0,7874892.0,15086.0,522.0,6022619.999999999,15849.0,380.0,8386950.0,14025.0,598.0,6706260.0,13548.0,495.0,6281150.000000001,13450.0,467.0,,
2018-2-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2018-1-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-12-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-11-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-10-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-9-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-8-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-7-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-6-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-5-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-4-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-3-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-2-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-1-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-12-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-11-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-10-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-9-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-8-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-7-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-6-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-5-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-4-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-3-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-2-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-1-15,,,6,,,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
