,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10122412.5,14665.5,4,40489650.0,58662.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11131040.0,15248.0,730.0,12220401.0,15143.0,807.0,9976680.0,13320.0,749.0,7161529.0,14951.0,479.0,-0.04992101652243641,-0.049931168515669255
2019-1-15,10008172.5,14500.25,4,40032690.0,58001.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11001830.0,15071.0,730.0,12076755.0,14965.0,807.0,9872569.0,13181.0,749.0,7081535.999999999,14784.0,479.0,0.03994659247234211,0.03994764491779179
2018-12-15,9623737.0,13943.25,4,38494948.0,55773.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",10578430.0,14491.0,730.0,11612730.0,14390.0,807.0,9494324.0,12676.0,749.0,6809464.0,14216.0,479.0,-0.03521917183372514,-0.035219429500596755
2018-11-15,9975050.0,14452.25,4,39900200.0,57809.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",10963870.0,15019.0,730.0,12036405.0,14915.0,807.0,9841860.0,13140.0,749.0,7058065.0,14735.0,479.0,0.0334881373381255,0.0334846967963387
2018-10-15,9651828.25,13984.0,4,38607313.0,55936.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",10607630.0,14531.0,730.0,11645817.0,14431.0,807.0,9524284.0,12716.0,749.0,6829582.0,14258.0,479.0,-0.10728300813797886,-0.10728079415238279
2018-9-15,10811744.75,15664.5,4,43246979.0,62658.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11882210.0,16277.0,730.0,13045155.0,16165.0,807.0,10669505.0,14245.0,749.0,7650109.0,15971.0,479.0,0.001868702525770427,0.0018707727730609136
2018-8-15,10791578.5,15635.25,4,43166314.0,62541.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11858850.0,16245.0,730.0,13020945.0,16135.0,807.0,10650780.0,14220.0,749.0,7635739.0,15941.0,479.0,0.0071054945013924176,0.0071014492753622704
2018-7-15,10715440.0,15525.0,4,42861760.0,62100.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11774900.0,16130.0,730.0,12928140.0,16020.0,807.0,10576629.0,14121.0,749.0,7582091.0,15829.0,479.0,0.015148371247583947,0.01515374429895533
2018-6-15,10555540.75,15293.25,4,42222163.0,61173.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11598240.0,15888.0,730.0,12735267.0,15781.0,807.0,10420088.0,13912.0,749.0,7468568.0,15592.0,479.0,0.025878936645186146,0.025876236793560325
2018-5-15,10289265.5,14907.5,4,41157062.0,59630.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11304780.0,15486.0,730.0,12413274.0,15382.0,807.0,10158687.0,13563.0,749.0,7280321.0,15199.0,479.0,0.0030769314758642974,0.0030783723316567535
2018-4-15,10257703.25,14861.75,4,41030813.0,59447.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11269740.0,15438.0,730.0,12374538.0,15334.0,807.0,10128727.0,13523.0,749.0,7257808.0,15152.0,479.0,0.03790606764357429,0.037904183253020474
2018-3-15,9883074.75,14319.0,4,39532299.0,57276.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",10857290.000000002,14873.0,730.0,11922618.000000002,14774.0,807.0,9759470.0,13030.0,749.0,6992921.0,14599.0,479.0,,
2018-2-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2018-1-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-12-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-11-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-10-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-9-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-8-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-7-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-6-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-5-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-4-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-3-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-2-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-1-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-12-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-11-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-10-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-9-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-8-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-7-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-6-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-5-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-4-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-3-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-2-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-1-15,,,4,,,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
