,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7681268.75,30182.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6516097.000000001,32099.0,203.0,9508203.0,30573.0,311.0,8445330.0,27243.0,310.0,6255445.0,30815.0,203.0,,0.02340775129969974,0.023395778587776528
2018-12-15,7456651.0,29312.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6372170.0,31390.0,203.0,9212442.0,29622.0,311.0,8187720.0,26412.0,310.0,6054272.000000001,29824.0,203.0,,,
2018-11-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-10-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-9-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-8-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-7-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-6-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-5-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-4-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-3-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-2-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2018-1-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-12-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-11-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-10-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-9-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-8-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-7-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-6-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-5-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-4-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-3-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-2-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2017-1-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-12-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-11-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-10-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-9-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-8-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-7-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-6-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-5-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-4-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-3-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-2-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,,,
2016-1-15,,,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",,,203.0,,,311.0,,,310.0,,,203.0,256.75,,
