,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6046369.333333333,20676.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",4633362.0,20871.0,222.0,7802297.999999999,20641.0,378.0,5703448.0,20516.0,278.0,,-0.0937034775718053,-0.09371438590339265
2022-1-15,6976882.0,23883.666666666668,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5371734.0,24197.0,222.0,8946126.0,23667.0,378.0,6612786.0,23787.0,278.0,,0.027122055531188405,0.02712194842242588
2021-12-15,6792651.333333333,23253.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5229876.0,23558.0,222.0,8709876.0,23042.0,378.0,6438202.0,23159.0,278.0,,-0.016712356978322962,-0.016717175276622642
2021-11-15,6908102.0,23648.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5318898.0,23959.0,222.0,8857674.0,23433.0,378.0,6547734.0,23553.0,278.0,,-0.019402893125672893,-0.019405935120043072
2021-10-15,7044791.333333333,24116.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5424126.0,24433.0,222.0,9032688.0,23896.0,378.0,6677560.0,24020.0,278.0,,-0.024346405832213147,-0.024341235806564776
2021-9-15,7220586.666666667,24718.0,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5559324.0,25042.0,222.0,9258354.0,24493.0,378.0,6844082.0,24619.0,278.0,,0.008798090983773044,0.009997275946608708
2021-8-15,7157613.333333333,24473.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5476740.0,24670.0,222.0,9236808.0,24436.0,378.0,6759292.0,24314.0,278.0,,0.04498943469022865,0.03738661090230866
2021-7-15,6849460.0,23591.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5346204.0,24082.0,222.0,8398404.0,22218.0,378.0,6803772.000000001,24474.0,278.0,,0.0031199245086643845,0.0031892727040780944
2021-6-15,6828156.666666667,23516.333333333332,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",5337324.0,24042.0,222.0,8384796.0,22182.0,378.0,6762350.0,24325.0,278.0,,,
2021-5-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2021-4-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2021-3-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2021-2-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2021-1-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-12-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-11-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-10-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-9-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-8-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-7-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-6-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-5-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-4-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-3-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-2-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2020-1-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-12-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-11-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-10-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-9-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-8-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-7-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-6-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-5-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-4-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-3-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-2-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2019-1-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-12-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-11-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-10-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-9-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-8-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-7-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-6-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-5-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-4-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-3-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-2-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,,,
2018-1-15,,,"BAKER CIRCLE•EUSTON(Phase 2,BAKER CIRCLE ONE),WHAMPOA ST|BAKER CIRCLE ONE,2期(必嘉坊•迎匯),黃埔街",,,222.0,,,378.0,,,278.0,292.6666666666667,,
