,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5786247.357142857,21374.14285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",7746438.0,21399.0,362.0,5702674.999999999,20737.0,275.0,4324618.0,21409.0,202.0,4270280.0,21140.0,202.0,4365220.0,21610.0,202.0,7102049.999999999,20950.0,339.0,7434981.0,20149.0,369.0,5978070.000000001,22141.0,270.0,5880600.000000001,21780.0,270.0,5368890.0,21390.0,251.0,5309905.0,21155.0,251.0,5581212.0,20982.0,266.0,5978525.0,22225.0,269.0,5963999.0,22171.0,269.0,,-0.09413896262993171,-0.09414051147922109
2022-1-15,6715325.857142857,24805.928571428572,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8989184.0,24832.0,362.0,6622275.0,24081.0,275.0,5018892.0,24846.0,202.0,4955463.999999999,24532.0,202.0,5065958.0,25079.0,202.0,8244141.0,24319.0,339.0,8629434.0,23386.0,369.0,6937650.0,25695.0,270.0,6823980.0,25274.0,270.0,6229820.0,24820.0,251.0,6162050.0,24550.0,251.0,6476834.0,24349.0,266.0,6937779.0,25791.0,269.0,6921100.999999999,25729.0,269.0,,0.027017138129975304,0.0270208726408121
2021-12-15,6538669.714285715,24153.285714285714,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8753522.0,24181.0,362.0,6447924.999999999,23447.0,275.0,4886784.0,24192.0,202.0,4824972.0,23886.0,202.0,4932234.0,24417.0,202.0,8027520.0,23680.0,339.0,8402130.0,22770.0,369.0,6754320.0,25016.0,270.0,6644700.0,24610.0,270.0,6066670.0,24170.0,251.0,6000155.0,23905.0,251.0,6306328.0,23708.0,266.0,6755128.0,25112.0,269.0,6738988.0,25052.0,269.0,,-0.016783333548683887,-0.016780211504520026
2021-11-15,6650283.642857143,24565.5,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8903752.0,24596.0,362.0,6557650.0,23846.0,275.0,4970209.999999999,24605.0,202.0,4907186.0,24293.0,202.0,5016064.0,24832.0,202.0,8164815.0,24085.0,339.0,8545302.0,23158.0,369.0,6868800.0,25440.0,270.0,6758640.0,25032.0,270.0,6170835.0,24585.0,251.0,6102814.0,24314.0,251.0,6413791.999999999,24112.0,266.0,6870260.0,25540.0,269.0,6853851.0,25479.0,269.0,,-0.019482772999712572,-0.019478316402897766
2021-10-15,6782424.071428572,25053.5,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9081494.0,25087.0,362.0,6687725.0,24319.0,275.0,5068786.0,25093.0,202.0,5004550.0,24775.0,202.0,5115246.0,25323.0,202.0,8327196.0,24564.0,339.0,8715042.0,23618.0,369.0,7004610.0,25943.0,270.0,6893100.0,25530.0,270.0,6294076.0,25076.0,251.0,6224298.0,24798.0,251.0,6541206.0,24591.0,266.0,7006643.0,26047.0,269.0,6989965.0,25985.0,269.0,,-0.02443920422608359,-0.024437120169107263
2021-9-15,6952333.571428572,25681.071428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9309554.0,25717.0,362.0,6854925.0,24927.0,275.0,5195844.0,25722.0,202.0,5129790.0,25395.0,202.0,5242910.0,25955.0,202.0,8536020.0,25180.0,339.0,8933121.0,24209.0,369.0,7179300.0,26590.0,270.0,7066170.0,26171.0,270.0,6452457.0,25707.0,251.0,6380671.0,25421.0,251.0,6705062.000000001,25207.0,266.0,7182031.0,26699.0,269.0,7164815.0,26635.0,269.0,,0.012475955916011028,0.01247803460394703
2021-8-15,6866665.357142857,25364.571428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9195524.0,25402.0,362.0,6769950.0,24618.0,275.0,5131810.0,25405.0,202.0,5066563.999999999,25082.0,202.0,5177866.0,25633.0,202.0,8430930.0,24870.0,339.0,8822790.0,23910.0,369.0,7090200.0,26260.0,270.0,6979230.0,25849.0,270.0,6373643.0,25393.0,251.0,6302359.0,25109.0,251.0,6622336.0,24896.0,266.0,7093530.000000001,26370.0,269.0,7076583.0,26307.0,269.0,,-0.006587062722981818,-0.00658260993630011
2021-7-15,6912196.428571428,25532.64285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9257426.0,25573.0,362.0,6814775.000000001,24781.0,275.0,5165746.0,25573.0,202.0,5099894.000000001,25247.0,202.0,5211600.0,25800.0,202.0,8486865.0,25035.0,339.0,8881092.0,24068.0,369.0,7136370.0,26431.0,270.0,7025940.0,26022.0,270.0,6416564.0,25564.0,251.0,6344527.0,25277.0,251.0,6666225.999999999,25061.0,266.0,7140336.0,26544.0,269.0,7123389.000000001,26481.0,269.0,,0.0016149401991247814,0.0015915312604199983
2021-6-15,6901051.642857143,25492.071428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9242584.0,25532.0,362.0,6802675.0,24737.0,275.0,5156858.0,25529.0,202.0,5099086.0,25243.0,202.0,5202308.0,25754.0,202.0,8472966.0,24994.0,339.0,8865963.0,24027.0,369.0,7123410.000000001,26383.0,270.0,7014330.0,25979.0,270.0,6406524.0,25524.0,251.0,6333985.0,25235.0,251.0,6654788.0,25018.0,266.0,7128231.0,26499.0,269.0,7111015.0,26435.0,269.0,,-0.02014945230695253,-0.020146776598110594
2021-5-15,7042963.5,26016.214285714286,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9433720.0,26060.0,362.0,6942375.0,25245.0,275.0,5262908.0,26054.0,202.0,5203722.0,25761.0,202.0,5308964.0,26282.0,202.0,8647212.0,25508.0,339.0,9047880.0,24520.0,369.0,7268940.0,26922.0,270.0,7159050.0,26515.0,270.0,6539052.0,26052.0,251.0,6464505.0,25755.0,251.0,6791512.0,25532.0,266.0,7274567.0,27043.0,269.0,7257082.0,26978.0,269.0,,0.03884694745229056,0.03900990437937879
2021-4-15,6779596.857142857,25039.428571428572,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9076426.0,25073.0,362.0,6678375.0,24285.0,275.0,5063130.0,25065.0,202.0,5006166.0,24783.0,202.0,5106964.0,25282.0,202.0,8319399.0,24541.0,339.0,8758953.0,23737.0,369.0,6992460.0,25898.0,270.0,6887700.000000001,25510.0,270.0,6291566.0,25066.0,251.0,6219529.0,24779.0,251.0,6533758.0,24563.0,266.0,6998304.0,26016.0,269.0,6981626.0,25954.0,269.0,,0.004937562847404875,0.004942263809097902
2021-3-15,6746286.642857143,24916.285714285714,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",9032624.0,24952.0,362.0,6645374.999999999,24165.0,275.0,5038082.0,24941.0,202.0,4981320.0,24660.0,202.0,5081310.0,25155.0,202.0,8278719.0,24421.0,339.0,8715780.0,23620.0,369.0,6957090.0,25767.0,270.0,6854220.0,25386.0,270.0,6261446.0,24946.0,251.0,6189409.0,24659.0,251.0,6501572.0,24442.0,266.0,6963872.0,25888.0,269.0,6947194.0,25826.0,269.0,,0.03631488330349675,0.03631874938726032
2021-2-15,6509881.071428572,24043.071428571428,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8716960.0,24080.0,362.0,6412174.999999999,23317.0,275.0,4861534.0,24067.0,202.0,4806792.0,23796.0,202.0,4902742.0,24271.0,202.0,7988874.0,23566.0,339.0,8410248.0,22792.0,369.0,6712740.0,24862.0,270.0,6614190.0,24497.0,270.0,6042574.0,24074.0,251.0,5972796.0,23796.0,251.0,6273610.0,23585.0,266.0,6719620.0,24980.0,269.0,6703480.0,24920.0,269.0,,-0.00859797528381101,-0.00859446102008421
2021-1-15,6566338.285714285,24251.5,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",8793342.0,24291.0,362.0,6467450.000000001,23518.0,275.0,4903752.0,24276.0,202.0,4848202.0,24001.0,202.0,4944758.0,24479.0,202.0,8058369.0,23771.0,339.0,8482941.0,22989.0,369.0,6769980.000000001,25074.0,270.0,6671969.999999999,24711.0,270.0,6095786.0,24286.0,251.0,6025004.0,24004.0,251.0,6327874.0,23789.0,266.0,6777724.0,25196.0,269.0,6761584.0,25136.0,269.0,,,
2020-12-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-11-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-10-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-9-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-8-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-7-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-6-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-5-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-4-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-3-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-2-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2020-1-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-12-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-11-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-10-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-9-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-8-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-7-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-6-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-5-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-4-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-3-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-2-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2019-1-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2018-12-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2018-11-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
2018-10-15,,,"BAKER CIRCLE•DOVER(Phase 1,BAKER CIRCLE ONE),GILLIES AVE S|BAKER CIRCLE ONE,1期(必嘉坊•曦匯),機利士南路",,,362.0,,,275.0,,,202.0,,,202.0,,,202.0,,,339.0,,,369.0,,,270.0,,,270.0,,,251.0,,,251.0,,,266.0,,,269.0,,,269.0,,,
