,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7780090.25,16922.75,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",11449356.0,15924.0,719.0,5891141.999999999,17378.0,339.0,7568910.0,16490.0,459.0,6210953.0,17899.0,347.0,,0.003204931791076282,0.0032011856243052694
2021-10-15,9091584.5,19775.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13379152.0,18608.0,719.0,6884751.0,20309.0,339.0,8844930.0,19270.0,459.0,7257505.0,20915.0,347.0,,-0.02114085691449652,-0.021135998020047064
2021-9-15,9287939.5,20202.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13668190.0,19010.0,719.0,7033233.0,20747.0,339.0,9036333.0,19687.0,459.0,7414001.999999999,21366.0,347.0,,0.011594915896465885,0.011591808121776515
2021-8-15,9181481.0,19971.0,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13511448.0,18792.0,719.0,6952890.0,20510.0,339.0,8932599.0,19461.0,459.0,7328987.0,21121.0,347.0,,0.0031124245369793524,0.003114169471093442
2021-7-15,9152993.0,19909.0,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13469746.0,18734.0,719.0,6931194.0,20446.0,339.0,8904600.0,19400.0,459.0,7306432.0,21056.0,347.0,,-0.0034156693761175916,-0.0034163861392333406
2021-6-15,9184363.75,19977.25,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13515762.0,18798.0,719.0,6954924.0,20516.0,339.0,8935353.000000002,19467.0,459.0,7331416.0,21128.0,347.0,,0.021303776522586082,0.02130569259477011
2021-5-15,8992783.5,19560.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13233914.0,18406.0,719.0,6809832.0,20088.0,339.0,8748999.0,19061.0,459.0,7178389.0,20687.0,347.0,,0.0057123330666615235,0.0057070875857991865
2021-4-15,8941705.5,19449.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",13158419.0,18301.0,719.0,6771186.0,19974.0,339.0,8699427.0,18953.0,459.0,7137790.0,20570.0,347.0,,0.012282509028567867,0.012283030161084563
2021-3-15,8833211.5,19213.5,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12998801.0,18079.0,719.0,6689148.0,19732.0,339.0,8593857.0,18723.0,459.0,7051040.0,20320.0,347.0,,0.014438083893731912,0.014440337909186862
2021-2-15,8707492.0,18940.0,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",12814018.0,17822.0,719.0,6593889.0,19451.0,339.0,8471304.0,18456.0,459.0,6950757.0,20031.0,347.0,,,
2021-1-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-12-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-11-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-10-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-9-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-8-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-7-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-6-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-5-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-4-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-3-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-2-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2020-1-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-12-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-11-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-10-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-9-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-8-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-7-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-6-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-5-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-4-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-3-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-2-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2019-1-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-12-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-11-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-10-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-9-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-8-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-7-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-6-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-5-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-4-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-3-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-2-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,,,
2018-1-15,,,"VILLA GARDA II(Block 2A,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2A座(凱柏峰 II),1 康城路",,,719.0,,,339.0,,,459.0,,,347.0,466.0,,
