,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_H3,npsf_H3,nfa_H3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,57054348.427992955,36617.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",49856595.54098087,36234.0,1244.0,64252101.31500505,37000.0,1570.0,,0.005610705827557627,-0.026842426980625667
2018-2-15,55167764.0,39162.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",48207488.0,38752.0,1244.0,62128040.0,39572.0,1570.0,,0.05369281968720996,0.053690823725667025
2018-1-15,52356591.0,37166.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",45751832.0,36778.0,1244.0,58961350.0,37555.0,1570.0,,0.015005908587532257,0.015006690881284701
2017-12-15,51582548.0,36617.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",45075096.0,36234.0,1244.0,58090000.0,37000.0,1570.0,,-0.026843731105113067,-0.026842426980625667
2017-11-15,53005411.0,37627.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",46317852.0,37233.0,1244.0,59692970.0,38021.0,1570.0,,,
2017-10-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-9-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-8-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-7-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-6-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-5-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-4-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-3-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-2-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2017-1-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-12-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-11-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-10-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-9-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-8-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-7-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-6-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-5-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-4-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-3-15,,,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",,,1244.0,,,1570.0,,,
2016-2-15,11539823.0,8189.5,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",10056496.0,8084.0,1244.0,13023150.0,8295.0,1570.0,,-0.030601213715976794,-0.03059895833333337
2016-1-15,11904103.0,8448.0,"OCEAN WINGS,TONG CHUN ST|海天晉,唐俊街",10373716.0,8339.0,1244.0,13434490.0,8557.0,1570.0,1407.0,,
