,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10265725.25,15524.75,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13853869.0,16957.0,817.0,11593771.0,15479.0,749.0,10781604.0,15164.0,711.0,7125670.0,15161.0,470.0,7005492.0,14969.0,468.0,7120766.0,14897.0,478.0,11633784.0,15348.0,758.0,13010846.0,16223.0,802.0,,0.005634855339629485,0.005619251198341724
2019-11-15,10389902.125,15712.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14027890.0,17170.0,817.0,11739077.0,15673.0,749.0,10916694.0,15354.0,711.0,7211209.999999999,15343.0,470.0,7089732.0,15149.0,468.0,7206328.0,15076.0,478.0,11776288.000000002,15536.0,758.0,13151998.0,16399.0,802.0,,0.0478180137774491,0.04783181340757903
2019-10-15,9915750.625,14995.25,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13388179.0,16387.0,817.0,11204291.0,14959.0,749.0,10419705.0,14655.0,711.0,6881270.0,14641.0,470.0,6765408.0,14456.0,468.0,6876986.0,14387.0,478.0,11238866.0,14827.0,758.0,12551300.0,15650.0,802.0,,-0.01652127855250829,-0.016511444874401482
2019-9-15,10082323.5,15247.0,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13612854.0,16662.0,817.0,11393788.0,15212.0,749.0,10595322.0,14902.0,711.0,6996420.0,14886.0,470.0,6878664.0,14698.0,468.0,6991706.0,14627.0,478.0,11427608.0,15076.0,758.0,12762226.0,15913.0,802.0,,-0.03796920307318041,-0.037953118591664836
2019-8-15,10480250.25,15848.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14150440.0,17320.0,817.0,11844686.0,15814.0,749.0,11014812.0,15492.0,711.0,7271840.0,15472.0,470.0,7149168.0,15276.0,468.0,7266556.0,15202.0,478.0,11878618.0,15671.0,758.0,13265882.0,16541.0,802.0,,0.002706369510216522,0.0027205719528011763
2019-7-15,10451963.375,15805.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14112858.0,17274.0,817.0,11813977.0,15773.0,749.0,10986372.0,15452.0,711.0,7251160.0,15428.0,470.0,7129044.0,15233.0,468.0,7246480.0,15160.0,478.0,11846024.0,15628.0,758.0,13229792.0,16496.0,802.0,,0.0019643079640887517,0.0019810767548378294
2019-6-15,10431472.75,15774.25,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14085080.0,17240.0,817.0,11792256.0,15744.0,749.0,10966464.0,15424.0,711.0,7236120.0,15396.0,470.0,7114067.999999999,15201.0,468.0,7231184.0,15128.0,478.0,11823284.0,15598.0,758.0,13203326.0,16463.0,802.0,,-0.008915013967289886,-0.00890613219401859
2019-5-15,10525306.0,15916.0,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",14211714.999999998,17395.0,817.0,11899363.0,15887.0,749.0,11066004.0,15564.0,711.0,7300510.0,15533.0,470.0,7177716.0,15337.0,468.0,7295714.0,15263.0,478.0,11929404.0,15738.0,758.0,13322022.000000002,16611.0,802.0,,0.02339450721000569,0.023413575533496767
2019-4-15,10284700.5,15551.875,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13887366.0,16998.0,817.0,11628974.0,15526.0,749.0,10814310.0,15210.0,711.0,7132720.0,15176.0,470.0,7012512.0,14984.0,468.0,7127935.999999999,14912.0,478.0,11656524.0,15378.0,758.0,13017262.0,16231.0,802.0,,0.037297281303080965,0.03731032182758054
2019-3-15,9914901.625,14992.5,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13388179.0,16387.0,817.0,11211781.0,14969.0,749.0,10426815.0,14665.0,711.0,6875629.999999999,14629.0,470.0,6759792.0,14444.0,468.0,6870772.0,14374.0,478.0,11237350.0,14825.0,758.0,12548893.999999998,15647.0,802.0,,-0.00308877131369778,-0.003075388579502958
2019-2-15,9945621.375,15038.75,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13429846.0,16438.0,817.0,11247733.0,15017.0,749.0,10460232.0,14712.0,711.0,6896310.0,14673.0,470.0,6779916.0,14487.0,468.0,6891326.0,14417.0,478.0,11272218.0,14871.0,758.0,12587390.0,15695.0,802.0,,0.01732503959213383,0.01734328888287573
2019-1-15,9776247.5,14782.375,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",13201086.0,16158.0,817.0,11057487.000000002,14763.0,749.0,10283193.0,14463.0,711.0,6777870.0,14421.0,470.0,6663384.0,14238.0,468.0,6773260.0,14170.0,478.0,11080444.0,14618.0,758.0,12373256.0,15428.0,802.0,,,
2018-12-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-11-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-10-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-9-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-8-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-7-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-6-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-5-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-4-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-3-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-2-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2018-1-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-12-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-11-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-10-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-9-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-8-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-7-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-6-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-5-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-4-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-3-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-2-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2017-1-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-12-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-11-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-10-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-9-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-8-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-7-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-6-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-5-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-4-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-3-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-2-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,,,
2016-1-15,,,"SEA TO SKY(Block 2,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,2座(SEA TO SKY),1 康城路",,,817.0,,,749.0,,,711.0,,,470.0,,,468.0,,,478.0,,,758.0,,,802.0,656.625,,
