,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11344735.777777778,16000.111111111111,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17861186.0,16898.0,1057.0,12329622.0,16374.0,753.0,12397224.000000002,16248.0,763.0,12073746.0,15361.0,786.0,7623850.000000001,15850.0,481.0,7400085.0,15645.0,473.0,7382076.0,15574.0,474.0,11827497.0,15583.0,759.0,13207336.0,16468.0,802.0,,0.0056299054716404395,0.005635710993477261
2019-10-15,10882255.888888888,15355.888888888889,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17250240.0,16320.0,1057.0,11571351.0,15367.0,753.0,11793691.0,15457.0,763.0,11672100.0,14850.0,786.0,7363629.0,15309.0,481.0,7155071.0,15127.0,473.0,7137492.0,15058.0,474.0,11238513.0,14807.0,759.0,12758216.0,15908.0,802.0,,-0.01656340480480689,-0.01656573994349997
2019-9-15,11065538.888888888,15614.555555555555,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17539858.0,16594.0,1057.0,11767884.0,15628.0,753.0,11992834.0,15718.0,763.0,11868600.0,15100.0,786.0,7487246.0,15566.0,481.0,7275686.0,15382.0,473.0,7257887.999999999,15312.0,474.0,11427504.000000002,15056.0,759.0,12972350.0,16175.0,802.0,,-0.03799963202633594,-0.03800579122827441
2019-8-15,11502634.777777778,16231.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18231136.0,17248.0,1057.0,12234744.0,16248.0,753.0,12467420.0,16340.0,763.0,12337056.0,15696.0,786.0,7782580.0,16180.0,481.0,7563743.0,15991.0,473.0,7544658.000000001,15917.0,474.0,11878350.0,15650.0,759.0,13484026.0,16813.0,802.0,,0.002673619708291941,0.0026699795461722076
2019-7-15,11471963.111111112,16188.222222222223,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18181457.0,17201.0,1057.0,12203871.0,16207.0,753.0,12434611.0,16297.0,763.0,12304044.0,15654.0,786.0,7760935.0,16135.0,481.0,7543877.0,15949.0,473.0,7525224.0,15876.0,474.0,11845712.999999998,15607.0,759.0,13447936.0,16768.0,802.0,,0.0019370281989099514,0.0019324269494473967
2019-6-15,11449784.555555556,16157.0,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18145519.0,17167.0,1057.0,12182034.0,16178.0,753.0,12410958.0,16266.0,763.0,12280464.0,15624.0,786.0,7745543.0,16103.0,481.0,7529687.0,15919.0,473.0,7511004.0,15846.0,474.0,11822184.0,15576.0,759.0,13420668.0,16734.0,802.0,,-0.008950170634967058,-0.008955406980310388
2019-5-15,11553187.555555556,16303.0,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",18308297.0,17321.0,1057.0,12294231.0,16327.0,753.0,12523119.0,16413.0,763.0,12391290.0,15765.0,786.0,7814807.0,16247.0,481.0,7598272.0,16064.0,473.0,7579260.0,15990.0,474.0,11928444.0,15716.0,759.0,13540968.0,16884.0,802.0,,0.02299417487094968,0.023036751427595314
2019-4-15,11293502.777777778,15935.888888888889,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17888668.0,16924.0,1057.0,12014868.0,15956.0,753.0,12237757.0,16039.0,763.0,12108330.0,15405.0,786.0,7635875.0,15875.0,481.0,7424681.0,15697.0,473.0,7406250.0,15625.0,474.0,11655204.0,15356.0,759.0,13269892.0,16546.0,802.0,,0.038352852606399646,0.03798082142210957
2019-3-15,10876363.222222222,15352.777777777777,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17140312.0,16216.0,1057.0,11585658.0,15386.0,753.0,11799032.000000002,15464.0,763.0,11673671.999999998,14852.0,786.0,7361224.0,15304.0,481.0,7158382.000000001,15134.0,473.0,7140810.0,15065.0,474.0,11235477.0,14803.0,759.0,12792702.0,15951.0,802.0,,-0.0031323130747615835,-0.0031383017098334243
2019-2-15,10910538.444444444,15401.111111111111,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",17193162.0,16266.0,1057.0,11623308.0,15436.0,753.0,11836419.0,15513.0,763.0,11710614.0,14899.0,786.0,7383831.0,15351.0,481.0,7181559.0,15183.0,473.0,7163562.0,15113.0,474.0,11270391.0,14849.0,759.0,12832000.0,16000.0,802.0,,0.017285109540576604,0.017283769402957727
2019-1-15,10725153.0,15139.444444444445,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",16900373.0,15989.0,1057.0,11427528.0,15176.0,753.0,11635750.0,15250.0,763.0,11511756.0,14646.0,786.0,7257809.0,15089.0,481.0,7059525.0,14925.0,473.0,7042218.0,14857.0,474.0,11078364.0,14596.0,759.0,12613054.0,15727.0,802.0,,,
2018-12-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-11-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-10-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-9-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-8-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-7-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-6-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-5-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-4-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-3-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-2-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2018-1-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-12-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-11-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-10-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-9-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-8-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-7-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-6-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-5-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-4-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-3-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-2-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2017-1-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-12-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-11-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-10-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-9-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-8-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-7-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-6-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-5-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-4-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-3-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-2-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,,
2016-1-15,,,"SEA TO SKY(Block 3,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,3座(SEA TO SKY),1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,705.3333333333334,,
