,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7518222.285714285,15989.0,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",7528191.999999999,16804.0,448.0,11015438.0,15278.0,721.0,6771520.0,15115.0,448.0,5747630.0,17470.0,329.0,7147140.0,15708.0,455.0,7263215.999999999,15824.0,459.0,7154420.0,15724.0,455.0,,0.003200535603959276,0.0031998996109925404
2022-1-15,8849328.42857143,18819.85714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8860992.0,19779.0,448.0,12965743.0,17983.0,721.0,7970368.0,17791.0,448.0,6765227.0,20563.0,329.0,8412495.0,18489.0,455.0,8549334.0,18626.0,459.0,8421140.0,18508.0,455.0,,0.005899434899808487,0.0059022952522027605
2021-12-15,8797428.57142857,18709.428571428572,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8809024.0,19663.0,448.0,12890038.0,17878.0,721.0,7923776.0,17687.0,448.0,6725418.0,20442.0,329.0,8363355.0,18381.0,455.0,8498844.0,18516.0,459.0,8371545.0,18399.0,455.0,,-0.02809679645824592,-0.028096057943481245
2021-11-15,9051753.857142856,19250.285714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",9063488.0,20231.0,448.0,13262795.0,18395.0,721.0,8152704.0,18198.0,448.0,6919857.0,21033.0,329.0,8604960.0,18912.0,455.0,8744868.0,19052.0,459.0,8613605.0,18931.0,455.0,,0.03022387085359135,0.030221943592841027
2021-10-15,8786200.857142856,18685.571428571428,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8797824.0,19638.0,448.0,12873455.0,17855.0,721.0,7913920.0,17665.0,448.0,6716864.0,20416.0,329.0,8352435.0,18357.0,455.0,8487828.0,18492.0,459.0,8361080.0,18376.0,455.0,,-0.02115002582031411,-0.021148737137511753
2021-9-15,8976044.42857143,19089.285714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8987776.0,20062.0,448.0,13151761.0,18241.0,721.0,8084608.0,18046.0,448.0,6861953.0,20857.0,329.0,8533070.0,18754.0,455.0,8671428.0,18892.0,459.0,8541715.0,18773.0,455.0,,0.011597588883120347,0.011597889365825509
2021-8-15,8873137.42857143,18870.428571428572,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8884736.0,19832.0,448.0,13001072.0,18032.0,721.0,7991872.0,17839.0,448.0,6783322.0,20618.0,329.0,8435245.0,18539.0,455.0,8571825.0,18675.0,459.0,8443890.0,18558.0,455.0,,0.003121027452896774,0.0031211555110037814
2021-7-15,8845530.285714285,18811.714285714286,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8856960.0,19770.0,448.0,12960696.0,17976.0,721.0,7967232.0,17784.0,448.0,6762266.0,20554.0,329.0,8408855.0,18481.0,455.0,8545203.0,18617.0,459.0,8417500.0,18500.0,455.0,,-0.003423148525052433,-0.0034207698245719564
2021-6-15,8875913.857142856,18876.285714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8887424.0,19838.0,448.0,13005398.0,18038.0,721.0,7994560.0,17845.0,448.0,6785296.0,20624.0,329.0,8437520.0,18544.0,455.0,8574579.0,18681.0,459.0,8446620.0,18564.0,455.0,,0.021285927708093677,0.021286133869222512
2021-5-15,8690919.57142857,18482.85714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8701952.0,19424.0,448.0,12734302.0,17662.0,721.0,7827904.0,17473.0,448.0,6643826.0,20194.0,329.0,8261890.0,18158.0,455.0,8396028.0,18292.0,459.0,8270535.0,18177.0,455.0,,0.0056983654278839335,0.005697762093169523
2021-4-15,8641676.142857144,18378.14285714286,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8652672.0,19314.0,448.0,12662202.0,17562.0,721.0,7783552.0,17374.0,448.0,6606320.0,20080.0,329.0,8215024.999999999,18055.0,455.0,8348292.0,18188.0,459.0,8223670.0,18074.0,455.0,,0.012274289925157555,0.012275055670525115
2021-3-15,8536891.857142856,18155.285714285714,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8547840.0,19080.0,448.0,12508629.0,17349.0,721.0,7689472.0,17164.0,448.0,6526044.0,19836.0,329.0,8115380.0,17836.0,455.0,8246853.0,17967.0,459.0,8124025.0,17855.0,455.0,,0.014454259253547042,0.014456080973211272
2021-2-15,8415255.57142857,17896.571428571428,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8425984.0,18808.0,448.0,12330541.999999998,17102.0,721.0,7579712.0,16919.0,448.0,6432936.999999999,19553.0,329.0,7999810.0,17582.0,455.0,8129349.0,17711.0,459.0,8008455.0,17601.0,455.0,,0.009923887431735334,0.00992381796928532
2021-1-15,8332564.142857143,17720.714285714286,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",8343104.0,18623.0,448.0,12209414.0,16934.0,721.0,7505344.0,16753.0,448.0,6369769.0,19361.0,329.0,7921095.0,17409.0,455.0,8049483.0,17537.0,459.0,7929740.0,17428.0,455.0,,,
2020-12-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-11-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-10-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-9-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-8-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-7-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-6-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-5-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-4-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-3-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-2-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2020-1-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-12-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-11-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-10-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-9-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-8-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-7-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-6-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-5-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-4-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-3-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-2-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2019-1-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-12-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-11-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-10-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-9-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-8-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-7-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-6-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-5-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-4-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-3-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-2-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,,,
2018-1-15,,,"VILLA GARDA I(Block 1A,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1A座(凱柏峰 I),1 康城路",,,448.0,,,721.0,,,448.0,,,329.0,,,455.0,,,459.0,,,455.0,473.57142857142856,,
