,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9943370.0,17280.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13473856.0,19139.0,704.0,7265370.0,17895.0,406.0,9090884.0,14806.0,614.0,,0.005912640299510663,0.005859753967946135
2020-1-15,9811987.333333334,17055.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13284480.0,18870.0,704.0,7178486.0,17681.0,406.0,8972996.0,14614.0,614.0,,0.027853554354025034,0.027863714894129865
2019-12-15,9546094.666666666,16592.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",12925439.999999998,18360.0,704.0,6983606.0,17201.0,406.0,8729238.0,14217.0,614.0,,-0.050369698240207095,-0.05036437864855581
2019-11-15,10052432.666666666,17472.666666666668,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13611840.0,19335.0,704.0,7353878.0,18113.0,406.0,9191580.0,14970.0,614.0,,0.047807440210558605,0.047815136129212954
2019-10-15,9593778.666666666,16675.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",12991616.000000002,18454.0,704.0,7018116.0,17286.0,406.0,8771604.0,14286.0,614.0,,-0.016563473268237816,-0.016552646064323384
2019-9-15,9755361.333333334,16956.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13211264.0,18766.0,704.0,7135856.0,17576.0,406.0,8918964.0,14526.0,614.0,,-0.03798441845591971,-0.03797564112262641
2019-8-15,10140544.0,17625.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13733632.0,19508.0,704.0,7417214.0,18269.0,406.0,9270786.0,15099.0,614.0,,0.0026657877606848235,0.002673746088935225
2019-7-15,10113583.333333334,17578.333333333332,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",13698432.0,19458.0,704.0,7397320.0,18220.0,406.0,9244998.0,15057.0,614.0,,0.1144940593865924,0.09209327369118614
2019-6-15,9074596.0,16096.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",10614912.0,15078.0,704.0,7382298.0,18183.0,406.0,9226578.0,15027.0,614.0,,-0.008879524188566634,-0.008887338108823695
2019-5-15,9155896.0,16240.333333333334,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",10709952.0,15213.0,704.0,7448882.0,18347.0,406.0,9308854.0,15161.0,614.0,,0.02346224801781127,0.023464414755062668
2019-4-15,8946002.666666666,15868.0,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",10464256.0,14864.0,704.0,7277956.0,17926.0,406.0,9095796.0,14814.0,614.0,,0.055743707453891345,0.05290630805980712
2019-3-15,8473650.0,15070.666666666666,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",9818688.000000002,13947.0,704.0,7016086.0,17281.0,406.0,8586176.0,13984.0,614.0,,-0.0031063332068242966,-0.003108945383987871
2019-2-15,8500054.0,15117.666666666666,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",9848960.000000002,13990.0,704.0,7038010.0,17335.0,406.0,8613192.0,14028.0,614.0,,0.01738691217852284,0.017385257301808066
2019-1-15,8354790.0,14859.333333333334,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",9680704.0,13751.0,704.0,6917834.0,17039.0,406.0,8465832.0,13788.0,614.0,,,
2018-12-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-11-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-7-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 2),TONG YIN ST|藍塘傲2座,唐賢街",,,704.0,,,406.0,,,614.0,574.6666666666666,,
