,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6882566.333333333,16785.333333333332,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",7491250.0,16250.0,461.0,6120785.0,18271.0,335.0,7382915.0,16015.0,461.0,8492979.0,15139.0,561.0,5983772.0,17756.0,337.0,5823697.0,17281.0,337.0,,0.003196618350199909,0.003197497783665959
2021-1-15,7627499.833333333,18602.166666666668,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",8302149.0,18009.0,461.0,6783415.0,20249.0,335.0,8181828.0,17748.0,461.0,9411897.0,16777.0,561.0,6631486.0,19678.0,337.0,6454224.0,19152.0,337.0,,,
2020-12-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-11-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-10-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-9-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-8-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-7-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-6-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-5-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-4-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-3-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-2-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2020-1-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-12-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-11-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-10-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-9-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-8-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-7-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-6-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-5-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-4-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-3-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-2-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2019-1-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-12-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-11-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-10-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-9-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-8-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-7-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-6-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-5-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-4-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-3-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-2-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,,,
2018-1-15,,,"VILLA GARDA I(Block 1B,Phase XIB,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIB期,1B座(凱柏峰 I),1 康城路",,,461.0,,,335.0,,,461.0,,,561.0,,,337.0,,,337.0,415.3333333333333,,
