,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7712730.5,16337.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",7617103.0,16523.0,461.0,7549678.0,16306.0,463.0,8388576.0,16416.0,511.0,7295565.000000001,16105.0,453.0,,0.003224139199254017,0.0032238256063863435
2022-1-15,9078011.0,19229.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8965528.0,19448.0,461.0,8886359.0,19193.0,463.0,9873542.0,19322.0,511.0,8586615.0,18955.0,453.0,,0.005924704277969983,0.005924279081932937
2021-12-15,9024543.25,19116.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8912513.0,19333.0,461.0,8834040.0,19080.0,463.0,9815288.0,19208.0,511.0,8536332.0,18844.0,453.0,,-0.02810206080253541,-0.028102597996847778
2021-11-15,9285484.5,19669.0,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",9170212.0,19892.0,461.0,9089616.0,19632.0,463.0,10098893.0,19763.0,511.0,8783217.0,19389.0,453.0,,0.03020778295514459,0.030208592491717923
2021-10-15,9013215.25,19092.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8901449.0,19309.0,461.0,8822928.0,19056.0,463.0,9803024.0,19184.0,511.0,8525460.0,18820.0,453.0,,-0.02113594824145082,-0.021136148068394478
2021-9-15,9207831.5,19504.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",9093686.0,19726.0,461.0,9013684.0,19468.0,463.0,10014578.0,19598.0,511.0,8709378.0,19226.0,453.0,,0.011617777046809774,0.011617955965872229
2021-8-15,9102085.5,19280.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8989039.0,19499.0,461.0,8910435.0,19245.0,463.0,9899603.0,19373.0,511.0,8609265.0,19005.0,453.0,,0.0031085658930587456,0.0031086195908067715
2021-7-15,9073878.75,19220.75,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8961379.0,19439.0,461.0,8882655.0,19185.0,463.0,9868943.0,19313.0,511.0,8582538.0,18946.0,453.0,,-0.0034090094720792274,-0.003409120369170182
2021-6-15,9104917.5,19286.5,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8991805.0,19505.0,461.0,8913212.999999998,19251.0,463.0,9902669.0,19379.0,511.0,8611983.0,19011.0,453.0,,0.021274243810656124,0.02127377910748085
2021-5-15,8915252.25,18884.75,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8804639.0,19099.0,461.0,8727550.0,18850.0,463.0,9696225.0,18975.0,511.0,8432595.0,18615.0,453.0,,0.00572496828855007,0.005725012981134148
2021-4-15,8864503.25,18777.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8754390.0,18990.0,461.0,8678009.0,18743.0,463.0,9641037.0,18867.0,511.0,8384577.0,18509.0,453.0,,0.012291436936290756,0.012291602086337727
2021-3-15,8756868.75,18549.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8648360.0,18760.0,461.0,8572445.0,18515.0,463.0,9524018.0,18638.0,511.0,8282652.0,18284.0,453.0,,0.014437267765668338,0.014437866586456405
2021-2-15,8632242.75,18285.25,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",8525273.0,18493.0,461.0,8450676.0,18252.0,463.0,9388603.0,18373.0,511.0,8164419.0,18023.0,453.0,,,
2021-1-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-12-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-11-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-10-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-9-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-8-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-7-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-6-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-5-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-4-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-3-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-2-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2020-1-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-12-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-11-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-10-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-9-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-8-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-7-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-6-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-5-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-4-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-3-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-2-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2019-1-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-12-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-11-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-10-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-9-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-8-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-7-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-6-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-5-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-4-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-3-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-2-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,,,
2018-1-15,,,"VILLA GARDA II(Block 2B,Phase XIC,LOHAS PARK),1 LOHAS PARK RD|日出康城,XIC期,2B座(凱柏峰 II),1 康城路",,,461.0,,,463.0,,,511.0,,,453.0,472.0,,
