,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11506520.6,17398.2,5,57532603.0,86991.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14839487.0,18343.0,809.0,16155950.000000002,19007.0,850.0,9156222.0,16409.0,558.0,8514864.0,16312.0,522.0,8866080.0,16920.0,524.0,-0.050132617148449854,-0.050129938197462365
2019-1-15,11403959.8,17237.6,5,57019799.0,86188.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14706811.0,18179.0,809.0,16029300.0,18858.0,850.0,9203652.0,16494.0,558.0,8412552.0,16116.0,522.0,8667484.0,16541.0,524.0,0.04003994628399088,0.040063715788965615
2018-12-15,10964924.8,16573.6,5,54824624.0,82868.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14144556.0,17484.0,809.0,15411350.000000002,18131.0,850.0,8848206.0,15857.0,558.0,8088912.0,15496.0,522.0,8331600.0,15900.0,524.0,-0.03488236319172233,-0.034779975306916455
2018-11-15,11361231.4,17170.8,5,56806157.0,85854.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14664743.0,18127.0,809.0,15972350.0,18791.0,850.0,9169614.0,16433.0,558.0,8383842.0,16061.0,522.0,8615608.0,16442.0,524.0,0.033604987928147256,0.03363833373464953
2018-10-15,10991850.4,16612.0,5,54959252.0,83060.0,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",14193096.0,17544.0,809.0,15452150.0,18179.0,850.0,8870526.0,15897.0,558.0,8111879.999999999,15540.0,522.0,8331600.0,15900.0,524.0,,
2018-9-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-8-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-7-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-6-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-5-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-4-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-3-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-2-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2018-1-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-12-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-11-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-10-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-9-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-8-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-7-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-6-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-5-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-4-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-3-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-2-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2017-1-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-12-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-11-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-10-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-9-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-8-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-7-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-6-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-5-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-4-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-3-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-2-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
2016-1-15,,,5,,,3263,"MONTEREY(Block 7B),TONG CHUN ST|MONTEREY7B座,唐俊街",,,809.0,,,850.0,,,558.0,,,522.0,,,524.0,,
