,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,30397681.5,33821.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",37077480.0,31210.0,1188.0,23717883.0,36433.0,651.0,,0.15739435505619825,0.15739853535007864
2019-5-15,29442847.5,32756.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",35920368.0,30236.0,1188.0,22965327.0,35277.0,651.0,,0.07212111976299096,0.07212057735737898
2019-4-15,27462240.0,30553.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",33503976.0,28202.0,1188.0,21420504.0,32904.0,651.0,,-0.13183325027779624,-0.13128900641162333
2019-3-15,31632448.5,35170.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",38655144.0,32538.0,1188.0,24609753.0,37803.0,651.0,,0.16460388869906795,0.17217417387391887
2019-2-15,27161551.5,30004.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",33753456.0,28412.0,1188.0,20569647.0,31597.0,651.0,,0.24722788899405845,0.2472253398179325
2019-1-15,21777537.0,24057.0,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",27062640.0,22780.0,1188.0,16492434.0,25334.0,651.0,,-0.13153104047947783,-0.13153192180646556
2018-12-15,25075780.5,27700.5,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",31161240.0,26230.0,1188.0,18990321.0,29171.0,651.0,,,
2018-11-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-10-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-9-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-8-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-7-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-6-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-5-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-4-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-3-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-2-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2018-1-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-12-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-11-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-10-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-9-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-8-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-7-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-6-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-5-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-4-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-3-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-2-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2017-1-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-12-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-11-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-10-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-9-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-8-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-7-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-6-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-5-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-4-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-3-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-2-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,,,
2016-1-15,,,"AYTON(Block 1),INVERNESS RD|雋睿1座,延文禮士道",,,1188.0,,,651.0,919.5,,
