,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H19-A,npsf_H19-A,nfa_H19-A,lumpSum_H19-B,npsf_H19-B,nfa_H19-B,lumpSum_H20-A,npsf_H20-A,nfa_H20-A,lumpSum_H20-B,npsf_H20-B,nfa_H20-B,lumpSum_change,npsf_change
2019-12-15,7226016.5,19698.25,4,28904066.0,78793.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8607780.0,17748.0,485.0,5868234.0,21654.0,271.0,8541162.0,17906.0,477.0,5886890.0,21485.0,274.0,-0.020363871763673158,-0.02036528204299337
2019-1-15,7112238.0,19392.5,4,28448952.0,77570.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8523875.0,17575.0,485.0,5783411.0,21341.0,271.0,8342729.999999999,17490.0,477.0,5798936.0,21164.0,274.0,0.05668285339097756,0.05668242313612781
2018-12-15,6730721.5,18352.25,4,26922886.0,73409.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8066520.0,16632.0,485.0,5473116.0,20196.0,271.0,7895304.0,16552.0,477.0,5487946.0,20029.0,274.0,-0.04544279526790351,-0.048477621226457934
2018-11-15,7051145.25,19287.25,4,28204581.0,77149.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8313385.0,17141.0,485.0,5809969.0,21439.0,271.0,8255438.999999999,17307.0,477.0,5825788.0,21262.0,274.0,-0.018484742039481583,-0.01847304741669953
2018-10-15,7183938.5,19650.25,4,28735754.0,78601.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8470040.0,17464.0,485.0,5919182.0,21842.0,271.0,8411418.0,17634.0,477.0,5935114.0,21661.0,274.0,0.02436312557767084,0.02437085402249406
2018-9-15,7013078.0,19182.75,4,28052312.0,76731.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8268765.0,17049.0,485.0,5778262.0,21322.0,271.0,8211555.0,17215.0,477.0,5793730.0,21145.0,274.0,-0.03451315509379682,-0.03450228379449627
2018-8-15,7263773.75,19868.25,4,29055095.0,79473.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8564615.0,17659.0,485.0,5984493.0,22083.0,271.0,8505387.0,17831.0,477.0,6000600.0,21900.0,274.0,-0.006117785962632016,-0.006102975200410254
2018-7-15,7308485.5,19990.25,4,29233942.0,79961.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8617965.0,17769.0,485.0,6021078.0,22218.0,271.0,8557857.0,17941.0,477.0,6037042.0,22033.0,274.0,-0.022023025358403836,-0.022015386308875895
2018-6-15,7473065.0,20440.25,4,29892260.0,81761.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8811965.0,18169.0,485.0,6156307.0,22717.0,271.0,8751042.0,18346.0,477.0,6172946.0,22529.0,274.0,0.018052739386759775,0.01806748848213169
2018-5-15,7340548.0,20077.5,4,29362192.0,80310.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8656280.0,17848.0,485.0,6046823.0,22313.0,271.0,8596017.0,18021.0,477.0,6063072.0,22128.0,274.0,0.0037245793935412053,0.0032730361782931094
2018-4-15,7313309.0,20012.0,4,29253236.0,80048.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8585955.0,17703.0,485.0,6035441.0,22271.0,271.0,8580276.0,17988.0,477.0,6051564.0,22086.0,274.0,0.05191172887397988,0.05149222362337125
2018-3-15,6952398.0,19032.0,4,27809592.0,76128.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8177100.0,16860.0,485.0,5747368.0,21208.0,271.0,8122356.000000001,17028.0,477.0,5762768.0,21032.0,274.0,-0.005144170533311732,-0.0033906292955607764
2018-2-15,6988347.25,19096.75,4,27953389.0,76387.0,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",8264400.0,17040.0,485.0,5734902.0,21162.0,271.0,8203923.0,17199.0,477.0,5750164.0,20986.0,274.0,,
2018-1-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-12-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-11-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-10-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-9-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-8-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-7-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-6-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-5-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-4-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-3-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-2-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2017-1-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-12-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-11-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-10-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-9-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-8-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-7-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-6-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-5-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-4-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-3-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-2-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
2016-1-15,,,4,,,1507,"ALTISSIMO(Block H19-20),YIU SHA RD|泓碧H19-20座,耀沙路",,,485.0,,,271.0,,,477.0,,,274.0,,
