,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10360022.333333334,11852.0,3,31080067.0,35556.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9737065.0,12695.0,767.0,12540648.0,9859.0,1272.0,8802354.000000002,13002.0,677.0,-0.00030852702501482643,-0.00030927545196379747
2019-1-15,9571501.666666666,10965.0,3,28714505.0,32895.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",9032192.0,11776.0,767.0,11511600.0,9050.0,1272.0,8170713.0,12069.0,677.0,0.05631190443021139,0.056324459715487496
2018-12-15,9061245.666666666,10380.333333333334,3,27183737.0,31141.0,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",8550516.0,11148.0,767.0,10898496.000000002,8568.0,1272.0,7734725.0,11425.0,677.0,,
2018-11-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-10-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-9-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-8-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-7-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-6-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-5-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-4-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-3-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-2-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2018-1-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-12-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-11-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-10-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-9-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-8-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-7-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-6-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-5-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-4-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-3-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-2-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2017-1-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-12-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-11-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-10-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-9-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-8-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-7-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-6-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-5-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-4-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-3-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-2-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
2016-1-15,,,3,,,2716,"WETLAND SEASONS PARK(Block V7),WETLAND PARK RD|WETLAND SEASONS PARKV7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,
