,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10152006.333333334,11614.0,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",9542247.0,12441.0,767.0,12288792.0,9661.0,1272.0,8624980.0,12740.0,677.0,,-0.00522881666364805,-0.005224839400428283
2017-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2017-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,,,
2016-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V7,WETLAND PARK RD|WETLAND SEASONS PARK2期,V7座,濕地公園路",,,767.0,,,1272.0,,,677.0,905.3333333333334,,
