,lumpSum_avg,npsf_avg,final_address,lumpSum_33,npsf_33,nfa_33,lumpSum_35,npsf_35,nfa_35,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8836340.0,23882.0,31-36 SAU WA FONG|31-36 秀華坊,8774550.0,23715.0,370.0,8898130.0,24049.0,370.0,,0.04167666237759793,0.04167666237759793
2017-9-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-8-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-7-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-6-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-5-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-4-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-3-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-2-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2017-1-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-12-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-11-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-10-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-9-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-8-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-7-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-6-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-5-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-4-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-3-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-2-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,,,
2016-1-15,,,31-36 SAU WA FONG|31-36 秀華坊,,,370.0,,,370.0,370.0,,
