,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11095808.0,13354.0,3,33287424.0,40062.0,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",10175789.0,13267.0,767.0,10217974.0,13322.0,767.0,12893661.0,13473.0,957.0,-0.00025888961463416127,-0.00024955080854471845
2017-5-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-4-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-3-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-2-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2017-1-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-12-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-11-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-10-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-9-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-8-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-7-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-6-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-5-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-4-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-3-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-2-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
2016-1-15,,,3,,,2491,"WETLAND SEASONS PARK(Phase 2),Block V2,WETLAND PARK RD|WETLAND SEASONS PARK2期,V2座,濕地公園路",,,767.0,,,767.0,,,957.0,,
