,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,14091262.666666666,12168.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14170080.0,11140.0,1272.0,15655052.0,12356.0,1267.0,12448656.0,13008.0,957.0,,-0.005153417742514432,-0.005150846210448812
2020-1-15,14203342.666666666,12264.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14279472.0,11226.0,1272.0,15784286.0,12458.0,1267.0,12546270.0,13110.0,957.0,,-0.007983896802455592,-0.007980587759504054
2019-12-15,14317653.333333334,12363.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14393952.0,11316.0,1272.0,15912253.0,12559.0,1267.0,12646755.0,13215.0,957.0,,0.0034152780951925976,0.0034087219997835927
2019-11-15,14268921.0,12321.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14344344.000000002,11277.0,1272.0,15857772.0,12516.0,1267.0,12604647.0,13171.0,957.0,,0.016022878929239148,0.01602484813501559
2019-10-15,14043897.333333334,12127.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14117928.0,11099.0,1272.0,15608173.0,12319.0,1267.0,12405591.0,12963.0,957.0,,-0.01060591155782642,-0.010606184221261361
2019-9-15,14194442.333333334,12257.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14269296.0,11218.0,1272.0,15775417.0,12451.0,1267.0,12538614.0,13102.0,957.0,,-0.03627400314600937,-0.03627309657974054
2019-8-15,14728711.666666666,12718.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14806080.0,11640.0,1272.0,16369640.0,12920.0,1267.0,13010415.0,13595.0,957.0,,0.04362936556121011,0.043626914660831684
2019-7-15,14112971.666666666,12186.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14186616.0,11153.0,1272.0,15685460.0,12380.0,1267.0,12466839.0,13027.0,957.0,,-0.04316118087241483,-0.04315737129995556
2019-6-15,14749581.0,12736.333333333334,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14826432.0,11656.0,1272.0,16393713.0,12939.0,1267.0,13028598.0,13614.0,957.0,,0.003814148410322682,0.0038093736864228678
2019-5-15,14693537.666666666,12688.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14769192.0,11611.0,1272.0,16331630.0,12890.0,1267.0,12979791.0,13563.0,957.0,,-0.006319163186296106,-0.006317548164778364
2019-4-15,14786979.0,12768.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",14863320.0,11685.0,1272.0,16435524.0,12972.0,1267.0,13062093.0,13649.0,957.0,,0.06592183627637449,0.06592091716058657
2019-3-15,13872479.666666666,11979.0,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13943664.0,10962.0,1272.0,15419390.0,12170.0,1267.0,12254385.0,12805.0,957.0,,0.02764881237155925,0.02765227337718046
2019-2-15,13499241.666666666,11656.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13568424.0,10667.0,1272.0,15005081.0,11843.0,1267.0,11924220.0,12460.0,957.0,,0.01710607322033031,0.01710197196207308
2019-1-15,13272206.333333334,11460.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",13339464.0,10487.0,1272.0,14752948.0,11644.0,1267.0,11724207.0,12251.0,957.0,,0.035739426100128924,0.03382746489460864
2018-12-15,12814233.0,11085.666666666666,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",12391824.0,9742.0,1272.0,14497014.0,11442.0,1267.0,11553861.0,12073.0,957.0,,,
2018-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2018-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2017-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,,,
2016-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block V1,WETLAND PARK RD|WETLAND SEASONS PARK2期,V1座,濕地公園路",,,1272.0,,,1267.0,,,957.0,1165.3333333333333,,
