,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6404626.285714285,13604.285714285714,7,44832384.0,95230.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",6110045.000000001,14723.0,415.0,6349248.000000001,14496.0,438.0,6201702.0,14031.0,442.0,5940731.0,14111.0,421.0,6787980.0,13155.0,516.0,6929472.0,11968.0,579.0,6513206.0,12746.0,511.0,-0.000357359372219479,-0.0003673962105704698
2019-1-15,5947576.428571428,12635.285714285714,7,41633035.0,88447.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5687575.0,13705.0,415.0,5916942.000000001,13509.0,438.0,5766774.0,13047.0,442.0,5502049.0,13069.0,421.0,6301392.0,12212.0,516.0,6418794.0,11086.0,579.0,6039509.0,11819.0,511.0,0.05633956839482779,0.056323225567591395
2018-12-15,5630364.142857143,11961.57142857143,7,39412549.0,83731.0,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",5385455.0,12977.0,415.0,5603334.0,12793.0,438.0,5460026.000000001,12353.0,442.0,5207349.0,12369.0,421.0,5964959.999999999,11560.0,516.0,6074868.0,10492.0,579.0,5716557.0,11187.0,511.0,,
2018-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2018-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2017-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-12-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-11-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-10-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-9-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-8-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-7-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-6-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-5-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-4-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-3-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-2-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
2016-1-15,,,7,,,3322,"WETLAND SEASONS PARK(Block 19),WETLAND PARK RD|WETLAND SEASONS PARK19座,濕地公園路",,,415.0,,,438.0,,,442.0,,,421.0,,,516.0,,,579.0,,,511.0,,
