,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_C3,npsf_C3,nfa_C3,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6140420.461538462,14543.846153846154,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",7130955.0,14065.0,507.0,6110208.0,13824.0,442.0,6239904.0,14928.0,418.0,6382344.0,15643.0,408.0,5192972.0,14587.0,356.0,6300812.0,14756.0,427.0,6548665.0,14585.0,449.0,5897006.0,14074.0,419.0,6035724.0,15516.0,389.0,4979016.0,13986.0,356.0,6326556.0,14249.0,444.0,6366170.0,14306.0,445.0,6315134.0,14551.0,434.0,,-0.011218115562553033,-0.011202225801727916
2022-1-15,7122946.692307692,16871.153846153848,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8287422.0,16346.0,507.0,7098078.0,16059.0,442.0,7251046.0,17347.0,418.0,7411728.0,18166.0,408.0,6034200.0,16950.0,356.0,7321342.0,17146.0,427.0,7609203.0,16947.0,449.0,6852745.0,16355.0,419.0,6984884.0,17956.0,389.0,5785712.0,16252.0,356.0,7351308.0,16557.0,444.0,7392785.0,16613.0,445.0,7217854.0,16631.0,434.0,,-0.007085273086512522,-0.007084974421657675
2021-12-15,7173774.846153846,16991.53846153846,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8346741.0,16463.0,507.0,7148466.0,16173.0,442.0,7302878.0,17471.0,418.0,7464360.0,18295.0,408.0,6077276.0,17071.0,356.0,7373863.0,17269.0,427.0,7663532.0,17068.0,449.0,6901768.0,16472.0,419.0,7034676.0,18084.0,389.0,5827008.0,16368.0,356.0,7404144.0,16676.0,444.0,7445295.0,16731.0,445.0,7269066.0,16749.0,434.0,,-0.008368122846015735,-0.008367975434784625
2021-11-15,7234312.461538462,17134.923076923078,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8417721.0,16603.0,507.0,7208578.0,16309.0,442.0,7364742.0,17619.0,418.0,7526784.0,18448.0,408.0,6128540.0,17215.0,356.0,7435778.0,17414.0,427.0,7728188.0,17212.0,449.0,6960009.0,16611.0,419.0,7094193.0,18237.0,389.0,5876492.0,16507.0,356.0,7466748.0,16817.0,444.0,7507595.0,16871.0,445.0,7330694.0,16891.0,434.0,,-0.00025570288443133027,-0.00025582219908337755
2021-10-15,7236162.769230769,17139.30769230769,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8420256.0,16608.0,507.0,7209904.0,16312.0,442.0,7366832.0,17624.0,418.0,7528416.0,18452.0,408.0,6130320.0,17220.0,356.0,7437913.0,17419.0,427.0,7730433.0,17217.0,449.0,6962104.0,16616.0,419.0,7096138.0,18242.0,389.0,5877916.0,16511.0,356.0,7468524.0,16821.0,444.0,7508930.0,16874.0,445.0,7332430.0,16895.0,434.0,,-0.035199572522247036,-0.03519961894864465
2021-9-15,7500165.384615385,17764.615384615383,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8727498.0,17214.0,507.0,7472894.0,16907.0,442.0,7635606.0,18267.0,418.0,7802592.0,19124.0,408.0,6353888.0,17848.0,356.0,7709485.0,18055.0,427.0,8012854.000000001,17846.0,449.0,7216018.0,17222.0,419.0,7355212.0,18908.0,389.0,6092584.0,17114.0,356.0,7741140.0,17435.0,444.0,7782605.0,17489.0,445.0,7599774.0,17511.0,434.0,,0.023085858798314485,0.023085203939236854
2021-8-15,7330924.692307692,17363.76923076923,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8530782.0,16826.0,507.0,7303608.0,16524.0,442.0,7463390.0,17855.0,418.0,7625928.0,18691.0,408.0,6210776.0,17446.0,356.0,7535696.0,17648.0,427.0,7831907.0,17443.0,449.0,7053446.0,16834.0,419.0,7189498.0,18482.0,389.0,5955168.0,16728.0,356.0,7566648.0,17042.0,444.0,7606830.0,17094.0,445.0,7428344.0,17116.0,434.0,,-0.0046880496357915025,-0.00468711418392187
2021-7-15,7365454.307692308,17445.53846153846,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8571342.0,16906.0,507.0,7338084.0,16602.0,442.0,7498502.0,17939.0,418.0,7661424.0,18778.0,408.0,6239968.0,17528.0,356.0,7571137.0,17731.0,427.0,7869174.0,17526.0,449.0,7086547.0,16913.0,419.0,7223341.0,18569.0,389.0,5983292.0,16807.0,356.0,7602612.0,17123.0,444.0,7641985.0,17173.0,445.0,7463498.0,17197.0,434.0,,0.02766057221595508,0.02765895744218083
2021-6-15,7167205.307692308,16976.0,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8340657.0,16451.0,507.0,7140068.0,16154.0,442.0,7297026.0,17457.0,418.0,7454976.0,18272.0,408.0,6072292.0,17057.0,356.0,7367458.0,17254.0,427.0,7657246.0,17054.0,449.0,6895902.0,16458.0,419.0,7029230.0,18070.0,389.0,5822380.0,16355.0,356.0,7397928.0,16662.0,444.0,7435950.0,16710.0,445.0,7262556.0,16734.0,434.0,,0.011962979796368733,0.011963554491720929
2021-5-15,7082477.769230769,16775.30769230769,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8242299.0,16257.0,507.0,7055204.0,15962.0,442.0,7210918.0,17251.0,418.0,7366440.0,18055.0,408.0,6000380.0,16855.0,356.0,7280777.0,17051.0,427.0,7566997.0,16853.0,449.0,6814616.000000001,16264.0,419.0,6945984.0,17856.0,389.0,5753672.0,16162.0,356.0,7310460.0,16465.0,444.0,7347840.0,16512.0,445.0,7176624.0,16536.0,434.0,,0.011634083938934836,0.011634217960671656
2021-4-15,7001027.230769231,16582.384615384617,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",8147997.0,16071.0,507.0,6973876.0,15778.0,442.0,7128154.0,17053.0,418.0,7281168.0,17846.0,408.0,5931672.0,16662.0,356.0,7197085.0,16855.0,427.0,7479891.0,16659.0,449.0,6736263.0,16077.0,419.0,6866239.0,17651.0,389.0,5687456.0,15976.0,356.0,7226544.0,16276.0,444.0,7262845.0,16321.0,445.0,7094164.0,16346.0,434.0,,,
2021-3-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2021-2-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2021-1-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-12-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-11-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-10-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-9-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-8-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-7-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-6-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-5-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-4-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-3-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-2-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2020-1-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-12-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-11-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-10-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-9-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-8-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-7-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-6-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-5-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-4-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-3-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-2-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2019-1-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-12-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-11-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-10-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-9-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-8-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-7-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-6-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-5-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-4-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-3-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-2-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,,,
2018-1-15,,,"WETLAND SEASONS BAY(Phase 3),Block T6A,WETLAND PARK RD|WETLAND SEASONS BAY3期,T6A座,濕地公園路",,,507.0,,,442.0,,,418.0,,,408.0,,,356.0,,,427.0,,,449.0,,,419.0,,,389.0,,,356.0,,,444.0,,,445.0,,,434.0,422.61538461538464,,
