,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6393117.142857143,13601.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6358784.0,15104.0,421.0,6376292.0,14426.0,442.0,6377717.999999999,14561.0,438.0,5891755.0,14197.0,415.0,6225002.0,12182.0,511.0,6956685.0,12015.0,579.0,6565584.0,12724.0,516.0,,-0.005106961769360541,-0.005089031934459198
2020-1-15,6432845.857142857,13682.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6318368.0,15008.0,421.0,6427122.0,14541.0,442.0,6428526.0,14677.0,438.0,5938650.0,14310.0,415.0,6279168.0,12288.0,511.0,7015743.0,12117.0,579.0,6622344.0,12834.0,516.0,,-0.008006129356492031,-0.00802692905230451
2019-12-15,6484763.714285715,13792.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6370572.0,15132.0,421.0,6479720.0,14660.0,442.0,6481524.0,14798.0,438.0,5988035.0,14429.0,415.0,6328224.0,12384.0,511.0,7071327.0,12213.0,579.0,6673944.0,12934.0,516.0,,0.003344034659787276,0.0033253663098826713
2019-11-15,6463150.714285715,13747.142857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6350785.0,15085.0,421.0,6458946.0,14613.0,442.0,6460938.0,14751.0,438.0,5968945.000000001,14383.0,415.0,6305740.0,12340.0,511.0,7047009.0,12171.0,579.0,6649692.0,12887.0,516.0,,0.015961229590498505,0.015941722972973027
2019-10-15,6361611.571428572,13531.42857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6252271.0,14851.0,421.0,6358170.0,14385.0,442.0,6360198.0,14521.0,438.0,5876400.0,14160.0,415.0,6205584.0,12144.0,511.0,6935262.0,11978.0,579.0,6543396.0,12681.0,516.0,,-0.010645925650302757,-0.010664187756551535
2019-9-15,6430065.571428572,13677.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6320894.0,15014.0,421.0,6427564.0,14542.0,442.0,6429402.0,14679.0,438.0,5940725.0,14315.0,415.0,6270992.0,12272.0,511.0,7009374.0,12106.0,579.0,6611508.0,12813.0,516.0,,-0.03630506472298445,-0.036326119778560706
2019-8-15,6672304.0,14192.857142857143,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6560864.0,15584.0,421.0,6670664.0,15092.0,442.0,6672492.0,15234.0,438.0,6165655.0,14857.0,415.0,6505541.0,12731.0,511.0,7272240.0,12560.0,579.0,6858672.0,13292.0,516.0,,0.04355970632765094,0.043537629326190874
2019-7-15,6393792.285714285,13600.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6288477.0,14937.0,421.0,6393088.0,14464.0,442.0,6394799.999999999,14600.0,438.0,5909600.0,14240.0,415.0,6232667.0,12197.0,511.0,6967686.0,12034.0,579.0,6570228.0,12733.0,516.0,,-0.043223266159401974,-0.043242754351408896
2019-6-15,6682637.714285715,14215.42857142857,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6573915.0,15615.0,421.0,6683040.0,15120.0,442.0,6684756.0,15262.0,438.0,6177690.0,14886.0,415.0,6512695.0,12745.0,511.0,7281504.0,12576.0,579.0,6864864.0,13304.0,516.0,,0.003742830582924128,0.0037220468231471404
2019-5-15,6657719.0,14162.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6551181.0,15561.0,421.0,6658730.0,15065.0,442.0,6660666.000000001,15207.0,438.0,6156110.0,14834.0,415.0,6486634.0,12694.0,511.0,7253712.0,12528.0,579.0,6837000.0,13250.0,516.0,,-0.0063621856733024895,-0.006384300833867873
2019-4-15,6700347.857142857,14253.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6594544.0,15664.0,421.0,6702488.0,15164.0,442.0,6704466.0,15307.0,438.0,6196780.0,14932.0,415.0,6527003.0,12773.0,511.0,7298874.0,12606.0,579.0,6878280.0,13330.0,516.0,,0.06590282747976639,0.06588041748122508
2019-3-15,6286077.571428572,13372.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6188279.0,14699.0,421.0,6289218.0,14229.0,442.0,6290994.0,14363.0,438.0,5814564.999999999,14011.0,415.0,6121780.0,11980.0,511.0,6846675.0,11825.0,579.0,6451032.000000001,12502.0,516.0,,0.02758588720374555,0.027563722584469597
2019-2-15,6117325.714285715,13014.0,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",6023668.0,14308.0,421.0,6121258.0,13849.0,442.0,6122802.0,13979.0,438.0,5659770.0,13638.0,415.0,5956216.0,11656.0,511.0,6661974.0,11506.0,579.0,6275592.0,12162.0,516.0,,0.017035283039203986,0.01701386563065177
2019-1-15,6014860.857142857,12796.285714285714,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",5924312.0,14072.0,421.0,6019598.0,13619.0,442.0,6021186.0,13747.0,438.0,5565980.0,13412.0,415.0,5855038.0,11458.0,511.0,6549648.0,11312.0,579.0,6168264.000000001,11954.0,516.0,,0.014740919961467647,0.014715378079863894
2018-12-15,5927484.285714285,12610.714285714286,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",5839691.0,13871.0,421.0,5932966.0,13423.0,442.0,5934900.000000001,13550.0,438.0,5486715.0,13221.0,415.0,5768168.0,11288.0,511.0,6453534.0,11146.0,579.0,6076416.0,11776.0,516.0,,,
2018-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2018-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2017-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-12-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-11-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-10-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-9-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-8-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-7-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-6-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-5-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-4-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-3-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-2-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,,,
2016-1-15,,,"WETLAND SEASONS PARK(Phase 2),Block 18,WETLAND PARK RD|WETLAND SEASONS PARK2期,18座,濕地公園路",,,421.0,,,442.0,,,438.0,,,415.0,,,511.0,,,579.0,,,516.0,474.57142857142856,,
