,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6601078.125,13304.125,8,52808625.0,106433.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6515005.0,13433.0,485.0,6181648.0,15004.0,412.0,7711488.0,13388.0,576.0,6260140.0,13609.0,460.0,8603904.0,13056.0,659.0,5840876.000000001,12118.0,482.0,5573448.0,13176.0,423.0,6122116.0,12649.0,484.0,-0.0002827904660652747,-0.00027239766301589974
2019-1-15,6125087.375,12343.375,8,49000699.0,98747.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",6036795.0,12447.0,485.0,5722680.0,13890.0,412.0,7159680.0,12430.0,576.0,5797380.0,12603.0,460.0,7994988.0,12132.0,659.0,5427320.0,11260.0,482.0,5179212.000000001,12244.0,423.0,5682644.0,11741.0,484.0,0.05640833920296329,0.05642271030137036
2018-12-15,5798030.125,11684.125,8,46384241.0,93473.0,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",5713300.0,11780.0,485.0,5415739.999999999,13145.0,412.0,6777792.0,11767.0,576.0,5486880.0,11928.0,460.0,7569274.000000001,11486.0,659.0,5138602.0,10661.0,482.0,4902993.0,11591.0,423.0,5379660.0,11115.0,484.0,,
2018-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-12-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-12-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Phase 2),Block 15,WETLAND PARK RD|WETLAND SEASONS PARK2期,15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
