,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10844955.333333334,11651.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10383834.0,11082.0,937.0,11016732.0,12027.0,916.0,11134300.0,11845.0,940.0,,-0.01662763033545933,-0.01662681108454067
2019-11-15,10742344.0,11542.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9827256.0,10488.0,937.0,11066196.0,12081.0,916.0,11333580.0,12057.0,940.0,,0.009857657434637623,0.009857676154922945
2019-10-15,10637483.333333334,11429.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9731682.0,10386.0,937.0,10958108.0,11963.0,916.0,11222660.0,11939.0,940.0,,-0.026130385545551915,-0.026130424903430982
2019-9-15,10922903.0,11736.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9993105.0,10665.0,937.0,11252144.0,12284.0,916.0,11523460.0,12259.0,940.0,,-0.024600938313118825,-0.024601063829787218
2019-8-15,11198394.0,12032.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10245158.0,10934.0,937.0,11536104.0,12594.0,916.0,11813920.0,12568.0,940.0,,-0.008896167073092265,-0.008896210873146626
2019-7-15,11298911.0,12140.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10337921.0,11033.0,937.0,11639612.0,12707.0,916.0,11919200.0,12680.0,940.0,,0.01062842310700507,0.010627965701917486
2019-6-15,11180084.333333334,12012.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10229229.0,10917.0,937.0,11517784.0,12574.0,916.0,11793240.0,12546.0,940.0,,-0.02412854521765495,-0.024128032928942833
2019-5-15,11456513.333333334,12309.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10483156.0,11188.0,937.0,11801744.0,12884.0,916.0,12084640.0,12856.0,940.0,,0.010203901379148173,0.01020380248939956
2019-4-15,11340793.0,12185.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10377275.0,11075.0,937.0,11682664.0,12754.0,916.0,11962440.0,12726.0,940.0,,0.014177399417821812,0.01417711685717471
2019-3-15,11182257.666666666,12014.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",10232977.0,10921.0,937.0,11519616.0,12576.0,916.0,11794180.0,12547.0,940.0,,0.03831310599754523,0.038313072535576254
2019-2-15,10769639.333333334,11571.333333333334,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9855366.0,10518.0,937.0,11094592.0,12112.0,916.0,11358960.0,12084.0,940.0,,0.006319624793107437,0.006319573283859015
2019-1-15,10702006.666666666,11498.666666666666,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9793524.0,10452.0,937.0,11024976.0,12036.0,916.0,11287520.0,12008.0,940.0,,0.01731097430580042,0.017311038367395115
2018-12-15,10519897.0,11303.0,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9627675.0,10275.0,937.0,10837196.0,11831.0,916.0,11094820.0,11803.0,940.0,,,
2018-11-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-10-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-9-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-8-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-7-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-6-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-5-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-4-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-3-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-2-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2018-1-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-12-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-11-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-10-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-9-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-8-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-7-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-6-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-5-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-4-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-3-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-2-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2017-1-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-12-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-11-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-10-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-9-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-8-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-7-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-6-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-5-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-4-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-3-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-2-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,,
2016-1-15,,,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,931.0,,
