,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7413836.166666667,15046.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9496492.0,12938.0,734.0,5063700.0,16879.0,300.0,7628226.0,15226.0,501.0,7572615.0,15115.0,501.0,5087400.0,16958.0,300.0,9634584.0,13162.0,732.0,,-0.01948385762848448,-0.01855737348480735
2020-1-15,7136526.5,14430.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9270420.0,12630.0,734.0,4821000.0,16070.0,300.0,7272015.0,14515.0,501.0,7252476.0,14476.0,501.0,4823400.0,16078.0,300.0,9379848.0,12814.0,732.0,,-0.03896274616963469,-0.03895974160034632
2019-12-15,7425858.333333333,15015.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9645494.0,13141.0,734.0,5016000.0,16720.0,300.0,7567103.999999999,15104.0,501.0,7547063.999999999,15064.0,501.0,5019000.0,16730.0,300.0,9760488.0,13334.0,732.0,,0.009617654968480549,0.009615061354849574
2019-11-15,7355119.333333333,14872.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9553010.0,13015.0,734.0,4968000.0,16560.0,300.0,7495460.999999999,14961.0,501.0,7475420.999999999,14921.0,501.0,4971300.0,16571.0,300.0,9667524.0,13207.0,732.0,,0.009875982925432014,0.009868383825809568
2019-10-15,7283190.666666667,14727.166666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9459058.0,12887.0,734.0,4919400.0,16398.0,300.0,7422315.0,14815.0,501.0,7402275.0,14775.0,501.0,4923000.0,16410.0,300.0,9573096.0,13078.0,732.0,,-0.02617329752760167,-0.026174259957239543
2019-9-15,7478939.166666667,15123.0,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9712288.0,13232.0,734.0,5051100.0,16837.0,300.0,7622214.0,15214.0,501.0,7601673.0,15173.0,501.0,5055600.0,16852.0,300.0,9830760.0,13430.0,732.0,,-0.024667268294103595,-0.02466866595724093
2019-8-15,7668090.0,15505.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9957444.0,13566.0,734.0,5178600.0,17262.0,300.0,7815099.0,15599.0,501.0,7794057.0,15557.0,501.0,5183700.0,17279.0,300.0,10079640.0,13770.0,732.0,,-0.008943614533737598,-0.008948259883033494
2019-7-15,7737289.333333333,15645.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10046258.0,13687.0,734.0,5225100.0,17417.0,300.0,7885740.000000001,15740.0,501.0,7864697.999999999,15698.0,501.0,5230800.0,17436.0,300.0,10171140.0,13895.0,732.0,,0.010601448862065599,0.010604168460942143
2019-6-15,7656123.333333333,15481.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9940562.0,13543.0,734.0,5169900.0,17233.0,300.0,7803576.000000001,15576.0,501.0,7782534.000000001,15534.0,501.0,5175900.0,17253.0,300.0,10064268.0,13749.0,732.0,,-0.024141943422642975,-0.02414220578656523
2019-5-15,7845529.666666667,15864.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10185718.0,13877.0,734.0,5297400.0,17658.0,300.0,7996962.0,15962.0,501.0,7974918.0,15918.0,501.0,5304300.0,17681.0,300.0,10313880.0,14090.0,732.0,,0.010190453218055895,0.010188270753295203
2019-4-15,7766386.666666667,15704.333333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",10082224.0,13736.0,734.0,5243700.0,17479.0,300.0,7916301.0,15801.0,501.0,7895259.0,15759.0,501.0,5250900.0,17503.0,300.0,10209936.0,13948.0,732.0,,0.014135468834319376,0.014131499359615995
2019-3-15,7658135.333333333,15485.5,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9940562.0,13543.0,734.0,5170200.0,17234.0,300.0,7806582.000000001,15582.0,501.0,7785539.999999999,15540.0,501.0,5178000.0,17260.0,300.0,10067928.0,13754.0,732.0,,0.038262815539221506,0.03826168579378475
2019-2-15,7375912.166666667,14914.833333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9573562.0,13043.0,734.0,4979400.0,16598.0,300.0,7519008.000000001,15008.0,501.0,7498466.999999999,14967.0,501.0,4987500.0,16625.0,300.0,9697536.0,13248.0,732.0,,0.006287781859604991,0.006285842797706165
2019-1-15,7329823.833333333,14821.666666666666,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9513374.0,12961.0,734.0,4947900.0,16493.0,300.0,7472415.0,14915.0,501.0,7451874.0,14874.0,501.0,4956600.0,16522.0,300.0,9636780.0,13165.0,732.0,,0.01646201883823495,0.01672630820766674
2018-12-15,7211114.333333333,14577.833333333334,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",9385658.0,12787.0,734.0,4863600.0,16212.0,300.0,7345662.0,14662.0,501.0,7325622.0,14622.0,501.0,4872600.0,16242.0,300.0,9473544.0,12942.0,732.0,,,
2018-11-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-10-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-9-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-8-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-7-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-6-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-5-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-4-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-3-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-2-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2018-1-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-12-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-11-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-10-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-9-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-8-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-7-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-6-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-5-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-4-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-3-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-2-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2017-1-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-12-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-11-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-10-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-9-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-8-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-7-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-6-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-5-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-4-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-3-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-2-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,,,
2016-1-15,,,"CRESCENT GREEN(Block 10),KO PO PATH|山水盈10座,高埔徑",,,734.0,,,300.0,,,501.0,,,501.0,,,300.0,,,732.0,511.3333333333333,,
