,lumpSum_avg,npsf_avg,final_address,lumpSum_11,npsf_11,nfa_11,lumpSum_15,npsf_15,nfa_15,nfa_avg,lumpSum_change,npsf_change
2020-12-15,22177911.0,9093.0,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22035975.0,9087.0,2425.0,22319847.0,9099.0,2453.0,,-0.016547634662963828,-0.0165476963011032
2019-4-15,23010836.5,9434.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22862900.0,9428.0,2425.0,23158773.0,9441.0,2453.0,,0.011456470964133825,0.01147145537389438
2019-3-15,22750199.5,9327.5,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",22545225.0,9297.0,2425.0,22955174.0,9358.0,2453.0,,,
2019-2-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2019-1-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-12-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-11-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-10-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-9-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-8-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-7-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-6-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-5-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-4-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-3-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-2-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2018-1-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-12-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-11-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-10-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-9-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-8-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-7-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-6-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-5-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-4-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-3-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-2-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2017-1-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-12-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-11-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-10-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-9-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-8-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-7-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-6-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-5-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-4-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-3-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-2-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,,,
2016-1-15,,,"THE VINEYARD,LAFITE AVE|葡萄園,洛菲大道",,,2425.0,,,2453.0,2439.0,,
