,lumpSum_avg,npsf_avg,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_21,npsf_21,nfa_21,lumpSum_23,npsf_23,nfa_23,lumpSum_26,npsf_26,nfa_26,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2658094.75,6235.5,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",2829573.9999999995,6274.0,451.0,2462724.0,6219.0,396.0,2449176.0,6232.0,393.0,2890905.0,6217.0,465.0,,-0.07369821864020054,-0.07399294598106554
2020-1-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-12-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-11-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-10-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-9-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-8-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-7-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-6-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-5-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-4-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-3-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-2-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2019-1-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-12-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-11-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-10-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-9-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-8-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-7-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-6-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-5-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-4-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-3-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-2-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,,,
2018-1-15,,,"ON SAU COURT(Block A),ON YU RD|安秀苑A座,安愉道",,,451.0,,,396.0,,,393.0,,,465.0,426.25,,
