,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6933552.444444444,19038.666666666668,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9118600.0,17950.0,508.0,8895940.0,19339.0,460.0,6321504.0,18814.0,336.0,5737396.0,18998.0,302.0,5570572.0,20942.0,266.0,6526314.000000001,20523.0,318.0,8708696.0,17348.0,502.0,6293192.0,18136.0,347.0,5229758.0,19298.0,271.0,,-0.056073612072340295,-0.05607430299624849
2020-1-15,7134126.444444444,19589.88888888889,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9384284.0,18473.0,508.0,9156760.0,19906.0,460.0,6500928.0,19348.0,336.0,5900476.0,19538.0,302.0,5738950.0,21575.0,266.0,6711708.0,21106.0,318.0,8956182.0,17841.0,502.0,6476061.0,18663.0,347.0,5381789.0,19859.0,271.0,,0.0021825171058376114,0.0021770517149257707
2019-12-15,7118590.0,19547.333333333332,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9363964.0,18433.0,508.0,9136980.0,19863.0,460.0,6486479.999999999,19305.0,336.0,5887188.0,19494.0,302.0,5727246.0,21531.0,266.0,6696762.0,21059.0,318.0,8936102.0,17801.0,502.0,6462180.999999999,18623.0,347.0,5370407.0,19817.0,271.0,,-0.032814610145725176,-0.03281563539404608
2019-11-15,7360109.111111111,20210.555555555555,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9681972.0,19059.0,508.0,9447480.0,20538.0,460.0,6706224.0,19959.0,336.0,6086508.0,20154.0,302.0,5922490.0,22265.0,266.0,6923496.0,21772.0,318.0,9238808.0,18404.0,502.0,6681485.0,19255.0,347.0,5552519.0,20489.0,271.0,,-0.008434335487885969,-0.008438588553392634
2019-10-15,7422714.777777778,20382.555555555555,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9764268.0,19221.0,508.0,9527980.0,20713.0,460.0,6763008.000000001,20128.0,336.0,6138150.000000001,20325.0,302.0,5973562.0,22457.0,266.0,6982008.000000001,21956.0,318.0,9317120.0,18560.0,502.0,6738393.0,19419.0,347.0,5599944.000000001,20664.0,271.0,,0.010250595690726394,0.010248813208357577
2019-9-15,7347399.555555556,20175.777777777777,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9665716.0,19027.0,508.0,9431840.0,20504.0,460.0,6693791.999999999,19922.0,336.0,6075334.0,20117.0,302.0,5913712.0,22232.0,266.0,6910776.0,21732.0,318.0,9221740.0,18370.0,502.0,6670381.000000001,19223.0,347.0,5543304.999999999,20455.0,271.0,,-0.05339144231547466,-0.053397628046396584
2019-8-15,7761814.0,21313.88888888889,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",10210800.0,20100.0,508.0,9964060.0,21661.0,460.0,7071120.0,21045.0,336.0,6417802.0,21251.0,302.0,6248340.0,23490.0,266.0,7300326.0,22957.0,318.0,9741310.0,19405.0,502.0,7046529.0,20307.0,347.0,5856039.0,21609.0,271.0,,0.05095904454764666,0.05095768227739916
2019-7-15,7385458.111111111,20280.444444444445,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9716008.0,19126.0,508.0,9481520.0,20612.0,460.0,6727728.0,20023.0,336.0,6106138.0,20219.0,302.0,5946164.000000001,22354.0,266.0,6945756.000000001,21842.0,318.0,9268426.0,18463.0,502.0,6705081.0,19323.0,347.0,5572302.0,20562.0,271.0,,-0.002574029206014239,-0.0025738408153227477
2019-6-15,7404517.555555556,20332.777777777777,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",9741408.0,19176.0,508.0,9506360.0,20666.0,460.0,6744864.0,20074.0,336.0,6121540.0,20270.0,302.0,5962123.999999999,22414.0,266.0,6963246.0,21897.0,318.0,9292020.0,18510.0,502.0,6722431.000000001,19373.0,347.0,5586665.0,20615.0,271.0,,,
2019-5-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2019-4-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2019-3-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2019-2-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2019-1-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-12-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-11-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-10-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-9-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-8-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-7-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-6-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-5-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-4-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-3-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-2-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2018-1-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-12-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-11-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-10-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-9-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-8-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-7-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-6-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-5-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-4-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-3-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-2-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2017-1-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-12-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-11-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-10-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-9-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-8-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-7-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-6-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-5-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-4-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-3-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-2-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,,,
2016-1-15,,,"MONTEGO BAY(Block 3),SHUNG SHUN ST|蔚藍東岸3座,崇信街",,,508.0,,,460.0,,,336.0,,,302.0,,,266.0,,,318.0,,,502.0,,,347.0,,,271.0,367.77777777777777,,
