,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1857949.1780977163,3707.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1857949.1780977163,3707.0,541.0,,-0.023094422127460157,-0.11675005956635687
2018-8-15,2106113.0,3893.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2106113.0,3893.0,541.0,,-0.1840285055543911,-0.1840285055543911
2018-7-15,2581111.0,4771.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2581111.0,4771.0,541.0,,0.29015684153596544,0.29015684153596544
2018-6-15,2000618.0,3698.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2000618.0,3698.0,541.0,,-0.05155167991792764,-0.05155167991792764
2018-5-15,2109359.0,3899.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2109359.0,3899.0,541.0,,0.049528936742934127,0.049528936742934127
2018-4-15,2009815.0,3715.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2009815.0,3715.0,541.0,,-0.03681617837697693,-0.03681617837697693
2018-3-15,2086637.0,3857.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2086637.0,3857.0,541.0,,0.07407407407407418,0.07407407407407418
2018-2-15,1942731.0,3591.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1942731.0,3591.0,541.0,,0.019012485811577662,0.019012485811577662
2018-1-15,1906484.0,3524.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1906484.0,3524.0,541.0,,-0.049366064202859494,-0.049366064202859494
2017-12-15,2005487.0,3707.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2005487.0,3707.0,541.0,,-0.11675005956635687,-0.11675005956635687
2017-11-15,2270577.0,4197.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",2270577.0,4197.0,541.0,,0.2261174408413671,0.2261174408413673
2017-10-15,1851843.0000000002,3423.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1851843.0000000002,3423.0,541.0,,0.040741866828823525,0.0407418668288233
2017-9-15,1779348.9999999998,3289.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1779348.9999999998,3289.0,541.0,,-0.08460896187030353,-0.08460896187030342
2017-8-15,1943813.0,3593.0,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",1943813.0,3593.0,541.0,,,
2017-7-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-6-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-5-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-4-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-3-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-2-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2017-1-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-12-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-11-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-10-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-9-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-8-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-7-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-6-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-5-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-4-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-3-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-2-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,,,
2016-1-15,,,"GRAND HSE,PARKES ST|嘉齡樓,白加士街",,,541.0,541.0,,
