,final_address_floor_unit,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,F/R:,FR:,has_FR,roof,has_roof,UTILITY_PLATFORM:,UP:,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform
0,1 PERTH ST|1 巴富街_10_whole floor,1 PERTH ST|1 巴富街,10,whole floor,2009-04-22,CPS 4 ON G/F ,blank,"CPS 4 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
15,11 LIBERTY AVE|11 自由道_6_whole floor,11 LIBERTY AVE|11 自由道,6,whole floor,2017-11-01,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
16,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_3_C","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",3,C,2020-10-14,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
17,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_5_C","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",5,C,2020-10-19,blank,BAL:22 SF (NI) / ,"blank,BAL:22 SF (NI) / ",,False,22,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
18,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_6_A","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",6,A,2020-10-15,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,"blank,BAL:22 SF (NI) / UP:16 SF (NI) / ",,False,22,False,,,False,,False,,16,False,,False,,False,,False,,False,False,False,False,,16
19,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_6_B","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",6,B,2020-10-19,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,"blank,BAL:22 SF (NI) / UP:16 SF (NI) / ",,False,22,False,,,False,,False,,16,False,,False,,False,,False,,False,False,False,False,,16
20,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_6_C","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",6,C,2020-10-16,blank,BAL:22 SF (NI) / ,"blank,BAL:22 SF (NI) / ",,False,22,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
21,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_6_G","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",6,G,2020-10-16,blank,BAL:22 SF (NI) / UP:17 SF (NI) / ,"blank,BAL:22 SF (NI) / UP:17 SF (NI) / ",,False,22,False,,,False,,False,,17,False,,False,,False,,False,,False,False,False,False,,17
22,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道_7_E","128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",7,E,2020-10-29,blank,BAL:22 SF (NI) / ,"blank,BAL:22 SF (NI) / ",,False,22,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
23,13 LIBERTY AVE|13 自由道_1_whole floor,13 LIBERTY AVE|13 自由道,1,whole floor,2019-04-16,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
24,13 LIBERTY AVE|13 自由道_4_whole floor,13 LIBERTY AVE|13 自由道,4,whole floor,2001-07-17,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
25,13 LIBERTY AVE|13 自由道_5_whole floor,13 LIBERTY AVE|13 自由道,5,whole floor,2006-07-14,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
26,13 LIBERTY AVE|13 自由道_6_whole floor,13 LIBERTY AVE|13 自由道,6,whole floor,2019-04-16,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
27,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_10_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",10,A,2009-04-30,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SF ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SF ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
28,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_10_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",10,B,2008-11-20,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SF ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SF ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,
29,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_11_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",11,A,2009-03-03,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 1 ON 3/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 1 ON 3/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
30,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_11_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",11,B,2008-03-15,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 9 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 9 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
31,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_12_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",12,A,2009-02-27,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 1 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 1 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
32,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_12_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",12,B,2012-06-05,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 3 ON 5/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 3 ON 5/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
33,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_15_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",15,A,2010-06-24,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 14 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 14 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
34,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_15_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",15,B,2010-06-24,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 13 ON 5/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 13 ON 5/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
35,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_16_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",16,A,2008-12-23,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 16 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 16 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
36,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_16_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",16,B,2007-04-13,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
37,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_17_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",17,A,2017-05-29,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 12 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 12 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
38,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_17_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",17,B,2009-07-15,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 15 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 15 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
39,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_18_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",18,A,2007-07-19,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
40,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_18_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",18,B,2017-10-06,blank,BW:52 SF (GI/NE) / BAL:44 SF (GI/NI) / UP:16 SF (GI/NI) / PF:5 SF (GI/NI) / ,"blank,BW:52 SF (GI/NE) / BAL:44 SF (GI/NI) / UP:16 SF (GI/NI) / PF:5 SF (GI/NI) / ",52,False,44,False,,,False,,False,,16,False,,False,,False,,False,,False,False,False,False,,16
41,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_19_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",19,A,2008-07-04,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
42,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_19_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",19,B,2008-02-11,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 10 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 10 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
43,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_20_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",20,B,2009-04-30,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 8 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 8 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
44,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_21_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",21,A,2012-04-16,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 8 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 8 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
45,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_21_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",21,B,2007-01-23,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 6 ON 6/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 6 ON 6/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
46,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_23_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",23,A,2019-12-11,blank,BW:55 SF (GI/NE) / BAL:50 SF (GI/NI) / UP:16 SF (GI/NI) / ,"blank,BW:55 SF (GI/NE) / BAL:50 SF (GI/NI) / UP:16 SF (GI/NI) / ",55,False,50,False,,,False,,False,,16,False,,False,,False,,False,,False,False,False,False,,16
47,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_23_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",23,B,2007-04-17,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 4 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 4 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
48,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_25_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",25,A,2007-10-11,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 7 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 7 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
49,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_25_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",25,B,2007-01-20,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 7 ON 3/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 7 ON 3/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
50,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_26_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",26,A,2007-10-11,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 15 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 15 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
51,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_26_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",26,B,2008-09-30,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 9 ON 5/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 9 ON 5/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
52,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_27_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",27,A,2007-10-11,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 13 ON 6/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 13 ON 6/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
53,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_27_AB","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",27,AB,2011-05-13,GFA INCL BW:107SFAREA INCL BAL:94 SFUTILITY PLATFORM32SFCPS 1314 ON 6/F ,blank,"GFA INCL BW:107SFAREA INCL BAL:94 SFUTILITY PLATFORM32SFCPS 1314 ON 6/F ,blank",107,False,94,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
54,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_27_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",27,B,2007-10-11,GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 14 ON 6/F ,blank,"GFA INCL BW:52 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 14 ON 6/F ,blank",52,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
55,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_28_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",28,B,2009-04-06,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 1/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 1/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
56,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_29_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",29,A,2007-12-11,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 11 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 11 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
57,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_29_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",29,B,2010-08-03,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 2/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 2 ON 2/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
58,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_30_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",30,A,2012-11-05,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 4 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 4 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
59,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_30_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",30,B,2011-09-26,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 3 ON 3/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 3 ON 3/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
60,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_31_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",31,A,2009-01-12,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 2 ON 5/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 2 ON 5/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
61,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_31_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",31,B,2016-07-07,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 1 ON 2/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 1 ON 2/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
62,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_32_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",32,A,2009-04-09,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 2/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 9 ON 2/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
63,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_32_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",32,B,2016-08-31,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 1 ON 1/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 1 ON 1/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
64,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_33_A","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",33,A,2016-11-18,GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 3 ON 2/F ,blank,"GFA INCL BW:55 SFAREA INCL BAL:50 SFUTILITY PLATFORM16SFCPS 3 ON 2/F ,blank",55,False,50,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
65,"15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道_33_B","15 HOMANTIN HILL,HO MAN TIN HILL RD|灝畋峰,何文田山道",33,B,2016-11-18,GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 4 ON 2/F ,blank,"GFA INCL BW:57 SFAREA INCL BAL:44 SFUTILITY PLATFORM16SFCPS 4 ON 2/F ,blank",57,False,44,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,
