,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,F/R:,FR:,has_FR,roof,has_roof,UTILITY_PLATFORM:,UP:,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform,final_address_floor_unit
0,47A STUBBS RD|47A 司徒拔道,12,B,1997-05-27,+F/R+RFCPS 17 ,blank,"+F/R+RFCPS 17 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,47A STUBBS RD|47A 司徒拔道_12_B
29,"BELLEVUE COURT(Block C),STUBBS RD|碧蕙園C座,司徒拔道",2,52,1996-02-15,CPS 55 & 56 ,blank,"CPS 55 & 56 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"BELLEVUE COURT(Block C),STUBBS RD|碧蕙園C座,司徒拔道_2_52"
30,"CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道",6,12,1996-02-14,CPS 18 ,blank,"CPS 18 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道_6_12"
32,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",13,2,1996-02-17,CPS 9 ON LEVEL 2 ,blank,"CPS 9 ON LEVEL 2 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_13_2"
33,"VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道",14,1,1996-02-13,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道_14_1"
37,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道",1,A,1996-03-01,CPS 2 & 23 ON G/F ,blank,"CPS 2 & 23 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道_1_A"
38,"VIVIAN COURT,MOUNT KELLETT RD|瑞燕大廈,加列山道",2,C,1996-03-02,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VIVIAN COURT,MOUNT KELLETT RD|瑞燕大廈,加列山道_2_C"
39,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",11,1,1996-03-11,CPS 26 ON 2ND LEVEL ,blank,"CPS 26 ON 2ND LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_11_1"
40,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",13,1,1996-02-22,CPS 212 ON 2/FCPS 368 ON 3/F ,blank,"CPS 212 ON 2/FCPS 368 ON 3/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道_13_1"
45,"VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道",5,1,1996-03-12,CPS 260 ,blank,"CPS 260 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道_5_1"
46,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道",1,1,1996-03-14,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道_1_1"
47,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道",5,A,1996-03-14,CPS 5A ,blank,"CPS 5A ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道_5_A"
52,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道",7,1,1996-03-19,CPS C11 ,blank,"CPS C11 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道_7_1"
53,"MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道",12,B,1996-04-01,CPS 15 ,blank,"CPS 15 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道_12_B"
54,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",2,1,1996-03-28,1 CPS ,blank,"1 CPS ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_2_1"
55,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道",6,C,1996-01-31,CPS 6C ,blank,"CPS 6C ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道_6_C"
56,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",18,2,1996-03-01,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_18_2"
57,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",20,2,1996-03-23,+RFCPS 142 ,blank,"+RFCPS 142 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_20_2"
58,12-14 WONG NAI CHUNG GAP RD|12-14 黃泥涌峽道,2,2B,1996-02-28,CPS 2B ,blank,"CPS 2B ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,12-14 WONG NAI CHUNG GAP RD|12-14 黃泥涌峽道_2_2B
60,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道",20,2,1996-04-02,CPS 220241 ,blank,"CPS 220241 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道_20_2"
62,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",18,2,1996-04-22,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_18_2"
64,"VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道",12,2,1996-04-18,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道_12_2"
67,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",19,2,1996-05-06,CPS 3 ON 1/F ,blank,"CPS 3 ON 1/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道_19_2"
68,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",8,2,1996-04-30,CPS 254 ON 2/F ,blank,"CPS 254 ON 2/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道_8_2"
69,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",20,2,1996-05-03,CPS 142+RF ,blank,"CPS 142+RF ,blank",,False,,False,,,False,,True,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_20_2"
71,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",5,1,1996-05-09,CPS 105 ON 1/F ,blank,"CPS 105 ON 1/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_5_1"
72,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",25,2,1996-04-26,CPS 17 ON 2ND LEVEL ,blank,"CPS 17 ON 2ND LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_25_2"
73,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",13,2,1996-04-23,CPS 9 ON 2/F ,blank,"CPS 9 ON 2/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_13_2"
74,"CAROLINA GARDENS(Block C),COOMBE RD|嘉樂園C座,甘道",6,61,1996-05-27,CPS 10 ON G/F ,blank,"CPS 10 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block C),COOMBE RD|嘉樂園C座,甘道_6_61"
77,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道",6,A,1996-05-20,CPS 9 & 12 ON G/F ,blank,"CPS 9 & 12 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道_6_A"
81,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道",6,1,1996-05-24,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道_6_1"
82,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",6,2,1996-05-01,CPS 11 ON 1ST LEVEL ,blank,"CPS 11 ON 1ST LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_6_2"
86,"CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道",4,8,1996-05-01,CPS 16 ,blank,"CPS 16 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block B),COOMBE RD|嘉樂園B座,甘道_4_8"
87,"EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道",4,1,1996-05-01,CPS G115 ON G/F ,blank,"CPS G115 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block C),STUBBS RD|松柏新村C座,司徒拔道_4_1"
88,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道",1,2,1996-05-01,CPS C14 ,blank,"CPS C14 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道_1_2"
89,"WOODLAND HEIGHTS(Block D),WONG NAI CHUNG GAP RD|怡園D座,黃泥涌峽道",1,D,1996-05-01,CPS 10 ,blank,"CPS 10 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"WOODLAND HEIGHTS(Block D),WONG NAI CHUNG GAP RD|怡園D座,黃泥涌峽道_1_D"
90,"CAROLINA GARDENS(Block A),COOMBE RD|嘉樂園A座,甘道",1,1,1996-05-01,CPS 14 ,blank,"CPS 14 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block A),COOMBE RD|嘉樂園A座,甘道_1_1"
91,"CAROLINA GARDENS(Block C),COOMBE RD|嘉樂園C座,甘道",6,61,1996-06-01,CPS 10 ON G/F ,blank,"CPS 10 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block C),COOMBE RD|嘉樂園C座,甘道_6_61"
95,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道",10,2,1996-06-01,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道_10_2"
103,"MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道",6,A,1996-07-09,CPS 11 ,blank,"CPS 11 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"MOUNTAIN LODGE,MOUNT KELLETT RD|崑廬,加列山道_6_A"
104,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",11,1,1996-07-15,CPS 109 ,blank,"CPS 109 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_11_1"
105,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道",1,A,1996-07-05,CPS 2 & 23 ON G/F ,blank,"CPS 2 & 23 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道_1_A"
109,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道",9,2,1996-07-26,CPS 42 ON 3RD LEVEL ,blank,"CPS 42 ON 3RD LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道_9_2"
113,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道",2,A,1996-07-17,CPS 1 & 24 ON G/F ,blank,"CPS 1 & 24 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道_2_A"
116,"CAROLINA GARDENS(Block A),COOMBE RD|嘉樂園A座,甘道",7,15,1996-08-09,CPS 315 ,blank,"CPS 315 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"CAROLINA GARDENS(Block A),COOMBE RD|嘉樂園A座,甘道_7_15"
117,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道",10,1,1996-08-22,CPS 215 ,blank,"CPS 215 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道_10_1"
119,"BELLEVUE COURT(Block C),STUBBS RD|碧蕙園C座,司徒拔道",4,56,1996-08-02,CPS 58 ,blank,"CPS 58 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"BELLEVUE COURT(Block C),STUBBS RD|碧蕙園C座,司徒拔道_4_56"
121,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道",2,C,1996-08-21,CPS 2C ,blank,"CPS 2C ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道_2_C"
122,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道",3,B,1996-08-22,CPS 3B ,blank,"CPS 3B ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道_3_B"
126,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",15,1,1996-09-02,CPS 27 ON 2ND LEVEL ,blank,"CPS 27 ON 2ND LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_15_1"
127,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",19,1,1996-09-12,+RFCPS 1-2 ON 2NDCAR PARK ,blank,"+RFCPS 1-2 ON 2NDCAR PARK ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_19_1"
131,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",12,2,1996-09-24,CPS 260 ON 2/F ,blank,"CPS 260 ON 2/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道_12_2"
132,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道",2,1,1996-09-17,CPS C10 ,blank,"CPS C10 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA VERDE(Block C),GUILDFORD RD|環翠園C座,僑福道_2_1"
133,"EVERGREEN VILLA(Block E),STUBBS RD|松柏新村E座,司徒拔道",9,1,1996-09-27,CPS 304 ,blank,"CPS 304 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block E),STUBBS RD|松柏新村E座,司徒拔道_9_1"
135,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",14,1,1996-09-25,CPS 240 ON 2/F ,blank,"CPS 240 ON 2/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道_14_1"
137,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道",6,A,1996-10-10,CPS 6A ,blank,"CPS 6A ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道_6_A"
143,"EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道",9,2,1996-10-05,CPS 353 ,blank,"CPS 353 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道_9_2"
144,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道",14,2,1996-10-07,CPS 200 ,blank,"CPS 200 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block B),STUBBS RD|玫瑰新村B座,司徒拔道_14_2"
147,47A STUBBS RD|47A 司徒拔道,1,A,1996-10-14,CPS 31 ,blank,"CPS 31 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,47A STUBBS RD|47A 司徒拔道_1_A
149,"VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道",5,1,1996-10-18,CPS 259 ,blank,"CPS 259 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道_5_1"
150,"VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道",15,1,1996-10-18,CPS 247 ,blank,"CPS 247 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道_15_1"
152,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道",7,2,1996-10-22,CPS 119 ,blank,"CPS 119 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道_7_2"
155,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道",15,2,1996-10-23,CPS 13 ON 2ND LEVEL ,blank,"CPS 13 ON 2ND LEVEL ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道_15_2"
158,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",1,2,1996-10-25,blank,blank,"blank,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,False,False,False,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道_1_2"
159,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道",20,1,1996-11-01,CPS 252 ,blank,"CPS 252 ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道_20_1"
161,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道",5,1,1996-11-08,CPS B6 ON G/F ,blank,"CPS B6 ON G/F ,blank",,False,,False,,,False,,False,,,False,,False,,False,,False,,False,True,False,False,,,"VILLA VERDE(Block B),GUILDFORD RD|環翠園B座,僑福道_5_1"
