,0
2014-12,239.00585106132576
2015-1,236.17088966505264
2015-2,240.41660175747347
2015-3,247.55014383495023
2015-4,250.8605912850145
2015-5,237.759668332086
2015-6,259.3486228039078
2015-7,269.9370362258604
2015-8,245.0827523452278
2015-9,255.23368781943728
2015-10,252.14034701417313
2015-11,257.9467707974657
2015-12,242.85535108004262
2016-1,244.234125673507
2016-2,226.4165013510326
2016-3,236.55556851102776
2016-4,225.37483007643823
2016-5,231.49843965227416
2016-6,234.74187091568925
2016-7,230.77722814371725
2016-8,234.92040564066485
2016-9,247.82585175984573
2016-10,245.13925055995028
2016-11,261.03185956518894
2016-12,250.39863440515774
2017-1,268.7271700771634
2017-2,261.32404205730376
2017-3,248.54600376988958
2017-4,272.3264289069633
2017-5,285.2557377990984
2017-6,272.8513899361187
