,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,has_FR,roof,has_roof,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform,final_address_floor_unit
0,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",14,B,1995-11-01,CPS 49 ON G/F ,blank,"CPS 49 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_14_B"
20,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",29,B,1995-11-24,GFA INCL BW:53 SFCPS 229 & 230 ON 1STBASEMENT ,blank,"GFA INCL BW:53 SFCPS 229 & 230 ON 1STBASEMENT ,blank",53,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道_29_B"
21,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道",11,B,1995-12-13,CPS A118 ON 2ND LG/F ,blank,"CPS A118 ON 2ND LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道_11_B"
23,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",27,A,1995-12-13,CPS 15 ON G/F ,blank,"CPS 15 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑_27_A"
24,"SWISS TOWERS(Block 2),TAI HANG RD|瑞士花園2座,大坑道",1,C,1995-12-21,CPS 134 ON UG/F ,blank,"CPS 134 ON UG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"SWISS TOWERS(Block 2),TAI HANG RD|瑞士花園2座,大坑道_1_C"
25,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑",21,B,1995-12-18,CPS 9 ON G/F ,blank,"CPS 9 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BELLEVUE HEIGHTS,TAI HANG DR|碧蘭閣,大坑徑_21_B"
26,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",19,C,1995-12-22,CPS 34 ON G/F ,blank,"CPS 34 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_19_C"
27,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",18,B,1995-12-21,CPS 267 ON 1ST B/F ,blank,"CPS 267 ON 1ST B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道_18_B"
28,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道",12,A,1995-12-28,CPS 270 ON 1ST B/F ,blank,"CPS 270 ON 1ST B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 7),PERKINS RD|嘉雲臺7座,白建時道_12_A"
29,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",7,2,1995-12-27,CPS 15 ON C2/F OFBLK A ,blank,"CPS 15 ON C2/F OFBLK A ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道_7_2"
30,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",13,2,1995-12-27,CPS 23 ON 4/F ,blank,"CPS 23 ON 4/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道_13_2"
31,"CAVENDISH HEIGHTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",23,B,1995-12-28,CPS 114 ON2ND BASEMENT ,blank,"CPS 114 ON2ND BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道_23_B"
33,"BUTLER TOWER,BOYCE RD|柏麗園,布思道",12,A,1995-12-23,CPS L174 ,blank,"CPS L174 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BUTLER TOWER,BOYCE RD|柏麗園,布思道_12_A"
34,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",14,C,1996-01-10,GFA INCL BW:18 SFCPS A110 ON 2ND LG/F ,blank,"GFA INCL BW:18 SFCPS A110 ON 2ND LG/F ,blank",18,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_14_C"
35,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",15,B,1996-01-05,GFA INCL BW:18 SFCPS A15 ON 2ND LG/F ,blank,"GFA INCL BW:18 SFCPS A15 ON 2ND LG/F ,blank",18,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_15_B"
36,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",3,A,1996-01-12,CPS 19 ON G/F ,blank,"CPS 19 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道_3_A"
37,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",18,6,1996-01-16,CPS 25 ON CP1/F ,blank,"CPS 25 ON CP1/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_18_6"
38,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",17,A,1996-01-15,CPS 87 ON LG/F ,blank,"CPS 87 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_17_A"
39,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",16,A,1996-01-16,CPS 140 & 141 ON1ST BASEMENT ,blank,"CPS 140 & 141 ON1ST BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_16_A"
40,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",3,D,1996-01-12,CPS B88 ON 1ST LG/F ,blank,"CPS B88 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_3_D"
42,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",10,D,1996-01-19,CPS A30 ON 2ND LG/F ,blank,"CPS A30 ON 2ND LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_10_D"
43,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",3,A,1996-01-22,CPS 8 ON LG/F ,blank,"CPS 8 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道_3_A"
45,"YICK KING BLDG,CHUN FAI RD|億景樓,春暉道",9,A,1996-01-29,CPS 9 ON 1ST LG/F ,blank,"CPS 9 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"YICK KING BLDG,CHUN FAI RD|億景樓,春暉道_9_A"
46,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道",3,B,1996-01-29,CPS B71 ON 1ST LG/F ,blank,"CPS B71 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道_3_B"
47,"YICK KING BLDG,CHUN FAI RD|億景樓,春暉道",12,A,1996-01-23,CPS 7 ON 3RD LG/F ,blank,"CPS 7 ON 3RD LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"YICK KING BLDG,CHUN FAI RD|億景樓,春暉道_12_A"
48,"SWISS TOWERS(Block 3),TAI HANG RD|瑞士花園3座,大坑道",20,E,1996-01-23,CPS 123 ON UG/F ,blank,"CPS 123 ON UG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"SWISS TOWERS(Block 3),TAI HANG RD|瑞士花園3座,大坑道_20_E"
49,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",15,11,1996-02-01,CPS 27 ON CP2/F ,blank,"CPS 27 ON CP2/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_15_11"
50,"BUTLER TOWER,BOYCE RD|柏麗園,布思道",20,B,1996-01-18,+RFCPS L4 ,blank,"+RFCPS L4 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"BUTLER TOWER,BOYCE RD|柏麗園,布思道_20_B"
51,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",31,B,1996-02-01,CPS 158 ON 1STBASEMENT ,blank,"CPS 158 ON 1STBASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_31_B"
52,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",15,10,1996-01-23,CPS 30 ON CP1/F ,blank,"CPS 30 ON CP1/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_15_10"
53,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",18,2,1996-02-02,CPS 17 ON C5/F ,blank,"CPS 17 ON C5/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道_18_2"
54,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",4,2,1996-01-29,CPS 22 ON C2/F ,blank,"CPS 22 ON C2/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道_4_2"
55,"PINEWOOD GARDEN,PERKINS RD|松峰園,白建時道",3,B,1996-01-30,CPS 13 ,blank,"CPS 13 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PINEWOOD GARDEN,PERKINS RD|松峰園,白建時道_3_B"
56,"CAVENDISH HEIGHTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道",19,B,1996-02-02,CPS 154 ON 2ND B/F ,blank,"CPS 154 ON 2ND B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 3),PERKINS RD|嘉雲臺3座,白建時道_19_B"
57,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道",29,A,1996-02-03,CPS 262 & 2401ST BASEMENT ,blank,"CPS 262 & 2401ST BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道_29_A"
58,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",10,B,1996-01-22,CPS 12 ON G/F ,blank,"CPS 12 ON G/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_10_B"
59,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道",13,B,1996-02-12,CPS B46 ON 1ST LG/F ,blank,"CPS B46 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 1),CHUN FAI RD|慧景園1座,春暉道_13_B"
60,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",10,B,1996-02-13,CPS 18 ON LG/F ,blank,"CPS 18 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道_10_B"
61,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",31,A,1996-02-06,CPS 159 ON 1ST B/F ,blank,"CPS 159 ON 1ST B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_31_A"
62,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",8,8,1996-02-10,CPS 4N9 ON CP4/F ,blank,"CPS 4N9 ON CP4/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_8_8"
63,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",11,3,1996-02-13,CPS 1S16 ON CP1/F ,blank,"CPS 1S16 ON CP1/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_11_3"
64,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",10,7,1996-02-10,CPS 1S15 ON CP1/F ,blank,"CPS 1S15 ON CP1/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_10_7"
65,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道",19,B,1996-02-12,CPS 131 ON 2ND B/F ,blank,"CPS 131 ON 2ND B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 5),PERKINS RD|嘉雲臺5座,白建時道_19_B"
66,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",7,B,1996-02-06,CPS 215 ON 2ND B/F ,blank,"CPS 215 ON 2ND B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_7_B"
67,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",9,1,1996-02-13,CPS 3N16 ON CP3/F ,blank,"CPS 3N16 ON CP3/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_9_1"
68,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",11,12,1996-02-14,CPS 4S7 ON CP4/F ,blank,"CPS 4S7 ON CP4/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_11_12"
69,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",3,8,1996-02-26,CPS 4N6 ON CP4/F ,blank,"CPS 4N6 ON CP4/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_3_8"
70,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道",8,A,1996-02-26,CPS 201202 & 185ON 1ST B/F ,blank,"CPS 201202 & 185ON 1ST B/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 1),PERKINS RD|嘉雲臺1座,白建時道_8_A"
72,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",12,5,1996-02-27,CPS 3N10 ON CP3/F ,blank,"CPS 3N10 ON CP3/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_12_5"
73,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",12,D,1996-02-09,GFA INCL BW:18 SFCPS A12 ON 2ND LG/F ,blank,"GFA INCL BW:18 SFCPS A12 ON 2ND LG/F ,blank",18,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_12_D"
74,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道",27,B,1996-02-26,CPS 334 & 335ON 1ST BASEMENT ,blank,"CPS 334 & 335ON 1ST BASEMENT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 6),PERKINS RD|嘉雲臺6座,白建時道_27_B"
75,"PARK GARDEN,TAI HANG DR|柏園,大坑徑",21,B,1996-02-28,CPS 87 ON LG/F ,blank,"CPS 87 ON LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PARK GARDEN,TAI HANG DR|柏園,大坑徑_21_B"
76,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",10,7,1996-03-04,CPS 1S15 ON CP1/F ,blank,"CPS 1S15 ON CP1/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_10_7"
77,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",9,A,1996-03-05,CPS 19 ON 1S LG/F ,blank,"CPS 19 ON 1S LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道_9_A"
78,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道",G,B,1996-03-02,+YD:3975 SF; ,blank,"+YD:3975 SF; ,blank",,False,,False,False,,False,False,,False,,False,,False,3975,False,False,False,False,,,"WING ON TOWERS(Block 2),BOYCE RD|永安閣2座,布思道_G_B"
80,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道",21,B,1996-02-29,CPS 16 ON 1ST LG/F ,blank,"CPS 16 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"CAVENDISH HEIGHTS(Block 8),PERKINS RD|嘉雲臺8座,白建時道_21_B"
81,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",13,B,1996-03-04,CPS B86 ON 1ST LG/F ,blank,"CPS B86 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_13_B"
82,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道",17,12,1996-02-15,CPS 2S13 ON CP2/F ,blank,"CPS 2S13 ON CP2/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"TAI HANG TERR,CHUN FAI RD|大坑台,春暉道_17_12"
83,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",8,A,1996-03-05,CPS B48 ON 1ST LG/F ,blank,"CPS B48 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_8_A"
84,"FLORA GARDEN(Block 3),CHUN FAI RD|慧景園3座,春暉道",2,C,1996-02-28,CPS B106 ON 1ST LG/F ,blank,"CPS B106 ON 1ST LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 3),CHUN FAI RD|慧景園3座,春暉道_2_C"
85,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道",12,D,1996-03-09,CPS A12 ON 2ND LG/F ,blank,"CPS A12 ON 2ND LG/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"FLORA GARDEN(Block 2),CHUN FAI RD|慧景園2座,春暉道_12_D"
88,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道",20,2,1996-03-12,CPS 15 ON C1/F &CPS 2 ON C4/F ,blank,"CPS 15 ON C1/F &CPS 2 ON C4/F ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"ELM TREE TOWER(Block B),CHUN FAI RD|愉富大廈B座,春暉道_20_2"
