,lumpSum_avg,npsf_avg,final_address,lumpSum_F,npsf_F,nfa_F,lumpSum_F8,npsf_F8,nfa_F8,nfa_avg,lumpSum_change,npsf_change
2020-12-15,34888800.73586519,6853.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34467766.66422636,6831.0,3133.0,35309834.80750401,6875.0,3189.0,,0.011491935470945291,0.7687443541102077
2020-1-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-12-15,34884575.71599297,4221.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34464023.65718283,4208.0,3133.0,35305127.77480311,4235.0,3189.0,,,
2019-11-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-10-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-9-15,34886587.367876515,3814.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34467811.39345726,3802.0,3133.0,35305363.34229577,3826.0,3189.0,,2.345620052945918e-05,-0.34150552486187846
2019-8-15,34885769.08028135,5792.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34462325.95066976,5773.0,3133.0,35309212.20989294,5811.0,3189.0,,,
2019-7-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-6-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-5-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-4-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-3-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-2-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2019-1-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-12-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-11-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-10-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-9-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-8-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-7-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-6-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-5-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-4-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-3-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-2-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2018-1-15,64031981.47627883,2295.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",63269505.0615299,2288.0,3133.0,64794457.891027756,2302.0,3189.0,,-0.17275817368317437,-0.6651101707281483
2017-12-15,77404187.55344123,6853.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",76470082.63839267,6831.0,3133.0,78338292.46848977,6875.0,3189.0,,1.219111537188514,0.7687443541102077
2017-11-15,34880710.706190035,3874.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34459217.996840894,3862.0,3133.0,35302203.41553917,3887.0,3189.0,,,
2017-10-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2017-9-15,77982951.24638265,5213.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",77037900.47548746,5196.0,3133.0,78928002.01727785,5230.0,3189.0,,1.2353825667115093,0.15549152166685132
2017-8-15,34885729.363589,4511.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34464602.049452595,4497.0,3133.0,35306856.67772541,4526.0,3189.0,,-0.5730291160680192,-0.18959942518412076
2017-7-15,81705171.65556076,5567.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",80717278.56182869,5549.0,3133.0,82693064.74929282,5585.0,3189.0,,0.27339142535640204,-0.1300882881475115
2017-6-15,64163437.90966927,6399.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",63389563.36698723,6379.0,3133.0,64937312.45235132,6420.0,3189.0,,0.21343721725130171,2.3832936822627544
2017-5-15,52877427.02915719,1891.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",52227351.505884305,1885.0,3133.0,53527502.55243008,1898.0,3189.0,,-0.42471040239609825,-0.7801731652042536
2017-4-15,91914450.12980114,8604.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",90806548.53311996,8577.0,3133.0,93022351.72648232,8632.0,3189.0,,1.6346627154526625,0.9562350801409571
2017-3-15,34886609.808044925,4398.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34462591.679533936,4384.0,3133.0,35310627.93655591,4413.0,3189.0,,,
2017-2-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2017-1-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-12-15,34884575.71599297,4221.5,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",34464023.65718283,4208.0,3133.0,35305127.77480311,4235.0,3189.0,,,
2016-11-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-10-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-9-15,35713898.94589417,3814.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",35285191.985432066,3802.0,3133.0,36142605.90635626,3826.0,3189.0,,-0.25829572693156466,-0.34150552486187846
2016-8-15,48151130.096831635,5792.0,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",47566672.14276973,5773.0,3133.0,48735588.050893545,5811.0,3189.0,,,
2016-7-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-6-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-5-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-4-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-3-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-2-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,,,
2016-1-15,,,"WOODLAND HEIGHTS(Block F),WONG NAI CHUNG GAP RD|怡園F座,黃泥涌峽道",,,3133.0,,,3189.0,3161.0,,
