,lumpSum_avg,npsf_avg,final_address,lumpSum_15,npsf_15,nfa_15,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_25,npsf_25,nfa_25,lumpSum_26,npsf_26,nfa_26,lumpSum_29,npsf_29,nfa_29,lumpSum_32,npsf_32,nfa_32,lumpSum_6,npsf_6,nfa_6,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2020-12-15,1678081.1666666667,5295.5,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1497496.0,5236.0,286.0,1568138.0,5483.0,286.0,2198914.0,5581.0,394.0,2150792.0,5572.0,386.0,1459170.0,5230.0,279.0,1481505.0,5235.0,283.0,2420307.0,5273.0,459.0,1460044.0,5141.0,284.0,1514004.0,5331.0,284.0,1433064.0,5046.0,284.0,1489864.0,5246.0,284.0,1463676.0000000002,5172.0,283.0,,0.036791337506316246,0.035980371378731446
2020-1-15,1688392.25,5331.5,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1528956.0,5346.0,286.0,1569568.0,5488.0,286.0,2201278.0,5587.0,394.0,2151950.0,5575.0,386.0,1473678.0,5282.0,279.0,1483203.0,5241.0,283.0,2420766.0,5274.0,459.0,1478788.0,5207.0,284.0,1492704.0,5256.0,284.0,1458055.9999999998,5134.0,284.0,1521104.0,5356.0,284.0,1480656.0,5232.0,283.0,,0.05501634957918511,0.055133173909458266
2019-12-15,1600347.0,5052.916666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1450591.9999999998,5072.0,286.0,1470326.0,5141.0,286.0,2088594.0,5301.0,394.0,2041940.0,5290.0,386.0,1398069.0,5011.0,279.0,1407359.0,4973.0,283.0,2296836.0,5004.0,459.0,1402960.0,4940.0,284.0,1416308.0,4987.0,284.0,1383364.0,4871.0,284.0,1443004.0000000002,5081.0,284.0,1404812.0,4964.0,283.0,,-0.040042396932280844,-0.04005382727776452
2019-11-15,1667101.75,5263.75,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1511223.9999999998,5284.0,286.0,1531530.0,5355.0,286.0,2175668.0,5522.0,394.0,2126860.0,5510.0,386.0,1456659.0,5221.0,279.0,1466223.0,5181.0,283.0,2392308.0,5212.0,459.0,1461464.0,5146.0,284.0,1475380.0,5195.0,284.0,1441300.0,5075.0,284.0,1503212.0,5293.0,284.0,1463393.0,5171.0,283.0,,-0.014836579420382634,-0.0148324911098634
2019-10-15,1692208.3333333333,5343.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1533818.0000000002,5363.0,286.0,1554696.0,5436.0,286.0,2208370.0,5605.0,394.0,2158898.0,5593.0,386.0,1478421.0,5299.0,279.0,1488297.0000000002,5259.0,283.0,2428569.0,5291.0,459.0,1483616.0,5224.0,284.0,1497532.0,5273.0,284.0,1462884.0,5151.0,284.0,1525932.0,5373.0,284.0,1485467.0,5249.0,283.0,,-0.012779153691663492,-0.01300780468280971
2019-9-15,1714113.25,5413.416666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1555554.0,5439.0,286.0,1576432.0,5512.0,286.0,2215856.0,5624.0,394.0,2189392.0,5672.0,386.0,1499346.0,5374.0,279.0,1509239.0,5333.0,283.0,2462535.0,5365.0,459.0,1504632.0,5298.0,284.0,1518832.0,5348.0,284.0,1483616.0000000002,5224.0,284.0,1547516.0,5449.0,284.0,1506409.0,5323.0,283.0,,0.014935610517843534,0.014936333098976684
2019-8-15,1688888.6666666667,5333.75,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1532674.0,5359.0,286.0,1553266.0,5431.0,286.0,2183154.0,5541.0,394.0,2157354.0,5589.0,386.0,1477305.0000000002,5295.0,279.0,1486882.0,5254.0,283.0,2426274.0,5286.0,459.0,1482480.0,5220.0,284.0,1496396.0,5269.0,284.0,1461748.0,5147.0,284.0,1524796.0,5369.0,284.0,1484335.0,5245.0,283.0,,-0.009927368392461111,-0.009930855260104843
2019-7-15,1705823.0,5387.25,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1548118.0,5413.0,286.0,1568996.0,5486.0,286.0,2204824.0,5596.0,394.0,2178970.0,5645.0,386.0,1492092.0,5348.0,279.0,1501881.0,5307.0,283.0,2450601.0000000005,5339.0,459.0,1497248.0,5272.0,284.0,1511448.0,5322.0,284.0,1476516.0,5199.0,284.0,1539848.0,5422.0,284.0,1499334.0,5298.0,283.0,,0.008705769930510643,0.00870664232551599
2019-6-15,1691100.6666666667,5340.75,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1534676.0,5366.0,286.0,1555268.0,5438.0,286.0,2185912.0,5548.0,394.0,2160056.0,5596.0,386.0,1479258.0,5302.0,279.0,1488863.0,5261.0,283.0,2429487.0,5293.0,459.0,1484468.0,5227.0,284.0,1498384.0,5276.0,284.0,1463736.0,5154.0,284.0,1526784.0000000002,5376.0,284.0,1486316.0,5252.0,283.0,,-0.024363592832104985,-0.02643211958255476
2019-5-15,1733330.8333333333,5485.75,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1578720.0,5520.0,286.0,1583010.0,5535.0,286.0,2200490.0,5585.0,394.0,2174338.0,5633.0,386.0,1548450.0,5550.0,279.0,1565556.0,5532.0,283.0,2445093.0,5327.0,459.0,1524796.0,5369.0,284.0,1567680.0,5520.0,284.0,1503496.0,5294.0,284.0,1570236.0,5529.0,284.0,1538105.0,5435.0,283.0,,-0.04755557303741331,-0.0521109319202856
2019-4-15,1819876.0833333333,5787.333333333333,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1690260.0,5910.0,286.0,1657370.0,5795.0,286.0,2213097.9999999995,5617.0,394.0,2186690.0,5665.0,386.0,1640520.0,5880.0,279.0,1737054.0,6138.0,283.0,2458863.0,5357.0,459.0,1532464.0,5396.0,284.0,1668500.0,5875.0,284.0,1742056.0,6134.0,284.0,1679860.0,5915.0,284.0,1631778.0,5766.0,283.0,,0.04111606278776847,0.041792925504785305
2019-3-15,1748005.0,5555.166666666667,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1623336.0,5676.0,286.0,1602744.0,5604.0,286.0,2140996.0,5434.0,394.0,2116824.0,5484.0,386.0,1572723.0,5637.0,279.0,1692906.0,5982.0,283.0,2371194.0,5166.0,459.0,1387624.0,4886.0,284.0,1600340.0,5635.0,284.0,1697752.0,5978.0,284.0,1613403.9999999998,5681.0,284.0,1556217.0,5499.0,283.0,,0.11776921852122246,0.1338336982471766
2019-2-15,1563833.5454545454,4899.454545454545,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1436578.0,5023.0,286.0,1462032.0,5112.0,286.0,1999944.0,5076.0,394.0,1990216.0000000002,5156.0,386.0,1401696.0,5024.0,279.0,,,283.0,2155005.0,4695.0,459.0,1306400.0000000002,4600.0,284.0,1423692.0,5013.0,284.0,1247044.0,4391.0,284.0,1428520.0,5030.0,284.0,1351042.0,4774.0,283.0,,,
2019-1-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-12-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-11-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-10-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-9-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-8-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-7-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-6-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-5-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-4-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-3-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-2-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2018-1-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-12-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-11-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-10-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-9-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-8-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-7-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-6-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-5-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-4-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-3-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-2-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2017-1-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-12-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-11-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-10-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-9-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-8-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-7-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-6-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-5-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-4-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-3-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-2-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,,,
2016-1-15,,,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,286.0,,,394.0,,,386.0,,,279.0,,,283.0,,,459.0,,,284.0,,,284.0,,,284.0,,,284.0,,,283.0,316.0,,
