,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7243021.5,27783.8,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10352532.0,27172.0,381.0,7025640.0,27660.0,254.0,6890961.0,27237.0,253.0,7085000.0,28340.0,250.0,6674976.0,26488.0,252.0,7860186.0,27873.0,282.0,8158836.0,28428.0,287.0,5792124.0,27066.0,214.0,6636068.0,27197.0,244.0,5953892.0,30377.0,196.0,,0.009672530979171867,0.009611436337406909
2020-1-15,7329687.0,28105.1,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10545318.0,27678.0,381.0,6862064.0,27016.0,254.0,6993679.0,27643.0,253.0,7196000.0,28784.0,250.0,6772500.0,26875.0,252.0,8018669.999999999,28435.0,282.0,8282533.000000001,28859.0,287.0,5847122.0,27323.0,214.0,6736108.0,27607.0,244.0,6042876.0,30831.0,196.0,,0.016321080326945347,0.016323312974394044
2019-12-15,7211979.7,27653.7,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10376154.0,27234.0,381.0,6751828.0,26582.0,254.0,6881347.0,27199.0,253.0,7081250.0,28325.0,250.0,6663132.0,26441.0,252.0,7889795.999999999,27978.0,282.0,8149652.0,28396.0,287.0,5752962.0,26883.0,214.0,6628016.0,27164.0,244.0,5945660.0,30335.0,196.0,,-0.07043871034066884,-0.07043886894437501
2019-11-15,7758476.8,29749.2,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11162157.0,29297.0,381.0,7263384.000000001,28596.0,254.0,7402780.0,29260.0,253.0,7619000.0,30476.0,250.0,7167636.0,28443.0,252.0,8487072.0,30096.0,282.0,8767563.0,30549.0,287.0,6188452.0,28918.0,214.0,7130656.000000001,29224.0,244.0,6396068.0,32633.0,196.0,,-0.039893322096229866,-0.039893110604060644
2019-10-15,8080848.7,30985.3,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11625834.0,30514.0,381.0,7565136.0,29784.0,254.0,7710428.0,30476.0,253.0,7936499.999999999,31746.0,250.0,7464996.000000001,29623.0,252.0,8839572.0,31346.0,282.0,9132053.0,31819.0,287.0,6445252.0,30118.0,214.0,7426871.999999999,30438.0,244.0,6661844.0,33989.0,196.0,,0.03710505639699613,0.03710583832886494
2019-9-15,7791735.9,29876.7,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11209782.0,29422.0,381.0,7294372.0,28718.0,254.0,7434405.0,29385.0,253.0,7653749.999999999,30615.0,250.0,7197372.0,28561.0,252.0,8522886.0,30223.0,282.0,8805734.0,30682.0,287.0,6214346.0,29039.0,214.0,7161399.999999999,29350.0,244.0,6423312.0,32772.0,196.0,,-0.0026206033464082346,-0.0026205800662322254
2019-8-15,7812208.6,29955.2,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11239119.0,29499.0,381.0,7313422.000000001,28793.0,254.0,7453886.0,29462.0,253.0,7674750.0,30699.0,250.0,7215768.0,28634.0,252.0,8545164.0,30302.0,282.0,8828981.0,30763.0,287.0,6230396.0,29114.0,214.0,7180432.000000001,29428.0,244.0,6440168.0,32858.0,196.0,,-0.04655913576139881,-0.046559297218155216
2019-7-15,8193700.2,31418.0,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11787759.0,30939.0,381.0,7670545.999999999,30199.0,254.0,7817952.999999999,30901.0,253.0,8050750.000000001,32203.0,250.0,7567560.0,30030.0,252.0,8961960.0,31780.0,282.0,9260342.0,32266.0,287.0,6534276.0,30534.0,214.0,7531303.999999999,30866.0,244.0,6754551.999999999,34462.0,196.0,,0.08497134049406196,0.08497309841353151
2019-6-15,7551996.9,28957.4,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10864596.0,28516.0,381.0,7069836.0,27834.0,254.0,7205693.0,28481.0,253.0,7421249.999999999,29685.0,250.0,6974352.0,27676.0,252.0,8259780.0,29290.0,282.0,8535380.0,29740.0,287.0,6022174.0,28141.0,214.0,6941556.0,28449.0,244.0,6225352.0,31762.0,196.0,,-0.01963604128870977,-0.019636122339813267
2019-5-15,7703258.4,29537.4,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",11082147.0,29087.0,381.0,7211313.999999999,28391.0,254.0,7349903.0,29051.0,253.0,7571000.0,30284.0,250.0,7113707.999999999,28229.0,252.0,8424750.0,29875.0,282.0,8706432.0,30336.0,287.0,6142442.0,28703.0,214.0,7080879.999999999,29020.0,244.0,6350008.0,32398.0,196.0,,0.0478605080689285,0.04786028245761553
2019-4-15,7351415.9,28188.3,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10575798.0,27758.0,381.0,6881876.0,27094.0,254.0,7014172.0,27724.0,253.0,7226250.0,28905.0,250.0,6788124.0,26937.0,252.0,8039819.999999999,28510.0,282.0,8308937.0,28951.0,287.0,5861674.0,27391.0,214.0,6757580.0,27695.0,244.0,6059928.0,30918.0,196.0,,,
2019-3-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2019-2-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2019-1-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-12-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-11-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-10-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-9-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-8-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-7-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-6-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-5-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-4-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-3-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-2-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2018-1-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-12-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-11-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-10-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-9-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-8-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-7-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-6-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-5-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-4-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-3-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-2-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2017-1-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-12-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-11-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-10-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-9-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-8-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-7-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-6-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-5-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-4-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-3-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-2-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,,
2016-1-15,,,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,261.3,,
