,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_S,npsf_S,nfa_S,lumpSum_change,npsf_change
2019-12-15,7744527.294117647,16596.176470588234,17,131656964.0,282135.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",12077070.0,15870.0,761.0,11243241.0,17113.0,657.0,7807059.0,16367.0,477.0,8346749.999999999,17950.0,465.0,6048648.0,16392.0,369.0,8577583.0,15511.0,553.0,8652288.0,16899.0,512.0,7536782.0,14663.0,514.0,7837060.0,14540.0,539.0,6826869.0,18501.0,369.0,8730976.0,18736.0,466.0,4927790.0,17170.0,287.0,6143706.0,16083.0,382.0,7495950.0,16225.0,462.0,6645762.0,17217.0,386.0,8112582.0,15814.0,513.0,4646848.0,17084.0,272.0,-0.014821317196164419,-0.014819522381180339
2019-1-15,7615244.705882353,16318.882352941177,17,129459160.0,277421.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",11885298.0,15618.0,761.0,11059938.0,16834.0,657.0,7663005.0,16065.0,477.0,8203995.0,17643.0,465.0,5950125.0,16125.0,369.0,8437674.0,15258.0,553.0,8505344.0,16612.0,512.0,7411366.0,14419.0,514.0,7703388.0,14292.0,539.0,6713217.0,18193.0,369.0,8584652.0,18422.0,466.0,4847717.0,16891.0,287.0,6034454.0,15797.0,382.0,7371210.0,15955.0,462.0,6529190.0,16915.0,386.0,7983819.0,15563.0,513.0,4574768.0,16819.0,272.0,0.015184286589277507,0.015186390067003064
2018-12-15,7501342.176470588,16074.764705882353,17,127522817.0,273271.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",11708746.0,15386.0,761.0,10895031.0,16583.0,657.0,7547094.0,15822.0,477.0,8080770.0,17378.0,465.0,5861196.0,15884.0,369.0,8312143.000000001,15031.0,553.0,8377856.0,16363.0,512.0,7300342.0,14203.0,514.0,7588042.0,14078.0,539.0,6612849.0,17921.0,369.0,8456036.0,18146.0,466.0,4775393.0,16639.0,287.0,5943538.0,15559.0,382.0,7260792.0,15716.0,462.0,6431146.0,16661.0,386.0,7864803.0,15331.0,513.0,4507040.0,16570.0,272.0,,
2018-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-12-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-12-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,第1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
