,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,,,206.0,4327074.0,6129.0,706.0,,
2016-10-15,2888438.0,6598.0,2,5776876,13196,912,327 CASTLE PEAK RD|327 青山道,1458274.0,7079.0,206.0,4318602.0,6117.0,706.0,-0.014766371653041621,-0.014709176435451332
2016-9-15,2931729.0,6696.5,2,5863458,13393,912,327 CASTLE PEAK RD|327 青山道,1479904.0,7184.0,206.0,4383554.0,6209.0,706.0,,
2016-8-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1421194.0,6899.0,206.0,,,706.0,,
2016-7-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1365986.0,6631.0,206.0,,,706.0,,
2016-6-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1349918.0,6553.0,206.0,,,706.0,,
2016-5-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1316134.0,6389.0,206.0,,,706.0,,
2016-4-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1343532.0,6522.0,206.0,,,706.0,,
2016-3-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1364544.0,6624.0,206.0,,,706.0,,
2016-2-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1372372.0,6662.0,206.0,,,706.0,,
2016-1-15,,,2,,,912,327 CASTLE PEAK RD|327 青山道,1365368.0,6628.0,206.0,,,706.0,,
