,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4460881.0,18784.0,"J LOFT,APLIU ST|喜•揚,鴨寮街",4027980.0000000005,19745.0,204.0,4046975.9999999995,18736.0,216.0,5307687.0,17871.0,297.0,,-0.05049011427627581,-0.05166436673285979
2021-4-15,5331915.0,22461.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4810320.0,23580.0,204.0,4864968.0,22523.0,216.0,6320457.0,21281.0,297.0,,-0.010451300418003795,-0.010441295249284055
2021-3-15,5388229.0,22698.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4860300.0,23825.0,204.0,4916808.0,22763.0,216.0,6387579.0,21507.0,297.0,,0.017412920292824152,0.016828933221837206
2021-2-15,5296010.0,22322.666666666668,"J LOFT,APLIU ST|喜•揚,鴨寮街",4790328.0,23482.0,204.0,4847040.0,22440.0,216.0,6250662.0,21046.0,297.0,,0.018432712704635756,0.018447266367576765
2021-1-15,5200157.0,21918.333333333332,"J LOFT,APLIU ST|喜•揚,鴨寮街",4702812.0,23053.0,204.0,4759560.0,22035.0,216.0,6138099.0,20667.0,297.0,,,
2020-12-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-11-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-10-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-9-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-8-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-7-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-6-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-5-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-4-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-3-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-2-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2020-1-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-12-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-11-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-10-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-9-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-8-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-7-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-6-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-5-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-4-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-3-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-2-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2019-1-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-12-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-11-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-10-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-9-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-8-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-7-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-6-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-5-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-4-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-3-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-2-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,,,
2018-1-15,,,"J LOFT,APLIU ST|喜•揚,鴨寮街",,,204.0,,,216.0,,,297.0,239.0,,
