,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,9845788.444444444,17525.777777777777,9,88612096,157732,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14417700.0,18700.0,771.0,13564788.0,17258.0,786.0,7713402.0,16273.0,474.0,7769338.0,15446.0,503.0,8231145.0,16235.0,507.0,8967838.0,17723.0,506.0,9134945.0,18089.0,505.0,9571265.0,18953.0,505.0,9241675.0,19055.0,485.0,-0.017278738959674467,-0.017564402810304358
2019-1-15,9731196.0,17334.88888888889,9,87580764,156014,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14171751.0,18381.0,771.0,13332918.0,16963.0,786.0,7583526.0,15999.0,474.0,7643588.0,15196.0,503.0,8097804.0,15972.0,507.0,8795292.0,17382.0,506.0,9198575.0,18215.0,505.0,9415725.0,18645.0,505.0,9341585.0,19261.0,485.0,0.015220877470075722,0.015220432731413824
2018-12-15,9585299.333333334,17075.0,9,86267694,153675,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",13959726.0,18106.0,771.0,13132488.0,16708.0,786.0,7469766.0,15759.0,474.0,7529910.0,14970.0,503.0,7977138.0,15734.0,507.0,8660696.0,17116.0,506.0,9060710.0,17942.0,505.0,9275840.0,18368.0,505.0,9201420.0,18972.0,485.0,-0.008829090590226407,-0.008829751554397358
2018-11-15,9670682.666666666,17227.11111111111,9,87036144,155044,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14083857.0,18267.0,771.0,13249602.0,16857.0,786.0,7536600.0,15900.0,474.0,7597815.0,15105.0,503.0,8049132.0,15876.0,507.0,8735078.0,17263.0,506.0,9141005.0,18101.0,505.0,9359670.0,18534.0,505.0,9283385.0,19141.0,485.0,-0.017161388910952757,-0.017240942166780737
2018-10-15,9839542.888888888,17529.333333333332,9,88555886,157764,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14322096.0,18576.0,771.0,13474398.0,17143.0,786.0,7664580.0,16170.0,474.0,7727589.0,15363.0,503.0,8186529.0,16147.0,507.0,8879794.0,17549.0,506.0,9295535.0,18407.0,505.0,9519250.0,18850.0,505.0,9486115.0,19559.0,485.0,-0.03800584642824889,-0.03800679280718566
2018-9-15,10228277.222222222,18221.88888888889,9,92054495,163997,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14888010.0,19310.0,771.0,14006520.0,17820.0,786.0,7967466.0,16809.0,474.0,8033413.0,15971.0,503.0,8511009.0,16787.0,507.0,9227922.0,18237.0,506.0,9662165.0,19133.0,505.0,9896485.0,19597.0,505.0,9861505.0,20333.0,485.0,-0.05681410847030244,-0.05681635188295098
2018-8-15,10844391.666666666,19319.555555555555,9,97599525,173876,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15784683.0,20473.0,771.0,14849898.0,18893.0,786.0,8447628.0,17822.0,474.0,8518808.0,16936.0,503.0,9024600.0,17800.0,507.0,9779968.0,19328.0,506.0,10243925.0,20285.0,505.0,10493900.0,20780.0,505.0,10456115.0,21559.0,485.0,0.0030580676121774175,0.0030574688772742054
2018-7-15,10811329.888888888,19260.666666666668,9,97301969,173346,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",15736881.0,20411.0,771.0,14804310.0,18835.0,786.0,8422032.0,17768.0,474.0,8493658.0,16886.0,503.0,8998236.0,17748.0,507.0,9746572.0,19262.0,506.0,10212110.0,20222.0,505.0,10463095.0,20719.0,505.0,10425075.0,21495.0,485.0,0.06621602254441306,0.06621314913796827
2018-6-15,10139905.666666666,18064.555555555555,9,91259151,162581,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14759253.0,19143.0,771.0,13884690.0,17665.0,786.0,7899210.0,16665.0,474.0,7967017.0,15839.0,503.0,8440536.0,16648.0,507.0,9138360.0,18060.0,506.0,9577830.0,18966.0,505.0,9814170.0,19434.0,505.0,9778085.0,20161.0,485.0,0.02634129552985276,0.026343366496641485
2018-5-15,9879662.555555556,17600.88888888889,9,88916963,158408,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",14380692.0,18652.0,771.0,13528632.0,17212.0,786.0,7696338.0,16237.0,474.0,7763302.0,15434.0,503.0,8224554.0,16222.0,507.0,8900540.0,17590.0,506.0,9331390.0,18478.0,505.0,9563690.0,18938.0,505.0,9527825.0,19645.0,485.0,,
2018-4-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-3-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-2-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2018-1-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-12-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-11-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-10-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-9-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-8-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-7-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-6-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-5-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-4-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-3-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-2-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2017-1-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-12-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-11-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-10-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-9-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-8-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-7-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-6-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-5-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-4-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-3-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-2-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
2016-1-15,,,9,,,5042,"SEASIDE SONATA(Block 3),HAI TAN ST|愛海頌3座,海壇街",,,771.0,,,786.0,,,474.0,,,503.0,,,507.0,,,506.0,,,505.0,,,505.0,,,485.0,,
