,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4150000.25,17072.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3295440.0,16560.0,199.0,4833236.0,16724.0,289.0,3519108.0,17508.0,201.0,4952217.0,17499.0,283.0,,-0.0547966249864269,-0.05504434819908954
2022-1-15,4900710.75,20173.75,"THE VIM,HAI TAN ST|佳悅,海壇街",3925075.9999999995,19724.0,199.0,5730870.0,19830.0,289.0,4157283.0000000005,20683.0,201.0,5789614.0,20458.0,283.0,,-0.017478773101187173,-0.017472300012175812
2021-12-15,4987893.0,20532.5,"THE VIM,HAI TAN ST|佳悅,海壇街",3994725.9999999995,20074.0,199.0,5832887.0,20183.0,289.0,4231050.0,21050.0,201.0,5892909.0,20823.0,283.0,,0.0018156289302160289,0.0018174942974591435
2021-11-15,4978853.25,20495.25,"THE VIM,HAI TAN ST|佳悅,海壇街",3987362.9999999995,20037.0,199.0,5822483.0,20147.0,289.0,4223412.0,21012.0,201.0,5882155.0,20785.0,283.0,,0.01624431445677188,0.01625139457047231
2021-10-15,4899268.0,20167.5,"THE VIM,HAI TAN ST|佳悅,海壇街",3923484.0,19716.0,199.0,5729714.0,19826.0,289.0,4155675.0,20675.0,201.0,5788199.0,20453.0,283.0,,-0.020805985088444445,-0.02080501068168572
2021-9-15,5003368.0,20596.0,"THE VIM,HAI TAN ST|佳悅,海壇街",4006864.9999999995,20135.0,199.0,5851672.0,20248.0,289.0,4243914.0,21114.0,201.0,5911021.0,20887.0,283.0,,-0.018120265435381033,-0.018115942028985477
2021-8-15,5095703.5,20976.0,"THE VIM,HAI TAN ST|佳悅,海壇街",4080694.0,20506.0,199.0,5959758.0,20622.0,289.0,4322103.0,21503.0,201.0,6020259.0,21273.0,283.0,,0.012461541831613854,0.012465156689312362
2021-7-15,5032984.75,20717.75,"THE VIM,HAI TAN ST|佳悅,海壇街",4030347.0000000005,20253.0,199.0,5886641.0,20369.0,289.0,4268838.0,21238.0,201.0,5946113.0,21011.0,283.0,,0.05880871351932204,0.05881075279807835
2021-6-15,4753441.0,19567.0,"THE VIM,HAI TAN ST|佳悅,海壇街",3806472.0,19128.0,199.0,5559782.0,19238.0,289.0,4031658.0,20058.0,201.0,5615852.0,19844.0,283.0,,-0.04654181327592921,-0.04653542539713473
2021-5-15,4985474.0,20522.0,"THE VIM,HAI TAN ST|佳悅,海壇街",3992139.0,20061.0,199.0,5831442.0,20178.0,289.0,4228236.0,21036.0,201.0,5890079.0,20813.0,283.0,,0.008424754645872667,0.008427311368271129
2021-4-15,4943823.5,20350.5,"THE VIM,HAI TAN ST|佳悅,海壇街",3958707.0,19893.0,199.0,5782890.0,20010.0,289.0,4192860.0000000005,20860.0,201.0,5840837.0,20639.0,283.0,,-0.010470839246860209,-0.010466430837679175
2021-3-15,4996137.25,20565.75,"THE VIM,HAI TAN ST|佳悅,海壇街",4000497.0000000005,20103.0,199.0,5844158.0,20222.0,289.0,4237080.0,21080.0,201.0,5902814.0,20858.0,283.0,,0.014482322126041502,0.014490430149960432
2021-2-15,4924814.5,20272.0,"THE VIM,HAI TAN ST|佳悅,海壇街",3943185.0,19815.0,199.0,5761215.0,19935.0,289.0,4176378.0000000005,20778.0,201.0,5818480.0,20560.0,283.0,,0.01843709409617178,0.01843757849786476
2021-1-15,4835659.0,19905.0,"THE VIM,HAI TAN ST|佳悅,海壇街",3871744.0,19456.0,199.0,5656886.0,19574.0,289.0,4100801.9999999995,20402.0,201.0,5713204.0,20188.0,283.0,,,
2020-12-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-11-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-10-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-9-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-8-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-7-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-6-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-5-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-4-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-3-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-2-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2020-1-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-12-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-11-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-10-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-9-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-8-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-7-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-6-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-5-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-4-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-3-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-2-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2019-1-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-12-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-11-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-10-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-9-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-8-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-7-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-6-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-5-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-4-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-3-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-2-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,,,
2018-1-15,,,"THE VIM,HAI TAN ST|佳悅,海壇街",,,199.0,,,289.0,,,201.0,,,283.0,243.0,,
