,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
16220,19052401230185,ASP,2019-05-06,RES,blank,1966/12,3.75,0,503,0,7455,PORTION OF F/R ABOVE LG/F                                                                                ,blank,5551431,19052401230185,B,,blank,blank,blank,blank,blank,blank,VILLAGE RD,山村道,58,blank,HHV,IL2551sB,||Phase |Block ,山村道|Phase|Block,山村道|Phase|Block|G|B,跑馬地/黃泥涌,1966,54,blankblank,58 VILLAGE RD|山村道,58 VILLAGE RD,58 山村道,58 山村道,58 VILLAGE RD,58 VILLAGE RD|山村道,VILLAGE RDblankblankblank|Phaseblank|Blockblank|G|Bconsid3.75,G,近乎零,高層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
16615,20071701130013,ASP,2020-06-29,RES,blank,1964/01,5.0,0,380,0,13158,blank,blank,5740688,20071701130013,blank,6.0,blank,blank,CHEONG MING BLDG,昌明大樓,blank,blank,SING WOO RD,成和道,53A,blank,HHV,IL2571RP,|CHEONG MING BLDG昌明大樓|Phase |Block ,成和道CHEONG MING BLDG昌明大樓|Phase|Block,成和道CHEONG MING BLDG昌明大樓|Phase|Block|6|,跑馬地/黃泥涌,1964,56,CHEONG MING BLDG昌明大樓,53A SING WOO RD|成和道,53A SING WOO RD,53A 成和道,"昌明大樓,成和道","CHEONG MING BLDG,SING WOO RD","CHEONG MING BLDG,SING WOO RD|昌明大樓,成和道",SING WOO RDblankCHEONG MING BLDG昌明大樓|Phaseblank|Blockblank|6|blankconsid5.0,6,高,高層,南,四正,良好,單位實用四正 交通方便 配套完善
16110,19040200470052,ASP,2019-03-13,RES,blank,1986/12,5.05,350,300,14429,16833,blank,GDN:326 SF / ,5519172,19040200470052,C,,blank,blank,TAI YUEN,泰苑,blank,blank,VILLAGE TERR,山村臺,11,blank,HHV,IL2270sAss2sARP /,|TAI YUEN泰苑|Phase |Block ,山村臺TAI YUEN泰苑|Phase|Block,山村臺TAI YUEN泰苑|Phase|Block|G|C,跑馬地/黃泥涌,1986,34,TAI YUEN泰苑,11 VILLAGE TERR|山村臺,11 VILLAGE TERR,11 山村臺,"泰苑,山村臺","TAI YUEN,VILLAGE TERR","TAI YUEN,VILLAGE TERR|泰苑,山村臺",VILLAGE TERRblankTAI YUEN泰苑|Phaseblank|Blockblank|G|Cconsid5.05,G,低,高層,北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16469,20021900110239,ASP,2020-02-11,RES,blank,1978/06,5.15,0,255,0,20196,blank,YARD:150 SF / ,5676200,20021900110239,B,,blank,blank,FUNG FAI COURT,鳳輝閣,blank,blank,FUNG FAI TERR,鳳輝臺,3,4,HHV,IL2588 / IL2589,|FUNG FAI COURT鳳輝閣|Phase |Block ,鳳輝臺FUNG FAI COURT鳳輝閣|Phase|Block,鳳輝臺FUNG FAI COURT鳳輝閣|Phase|Block|G|B,跑馬地/黃泥涌,1978,42,FUNG FAI COURT鳳輝閣,3-4 FUNG FAI TERR|鳳輝臺,3-4 FUNG FAI TERR,3-4 鳳輝臺,"鳳輝閣,鳳輝臺","FUNG FAI COURT,FUNG FAI TERR","FUNG FAI COURT,FUNG FAI TERR|鳳輝閣,鳳輝臺",FUNG FAI TERRblankFUNG FAI COURT鳳輝閣|Phaseblank|Blockblank|G|Bconsid5.15,G,低,低層,北,呂字型,良好,單位實用四正 交通方便 配套完善
16533,20052101850075,ASP,2020-05-15,RES,blank,1989/06,5.25,401,260,13092,20192,blank,blank,5710146,20052101850075,B,17.0,blank,blank,KING KWONG MANS,景光樓,blank,blank,KING KWONG ST,景光街,8,blank,HHV,IL3105RP / IL3105sCRP /,|KING KWONG MANS景光樓|Phase |Block ,景光街KING KWONG MANS景光樓|Phase|Block,景光街KING KWONG MANS景光樓|Phase|Block|17|B,跑馬地/黃泥涌,1989,31,KING KWONG MANS景光樓,8 KING KWONG ST|景光街,8 KING KWONG ST,8 景光街,"景光樓,景光街","KING KWONG MANS,KING KWONG ST","KING KWONG MANS,KING KWONG ST|景光樓,景光街",KING KWONG STblankKING KWONG MANS景光樓|Phaseblank|Blockblank|17|Bconsid5.25,17,低,低層,北,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16553,20060300500060,ASP,2020-05-25,RES,blank,1989/06,5.28,401,260,13167,20308,blank,blank,5716531,20060300500060,A,7.0,blank,blank,KING KWONG MANS,景光樓,blank,blank,KING KWONG ST,景光街,8,blank,HHV,IL3105RP / IL3105sCRP /,|KING KWONG MANS景光樓|Phase |Block ,景光街KING KWONG MANS景光樓|Phase|Block,景光街KING KWONG MANS景光樓|Phase|Block|7|A,跑馬地/黃泥涌,1989,31,KING KWONG MANS景光樓,8 KING KWONG ST|景光街,8 KING KWONG ST,8 景光街,"景光樓,景光街","KING KWONG MANS,KING KWONG ST","KING KWONG MANS,KING KWONG ST|景光樓,景光街",KING KWONG STblankKING KWONG MANS景光樓|Phaseblank|Blockblank|7|Aconsid5.28,7,低,高層,西,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16526,20051400230086,ASP,2020-05-04,RES,blank,1972/09,5.3,0,351,0,15100,blank,blank,5706273,20051400230086,E,3.0,blank,blank,YEE FUNG BLDG,怡豐大廈,blank,blank,VILLAGE RD,山村道,1,blank,HHV,IL8767,|YEE FUNG BLDG怡豐大廈|Phase |Block ,山村道YEE FUNG BLDG怡豐大廈|Phase|Block,山村道YEE FUNG BLDG怡豐大廈|Phase|Block|3|E,跑馬地/黃泥涌,1972,48,YEE FUNG BLDG怡豐大廈,1 VILLAGE RD|山村道,1 VILLAGE RD,1 山村道,"怡豐大廈,山村道","YEE FUNG BLDG,VILLAGE RD","YEE FUNG BLDG,VILLAGE RD|怡豐大廈,山村道",VILLAGE RDblankYEE FUNG BLDG怡豐大廈|Phaseblank|Blockblank|3|Econsid5.3,3,中,高層,西,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16214,19052300220066,ASP,2019-04-29,RES,blank,1989/06,5.46,401,260,13616,21000,blank,blank,5549735,19052300220066,A,16.0,blank,blank,KING KWONG MANS,景光樓,blank,blank,KING KWONG ST,景光街,8,blank,HHV,IL3105RP / IL3105sCRP /,|KING KWONG MANS景光樓|Phase |Block ,景光街KING KWONG MANS景光樓|Phase|Block,景光街KING KWONG MANS景光樓|Phase|Block|16|A,跑馬地/黃泥涌,1989,31,KING KWONG MANS景光樓,8 KING KWONG ST|景光街,8 KING KWONG ST,8 景光街,"景光樓,景光街","KING KWONG MANS,KING KWONG ST","KING KWONG MANS,KING KWONG ST|景光樓,景光街",KING KWONG STblankKING KWONG MANS景光樓|Phaseblank|Blockblank|16|Aconsid5.46,16,低,低層,西北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16601,20070302190020,ASP,2020-06-19,RES,blank,1979/06,5.5,0,320,0,17188,blank,blank,5733145,20070302190020,B,11.0,blank,blank,WINNER HSE,常德樓,blank,blank,WONG NAI CHUNG RD,黃泥涌道,15,blank,HHV,IL8632,|WINNER HSE常德樓|Phase |Block ,黃泥涌道WINNER HSE常德樓|Phase|Block,黃泥涌道WINNER HSE常德樓|Phase|Block|11|B,跑馬地/黃泥涌,1979,41,WINNER HSE常德樓,15 WONG NAI CHUNG RD|黃泥涌道,15 WONG NAI CHUNG RD,15 黃泥涌道,"常德樓,黃泥涌道","WINNER HSE,WONG NAI CHUNG RD","WINNER HSE,WONG NAI CHUNG RD|常德樓,黃泥涌道",WONG NAI CHUNG RDblankWINNER HSE常德樓|Phaseblank|Blockblank|11|Bconsid5.5,11,低,中層,西南,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16623,20072101480403,ASP,2020-04-28,RES,blank,1980/07,5.5,0,374,0,14706,blank,blank,5742711,20072101480403,A,3.0,blank,blank,MAYFAIR COURT,怡輝苑,blank,blank,FUNG FAI TERR,鳳輝臺,5,blank,HHV,IL2590,|MAYFAIR COURT怡輝苑|Phase |Block ,鳳輝臺MAYFAIR COURT怡輝苑|Phase|Block,鳳輝臺MAYFAIR COURT怡輝苑|Phase|Block|3|A,跑馬地/黃泥涌,1980,40,MAYFAIR COURT怡輝苑,5 FUNG FAI TERR|鳳輝臺,5 FUNG FAI TERR,5 鳳輝臺,"怡輝苑,鳳輝臺","MAYFAIR COURT,FUNG FAI TERR","MAYFAIR COURT,FUNG FAI TERR|怡輝苑,鳳輝臺",FUNG FAI TERRblankMAYFAIR COURT怡輝苑|Phaseblank|Blockblank|3|Aconsid5.5,3,低,中層,西南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16375,19102201740025,ASP,2019-10-03,RES,blank,1989/06,5.5,401,260,13716,21154,blank,blank,5630065,19102201740025,A,20.0,blank,blank,KING KWONG MANS,景光樓,blank,blank,KING KWONG ST,景光街,8,blank,HHV,IL3105RP / IL3105sCRP /,|KING KWONG MANS景光樓|Phase |Block ,景光街KING KWONG MANS景光樓|Phase|Block,景光街KING KWONG MANS景光樓|Phase|Block|20|A,跑馬地/黃泥涌,1989,31,KING KWONG MANS景光樓,8 KING KWONG ST|景光街,8 KING KWONG ST,8 景光街,"景光樓,景光街","KING KWONG MANS,KING KWONG ST","KING KWONG MANS,KING KWONG ST|景光樓,景光街",KING KWONG STblankKING KWONG MANS景光樓|Phaseblank|Blockblank|20|Aconsid5.5,20,低,中層,西南,四正,基本,單位實用四正 交通方便 配套完善
16258,19061401760024,ASP,2019-06-11,RES,blank,1984/10,5.55,375,265,14800,20943,blank,RF:153 SF / ,5565302,19061401760024,A,23.0,blank,blank,CHEERFUL COURT,愉昇閣,blank,blank,SHING PING ST,昇平街,1,5,HHV,IL3101RP / IL3402RP /,|CHEERFUL COURT愉昇閣|Phase |Block ,昇平街CHEERFUL COURT愉昇閣|Phase|Block,昇平街CHEERFUL COURT愉昇閣|Phase|Block|23|A,跑馬地/黃泥涌,1984,36,CHEERFUL COURT愉昇閣,1-5 SHING PING ST|昇平街,1-5 SHING PING ST,1-5 昇平街,"愉昇閣,昇平街","CHEERFUL COURT,SHING PING ST","CHEERFUL COURT,SHING PING ST|愉昇閣,昇平街",SHING PING STblankCHEERFUL COURT愉昇閣|Phaseblank|Blockblank|23|Aconsid5.55,23,低,中層,東北,呂字型,良好,業主減價 上車筍盤 歡迎約睇
16445,20011600580087,ASP,2020-01-09,RES,blank,1990/01,5.58,426,313,13099,17827,blank,BW:11 SF (GI/NE) / ,5663560,20011600580087,A,20.0,blank,blank,CLAYMORE LODGE,嘉樂居,blank,blank,VILLAGE RD,山村道,33,blank,HHV,IL2914RP / IL3348RP /,|CLAYMORE LODGE嘉樂居|Phase |Block ,山村道CLAYMORE LODGE嘉樂居|Phase|Block,山村道CLAYMORE LODGE嘉樂居|Phase|Block|20|A,跑馬地/黃泥涌,1990,30,CLAYMORE LODGE嘉樂居,33 VILLAGE RD|山村道,33 VILLAGE RD,33 山村道,"嘉樂居,山村道","CLAYMORE LODGE,VILLAGE RD","CLAYMORE LODGE,VILLAGE RD|嘉樂居,山村道",VILLAGE RDblankCLAYMORE LODGE嘉樂居|Phaseblank|Blockblank|20|Aconsid5.58,20,低,中層,南,四正,良好,業主減價 上車筍盤 歡迎約睇
16085,19032101670014,ASP,2019-03-14,RES,blank,1982/08,5.6,426,310,13146,18065,blank,blank,5513497,19032101670014,D,2.0,blank,blank,UNIQUE TOWER,旭逸閣,blank,blank,WONG NAI CHUNG RD,黃泥涌道,7,9,HHV,IL8520RP / IL8521RP,|UNIQUE TOWER旭逸閣|Phase |Block ,黃泥涌道UNIQUE TOWER旭逸閣|Phase|Block,黃泥涌道UNIQUE TOWER旭逸閣|Phase|Block|2|D,跑馬地/黃泥涌,1982,38,UNIQUE TOWER旭逸閣,7-9 WONG NAI CHUNG RD|黃泥涌道,7-9 WONG NAI CHUNG RD,7-9 黃泥涌道,"旭逸閣,黃泥涌道","UNIQUE TOWER,WONG NAI CHUNG RD","UNIQUE TOWER,WONG NAI CHUNG RD|旭逸閣,黃泥涌道",WONG NAI CHUNG RDblankUNIQUE TOWER旭逸閣|Phaseblank|Blockblank|2|Dconsid5.6,2,低,高層,南,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16530,20051800490078,ASP,2020-05-12,RES,blank,1984/10,5.6,450,320,12444,17500,blank,blank,5707719,20051800490078,A,3.0,blank,blank,CHEERFUL COURT,愉昇閣,blank,blank,SHING PING ST,昇平街,1,5,HHV,IL3101RP / IL3402RP /,|CHEERFUL COURT愉昇閣|Phase |Block ,昇平街CHEERFUL COURT愉昇閣|Phase|Block,昇平街CHEERFUL COURT愉昇閣|Phase|Block|3|A,跑馬地/黃泥涌,1984,36,CHEERFUL COURT愉昇閣,1-5 SHING PING ST|昇平街,1-5 SHING PING ST,1-5 昇平街,"愉昇閣,昇平街","CHEERFUL COURT,SHING PING ST","CHEERFUL COURT,SHING PING ST|愉昇閣,昇平街",SHING PING STblankCHEERFUL COURT愉昇閣|Phaseblank|Blockblank|3|Aconsid5.6,3,低,低層,南,呂字型,基本,業主減價 上車筍盤 歡迎約睇
16327,19082300270012,ASP,2019-07-28,RES,blank,1990/01,5.68,419,308,13556,18442,blank,BW:11 SF (GI/NE) / ,5602922,19082300270012,B,6.0,blank,blank,CLAYMORE LODGE,嘉樂居,blank,blank,VILLAGE RD,山村道,33,blank,HHV,IL2914RP / IL3348RP /,|CLAYMORE LODGE嘉樂居|Phase |Block ,山村道CLAYMORE LODGE嘉樂居|Phase|Block,山村道CLAYMORE LODGE嘉樂居|Phase|Block|6|B,跑馬地/黃泥涌,1990,30,CLAYMORE LODGE嘉樂居,33 VILLAGE RD|山村道,33 VILLAGE RD,33 山村道,"嘉樂居,山村道","CLAYMORE LODGE,VILLAGE RD","CLAYMORE LODGE,VILLAGE RD|嘉樂居,山村道",VILLAGE RDblankCLAYMORE LODGE嘉樂居|Phaseblank|Blockblank|6|Bconsid5.68,6,低,低層,南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16411,19120200490072,ASP,2019-11-22,RES,blank,1966/03,5.7,0,339,0,16814,blank,blank,5648073,19120200490072,13,5.0,blank,blank,KING CHEUNG MANS,景祥大鏤,blank,blank,KING KWONG ST,景光街,5,blank,HHV,IL4125RP / IL4126RP /,|KING CHEUNG MANS景祥大鏤|Phase |Block ,景光街KING CHEUNG MANS景祥大鏤|Phase|Block,景光街KING CHEUNG MANS景祥大鏤|Phase|Block|5|13,跑馬地/黃泥涌,1966,54,KING CHEUNG MANS景祥大鏤,5 KING KWONG ST|景光街,5 KING KWONG ST,5 景光街,"景祥大鏤,景光街","KING CHEUNG MANS,KING KWONG ST","KING CHEUNG MANS,KING KWONG ST|景祥大鏤,景光街",KING KWONG STblankKING CHEUNG MANS景祥大鏤|Phaseblank|Blockblank|5|13consid5.7,5,近乎零,高層,東,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16153,19042400710046,ASP,2019-03-25,RES,blank,1970/07,5.72,0,360,0,15889,blank,blank,5530828,19042400710046,G,5.0,blank,blank,NAM WING BLDG,南榮大廈,blank,blank,SING WOO RD,成和道,49,51A,HHV,IL3290RP / IL3303RP,|NAM WING BLDG南榮大廈|Phase |Block ,成和道NAM WING BLDG南榮大廈|Phase|Block,成和道NAM WING BLDG南榮大廈|Phase|Block|5|G,跑馬地/黃泥涌,1970,50,NAM WING BLDG南榮大廈,49-51A SING WOO RD|成和道,49-51A SING WOO RD,49-51A 成和道,"南榮大廈,成和道","NAM WING BLDG,SING WOO RD","NAM WING BLDG,SING WOO RD|南榮大廈,成和道",SING WOO RDblankNAM WING BLDG南榮大廈|Phaseblank|Blockblank|5|Gconsid5.72,5,中,低層,東南,沒資料,有,業主減價 上車筍盤 歡迎約睇
16616,20071701180377,ASP,2020-07-10,RES,blank,1979/06,5.75,0,320,0,17969,blank,blank,5740715,20071701180377,B,6.0,blank,blank,WINNER HSE,常德樓,blank,blank,WONG NAI CHUNG RD,黃泥涌道,15,blank,HHV,IL8632,|WINNER HSE常德樓|Phase |Block ,黃泥涌道WINNER HSE常德樓|Phase|Block,黃泥涌道WINNER HSE常德樓|Phase|Block|6|B,跑馬地/黃泥涌,1979,41,WINNER HSE常德樓,15 WONG NAI CHUNG RD|黃泥涌道,15 WONG NAI CHUNG RD,15 黃泥涌道,"常德樓,黃泥涌道","WINNER HSE,WONG NAI CHUNG RD","WINNER HSE,WONG NAI CHUNG RD|常德樓,黃泥涌道",WONG NAI CHUNG RDblankWINNER HSE常德樓|Phaseblank|Blockblank|6|Bconsid5.75,6,低,中層,西南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16382,19103101960023,ASP,2019-10-18,RES,blank,1980/07,5.8,0,387,0,14987,blank,blank,5634235,19103101960023,G,3.0,blank,blank,MAYFAIR COURT,怡輝苑,blank,blank,FUNG FAI TERR,鳳輝臺,5,blank,HHV,IL2590,|MAYFAIR COURT怡輝苑|Phase |Block ,鳳輝臺MAYFAIR COURT怡輝苑|Phase|Block,鳳輝臺MAYFAIR COURT怡輝苑|Phase|Block|3|G,跑馬地/黃泥涌,1980,40,MAYFAIR COURT怡輝苑,5 FUNG FAI TERR|鳳輝臺,5 FUNG FAI TERR,5 鳳輝臺,"怡輝苑,鳳輝臺","MAYFAIR COURT,FUNG FAI TERR","MAYFAIR COURT,FUNG FAI TERR|怡輝苑,鳳輝臺",FUNG FAI TERRblankMAYFAIR COURT怡輝苑|Phaseblank|Blockblank|3|Gconsid5.8,3,低,中層,北,呂字型,良好,單位實用四正 交通方便 配套完善
