,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_address,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
37765,19041100720063,ASP,2019-03-12,RES,blank,1987/01,3.8,305,258,12459,14729,blank,blank,5524272,19041100720063,B,4.0,blank,blank,BONITO CASA,太子臺,blank,blank,PRINCE'S TERR,太子臺,4,blank,HMW,IL151sB,|BONITO CASA太子臺|Phase |Block ,太子臺BONITO CASA太子臺|Phase|Block,太子臺BONITO CASA太子臺|Phase|Block|4|B,西半山,1987,33,BONITO CASA太子臺,4 PRINCE'S TERR,4 太子臺,4 PRINCE'S TERR|4 太子臺,"太子臺,太子臺","BONITO CASA,PRINCE'S TERR","BONITO CASA,PRINCE'S TERR|太子臺,太子臺",PRINCE'S TERRblankBONITO CASA太子臺|Phaseblank|Blockblank|4|Bconsid3.8,4,低,高層,西北,呂字型,基本,單位實用四正 交通方便 配套完善
38796,20062401400011,ASP,2020-06-04,RES,blank,2021/03,5.5253,0,181,0,30527,blank,blank,5728864,20062401400011,A,6.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|6|A,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|6|Aconsid5.5253,6,近乎零,高層,西北,呂字型,有,單位實用四正 交通方便 配套完善
38759,20061900540044,ASP,2020-06-03,RES,blank,2021/03,5.6071,0,181,0,30978,blank,blank,5726134,20061900540044,A,7.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|7|A,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|7|Aconsid5.6071,7,近乎零,中層,東南,沒資料,基本,單位實用四正 交通方便 配套完善
38383,20020701500064,ASP,2020-01-29,RES,blank,1994/02,5.62,407,255,13808,22039,blank,blank,5671424,20020701500064,B,26.0,blank,blank,PARKSDALE,般柏苑,blank,blank,PARK RD,柏道,6A,blank,HMW,IL2036RP,|PARKSDALE般柏苑|Phase |Block ,柏道PARKSDALE般柏苑|Phase|Block,柏道PARKSDALE般柏苑|Phase|Block|26|B,西半山,1994,26,PARKSDALE般柏苑,6A PARK RD,6A 柏道,6A PARK RD|6A 柏道,"般柏苑,柏道","PARKSDALE,PARK RD","PARKSDALE,PARK RD|般柏苑,柏道",PARK RDblankPARKSDALE般柏苑|Phaseblank|Blockblank|26|Bconsid5.62,26,低,低層,東,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38288,19120400800020,ASP,2019-11-15,RES,blank,1985/03,5.68,470,340,12085,16706,blank,blank,5649198,19120400800020,A,1.0,blank,blank,RICH COURT,怡富閣,blank,blank,PEEL ST,卑利街,88,blank,HMW,IL343sARP / IL343sAss1,|RICH COURT怡富閣|Phase |Block ,卑利街RICH COURT怡富閣|Phase|Block,卑利街RICH COURT怡富閣|Phase|Block|1|A,西半山,1985,35,RICH COURT怡富閣,88 PEEL ST,88 卑利街,88 PEEL ST|88 卑利街,"怡富閣,卑利街","RICH COURT,PEEL ST","RICH COURT,PEEL ST|怡富閣,卑利街",PEEL STblankRICH COURT怡富閣|Phaseblank|Blockblank|1|Aconsid5.68,1,低,中層,西,呂字型,良好,業主減價 上車筍盤 歡迎約睇
38554,20041700050011,ASP,2020-04-09,RES,blank,1975/06,5.72,0,342,0,16725,blank,blank,5697014,20041700050011,B,1.0,blank,blank,PRINCE'S COURT,blank,blank,blank,PRINCE'S TERR,太子臺,10,blank,HMW,IL151sDss1,|PRINCE'S COURT|Phase |Block ,太子臺PRINCE'S COURT|Phase|Block,太子臺PRINCE'S COURT|Phase|Block|1|B,西半山,1975,45,PRINCE'S COURTblank,10 PRINCE'S TERR,10 太子臺,10 PRINCE'S TERR|10 太子臺,"blank,太子臺","PRINCE'S COURT,PRINCE'S TERR","PRINCE'S COURT,PRINCE'S TERR|blank,太子臺",PRINCE'S TERRblankPRINCE'S COURTblank|Phaseblank|Blockblank|1|Bconsid5.72,1,中,低層,東,沒資料,基本,業主減價 上車筍盤 歡迎約睇
37600,19013100390102,ASP,2019-01-25,RES,blank,1993/12,5.8,367,263,15804,22053,blank,BW:19 SF (GI/NE) / ,5492674,19013100390102,C,10.0,blank,blank,WINDSOR COURT,衛城閣,blank,blank,CASTLE RD,衛城道,6,blank,HMW,IL425s6ss1 / IL425s6ss2,|WINDSOR COURT衛城閣|Phase |Block ,衛城道WINDSOR COURT衛城閣|Phase|Block,衛城道WINDSOR COURT衛城閣|Phase|Block|10|C,西半山,1993,27,WINDSOR COURT衛城閣,6 CASTLE RD,6 衛城道,6 CASTLE RD|6 衛城道,"衛城閣,衛城道","WINDSOR COURT,CASTLE RD","WINDSOR COURT,CASTLE RD|衛城閣,衛城道",CASTLE RDblankWINDSOR COURT衛城閣|Phaseblank|Blockblank|10|Cconsid5.8,10,低,低層,南,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
37593,19012502470021,ASP,2019-01-18,RES,blank,1985/03,5.8,470,340,12340,17059,blank,blank,5490346,19012502470021,B,7.0,blank,blank,RICH COURT,怡富閣,blank,blank,PEEL ST,卑利街,88,blank,HMW,IL343sARP / IL343sAss1,|RICH COURT怡富閣|Phase |Block ,卑利街RICH COURT怡富閣|Phase|Block,卑利街RICH COURT怡富閣|Phase|Block|7|B,西半山,1985,35,RICH COURT怡富閣,88 PEEL ST,88 卑利街,88 PEEL ST|88 卑利街,"怡富閣,卑利街","RICH COURT,PEEL ST","RICH COURT,PEEL ST|怡富閣,卑利街",PEEL STblankRICH COURT怡富閣|Phaseblank|Blockblank|7|Bconsid5.8,7,低,高層,南,呂字型,有,業主減價 上車筍盤 歡迎約睇
38028,19070200140030,ASP,2019-06-17,RES,blank,1975/06,5.9,0,342,0,17251,blank,blank,5574464,19070200140030,B,,blank,blank,PRINCE'S COURT,blank,blank,blank,PRINCE'S TERR,太子臺,10,blank,HMW,IL151sDss1,|PRINCE'S COURT|Phase |Block ,太子臺PRINCE'S COURT|Phase|Block,太子臺PRINCE'S COURT|Phase|Block|UG|B,西半山,1975,45,PRINCE'S COURTblank,10 PRINCE'S TERR,10 太子臺,10 PRINCE'S TERR|10 太子臺,"blank,太子臺","PRINCE'S COURT,PRINCE'S TERR","PRINCE'S COURT,PRINCE'S TERR|blank,太子臺",PRINCE'S TERRblankPRINCE'S COURTblank|Phaseblank|Blockblank|UG|Bconsid5.9,UG,中,高層,西,四正,良好,單位實用四正 交通方便 配套完善
37685,19032201400146,ASP,2019-03-12,RES,blank,2003/11,6.0,390,227,15385,26432,blank,BW:6 SF (GU/NU) / BAL:22 SF (GU/NU) / UP:16 SF (GU/NU) / ,5514183,19032201400146,C,17.0,blank,blank,READING PLACE,莊士明德軒,blank,blank,ST. STEPHEN'S LANE,聖士提反里,5,blank,HMW,IL609BsG / IL609BsH /,|READING PLACE莊士明德軒|Phase |Block ,聖士提反里READING PLACE莊士明德軒|Phase|Block,聖士提反里READING PLACE莊士明德軒|Phase|Block|17|C,西半山,2003,17,READING PLACE莊士明德軒,5 ST. STEPHEN'S LANE,5 聖士提反里,5 ST. STEPHEN'S LANE|5 聖士提反里,"莊士明德軒,聖士提反里","READING PLACE,ST. STEPHEN'S LANE","READING PLACE,ST. STEPHEN'S LANE|莊士明德軒,聖士提反里",ST. STEPHEN'S LANEblankREADING PLACE莊士明德軒|Phaseblank|Blockblank|17|Cconsid6.0,17,很低,低層,北,四正,有,單位實用四正 交通方便 配套完善
38417,20021400470036,ASP,2020-01-29,RES,blank,2021/11,6.0527,0,206,0,29382,blank,BAL:22 SF (NI) / ,5674424,20021400470036,C,3.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|3|C,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|3|Cconsid6.0527,3,近乎零,高層,南,呂字型,有,單位實用四正 交通方便 配套完善
38895,20080501650031,ASP,2020-07-17,RES,blank,1993/12,6.15,367,263,16757,23384,blank,BW:19 SF (GI/NE) / ,5750897,20080501650031,C,15.0,blank,blank,WINDSOR COURT,衛城閣,blank,blank,CASTLE RD,衛城道,6,blank,HMW,IL425s6ss1 / IL425s6ss2,|WINDSOR COURT衛城閣|Phase |Block ,衛城道WINDSOR COURT衛城閣|Phase|Block,衛城道WINDSOR COURT衛城閣|Phase|Block|15|C,西半山,1993,27,WINDSOR COURT衛城閣,6 CASTLE RD,6 衛城道,6 CASTLE RD|6 衛城道,"衛城閣,衛城道","WINDSOR COURT,CASTLE RD","WINDSOR COURT,CASTLE RD|衛城閣,衛城道",CASTLE RDblankWINDSOR COURT衛城閣|Phaseblank|Blockblank|15|Cconsid6.15,15,低,高層,東南,四正,良好,單位實用四正 交通方便 配套完善
38398,20021100370015,ASP,2020-01-30,RES,blank,2021/11,6.1826,0,206,0,30013,blank,BAL:22 SF (NI) / ,5672476,20021100370015,C,6.0,blank,blank,THE RICHMOND,blank,blank,blank,ROBINSON RD,羅便臣道,62C,blank,HMW,IL588sBss1RP /,|THE RICHMOND|Phase |Block ,羅便臣道THE RICHMOND|Phase|Block,羅便臣道THE RICHMOND|Phase|Block|6|C,西半山,2021,-1,THE RICHMONDblank,62C ROBINSON RD,62C 羅便臣道,62C ROBINSON RD|62C 羅便臣道,"blank,羅便臣道","THE RICHMOND,ROBINSON RD","THE RICHMOND,ROBINSON RD|blank,羅便臣道",ROBINSON RDblankTHE RICHMONDblank|Phaseblank|Blockblank|6|Cconsid6.1826,6,近乎零,高層,東北,沒資料,基本,單位實用四正 交通方便 配套完善
38718,20060901220079,ASP,2020-05-29,RES,blank,1993/12,6.2,367,263,16894,23574,blank,BW:19 SF (GI/NE) / ,5719891,20060901220079,C,20.0,blank,blank,WINDSOR COURT,衛城閣,blank,blank,CASTLE RD,衛城道,6,blank,HMW,IL425s6ss1 / IL425s6ss2,|WINDSOR COURT衛城閣|Phase |Block ,衛城道WINDSOR COURT衛城閣|Phase|Block,衛城道WINDSOR COURT衛城閣|Phase|Block|20|C,西半山,1993,27,WINDSOR COURT衛城閣,6 CASTLE RD,6 衛城道,6 CASTLE RD|6 衛城道,"衛城閣,衛城道","WINDSOR COURT,CASTLE RD","WINDSOR COURT,CASTLE RD|衛城閣,衛城道",CASTLE RDblankWINDSOR COURT衛城閣|Phaseblank|Blockblank|20|Cconsid6.2,20,低,中層,東,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38795,20062401300514,ASP,2020-06-04,RES,blank,2021/03,6.2218,0,203,0,30649,blank,BAL:22 SF (NI) / ,5728836,20062401300514,D,8.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|8|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|8|Dconsid6.2218,8,近乎零,低層,東北,呂字型,有,單位實用四正 交通方便 配套完善
38505,20032000350049,ASP,2020-03-12,RES,blank,1971/09,6.228,0,385,0,16177,blank,blank,5686954,20032000350049,B,5.0,blank,blank,SUNG TAK MANS,宋德樓,blank,blank,PRINCE'S TERR,太子臺,2,blank,HMW,IL151sA,|SUNG TAK MANS宋德樓|Phase |Block ,太子臺SUNG TAK MANS宋德樓|Phase|Block,太子臺SUNG TAK MANS宋德樓|Phase|Block|5|B,西半山,1971,49,SUNG TAK MANS宋德樓,2 PRINCE'S TERR,2 太子臺,2 PRINCE'S TERR|2 太子臺,"宋德樓,太子臺","SUNG TAK MANS,PRINCE'S TERR","SUNG TAK MANS,PRINCE'S TERR|宋德樓,太子臺",PRINCE'S TERRblankSUNG TAK MANS宋德樓|Phaseblank|Blockblank|5|Bconsid6.228,5,中,中層,東,四正,基本,業主減價 上車筍盤 歡迎約睇
38779,20062300550055,ASP,2020-06-03,RES,blank,2021/03,6.2472,0,203,0,30774,blank,BAL:22 SF (NI) / ,5727865,20062300550055,D,9.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|9|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|9|Dconsid6.2472,9,近乎零,高層,東南,沒資料,基本,業主減價 上車筍盤 歡迎約睇
38053,19071601320066,ASP,2019-07-03,RES,blank,2003/11,6.308,390,227,16174,27789,blank,BW:6 SF (GU/NU) / BAL:22 SF (GU/NU) / UP:16 SF (GU/NU) / ,5581856,19071601320066,C,23.0,blank,blank,READING PLACE,莊士明德軒,blank,blank,ST. STEPHEN'S LANE,聖士提反里,5,blank,HMW,IL609BsG / IL609BsH /,|READING PLACE莊士明德軒|Phase |Block ,聖士提反里READING PLACE莊士明德軒|Phase|Block,聖士提反里READING PLACE莊士明德軒|Phase|Block|23|C,西半山,2003,17,READING PLACE莊士明德軒,5 ST. STEPHEN'S LANE,5 聖士提反里,5 ST. STEPHEN'S LANE|5 聖士提反里,"莊士明德軒,聖士提反里","READING PLACE,ST. STEPHEN'S LANE","READING PLACE,ST. STEPHEN'S LANE|莊士明德軒,聖士提反里",ST. STEPHEN'S LANEblankREADING PLACE莊士明德軒|Phaseblank|Blockblank|23|Cconsid6.308,23,很低,中層,南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
38041,19070501710034,ASP,2019-06-28,RES,blank,1993/12,6.33,367,263,17248,24068,blank,BW:19 SF (GI/NE) / ,5576785,19070501710034,B,13.0,blank,blank,WINDSOR COURT,衛城閣,blank,blank,CASTLE RD,衛城道,6,blank,HMW,IL425s6ss1 / IL425s6ss2,|WINDSOR COURT衛城閣|Phase |Block ,衛城道WINDSOR COURT衛城閣|Phase|Block,衛城道WINDSOR COURT衛城閣|Phase|Block|13|B,西半山,1993,27,WINDSOR COURT衛城閣,6 CASTLE RD,6 衛城道,6 CASTLE RD|6 衛城道,"衛城閣,衛城道","WINDSOR COURT,CASTLE RD","WINDSOR COURT,CASTLE RD|衛城閣,衛城道",CASTLE RDblankWINDSOR COURT衛城閣|Phaseblank|Blockblank|13|Bconsid6.33,13,低,高層,西北,沒資料,有,業主減價 上車筍盤 歡迎約睇
38748,20061800170010,ASP,2020-06-04,RES,blank,2021/03,6.3337,0,203,0,31200,blank,BAL:22 SF (NI) / ,5725275,20061800170010,D,11.0,blank,blank,CENTRAL 8,半山捌號,blank,blank,MOSQUE ST,摩羅廟街,8,blank,HMW,IL58sAss3sARP /,|CENTRAL 8半山捌號|Phase |Block ,摩羅廟街CENTRAL 8半山捌號|Phase|Block,摩羅廟街CENTRAL 8半山捌號|Phase|Block|11|D,西半山,2021,-1,CENTRAL 8半山捌號,8 MOSQUE ST,8 摩羅廟街,8 MOSQUE ST|8 摩羅廟街,"半山捌號,摩羅廟街","CENTRAL 8,MOSQUE ST","CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",MOSQUE STblankCENTRAL 8半山捌號|Phaseblank|Blockblank|11|Dconsid6.3337,11,近乎零,高層,東北,呂字型,基本,單位實用四正 交通方便 配套完善
