,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
8678,19030600550068,ASP,2019-03-01,RES,blank,2019/03,3.5614,0,471,0,7561,blank,blank,5506865,19030600550068,5,21.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|21|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|21|5consid3.5614,21
8679,19030801670029,ASP,2019-02-28,RES,blank,2019/03,3.5944,0,471,0,7631,blank,blank,5508005,19030801670029,5,30.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|30|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|30|5consid3.5944,30
8682,19031200880021,ASP,2019-03-05,RES,blank,2019/03,3.3121,0,460,0,7200,blank,blank,5508925,19031200880021,6,8.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|8|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|8|6consid3.3121,8
8683,19031200930033,ASP,2019-03-01,RES,blank,2019/03,3.542,0,471,0,7520,blank,blank,5508933,19031200930033,5,19.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|19|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|19|5consid3.542,19
8684,19031401540062,ASP,2019-03-08,RES,blank,2019/03,3.1667,0,446,0,7100,blank,blank,5510206,19031401540062,7,3.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|3|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|3|7consid3.1667,3
8685,19031401620119,ASP,2019-03-07,RES,blank,2019/03,3.2558,0,445,0,7316,blank,blank,5510255,19031401620119,6,7.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|7|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|7|6consid3.2558,7
8686,19031500070109,ASP,2019-03-08,RES,blank,2019/03,3.2034,0,445,0,7199,blank,blank,5510443,19031500070109,6,4.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|4|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|4|6consid3.2034,4
8687,19031500550033,ASP,2019-03-06,RES,blank,2019/03,3.2717,0,460,0,7112,blank,blank,5510539,19031500550033,6,9.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|9|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|9|6consid3.2717,9
8688,19031500690068,ASP,2019-02-28,RES,blank,2019/03,3.4343,0,445,0,7718,blank,blank,5510602,19031500690068,6,24.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|24|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|24|6consid3.4343,24
8689,19031500970032,ASP,2019-03-04,RES,blank,2019/03,3.5618,0,469,0,7594,blank,blank,5510657,19031500970032,3,23.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|23|3,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|23|3consid3.5618,23
8690,19031500970046,ASP,2019-03-04,RES,blank,2019/03,3.3976,0,471,0,7214,blank,blank,5510658,19031500970046,5,7.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|7|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|7|5consid3.3976,7
8691,19031501040093,ASP,2019-03-08,RES,blank,2019/03,3.2114,0,446,0,7200,blank,blank,5510682,19031501040093,7,4.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|4|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|4|7consid3.2114,4
8692,19031501420266,ASP,2019-03-06,RES,blank,2018/12,13.138,0,451,0,29131,blank,BAL:22 SF (NI) / ,5510776,19031501420266,E,28.0,2,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block 2,沐寧街OASIS KAI TAK|Phase|Block2,沐寧街OASIS KAI TAK|Phase|Block2|28|E,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blank2座,沐寧街","OASIS KAI TAK(BLOCK 2),MUK NING ST","OASIS KAI TAK(Block 2),MUK NING ST|blank2座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|Block2|28|Econsid13.138,28
8693,19031801060069,ASP,2019-03-07,RES,blank,2006/11,6.0,500,370,12000,16216,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5511332,19031801060069,H,21.0,2,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 2,新碼頭街GRAND WATERFRONT|Phase|Block2,新碼頭街GRAND WATERFRONT|Phase|Block2|21|H,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣2座,新碼頭街","GRAND WATERFRONT(BLOCK 2),SAN MA TAU ST","GRAND WATERFRONT(Block 2),SAN MA TAU ST|翔龍灣2座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block2|21|Hconsid6.0,21
8694,19031900740151,ASP,2019-03-14,RES,blank,2019/03,2.8168,0,384,0,7335,blank,blank,5511865,19031900740151,2,20.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|20|2,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|20|2consid2.8168,20
8695,19032000870025,ASP,2019-03-04,RES,blank,2019/03,3.469,0,460,0,7541,blank,blank,5512574,19032000870025,6,29.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|29|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|29|6consid3.469,29
8696,19032100120407,ASP,2019-03-11,RES,blank,2019/03,2.8255,0,456,0,6196,blank,blank,5513060,19032100120407,7,1.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|1|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|1|7consid2.8255,1
8697,19032100120417,ASP,2019-03-07,RES,blank,2019/03,3.2403,0,456,0,7106,blank,blank,5513061,19032100120417,7,14.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|14|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|14|7consid3.2403,14
8698,19032100360069,ASP,2019-03-15,RES,blank,2006/11,15.0,1091,804,13749,18657,blank,BW:39 SF (GI/NE) / BAL:23 SF (GI/NI) / UP:16 SF (GI/NI) / ,5513155,19032100360069,C,40.0,5,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 5,新碼頭街GRAND WATERFRONT|Phase|Block5,新碼頭街GRAND WATERFRONT|Phase|Block5|40|C,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣5座,新碼頭街","GRAND WATERFRONT(BLOCK 5),SAN MA TAU ST","GRAND WATERFRONT(Block 5),SAN MA TAU ST|翔龍灣5座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block5|40|Cconsid15.0,40
8699,19032200480061,ASP,2019-03-04,RES,blank,2019/03,3.3637,0,460,0,7312,blank,blank,5513846,19032200480061,6,12.0,C,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block C,沐安街KAI LONG COURT|Phase|BlockC,沐安街KAI LONG COURT|Phase|BlockC|12|6,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑C座,沐安街","KAI LONG COURT(BLOCK C),MUK ON ST","KAI LONG COURT(Block C),MUK ON ST|啟朗苑C座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockC|12|6consid3.3637,12
8700,19032200480074,ASP,2019-03-08,RES,blank,2019/03,2.8006,0,384,0,7293,blank,blank,5513847,19032200480074,3,12.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|12|3,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|12|3consid2.8006,12
8701,19032200480089,ASP,2019-03-14,RES,blank,2019/03,2.7267,0,380,0,7176,blank,blank,5513848,19032200480089,4,8.0,A,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block A,沐安街KAI LONG COURT|Phase|BlockA,沐安街KAI LONG COURT|Phase|BlockA|8|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑A座,沐安街","KAI LONG COURT(BLOCK A),MUK ON ST","KAI LONG COURT(Block A),MUK ON ST|啟朗苑A座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockA|8|4consid2.7267,8
8702,19032201610052,ASP,2019-03-13,RES,blank,2019/03,2.8997,0,385,0,7532,blank,blank,5514269,19032201610052,5,17.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|17|5,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|17|5consid2.8997,17
8703,19032201710024,ASP,2019-03-06,RES,blank,2019/03,3.3478,0,446,0,7506,blank,blank,5514307,19032201710024,7,14.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|14|7,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|14|7consid3.3478,14
8704,19032500480063,ASP,2019-03-18,RES,blank,2019/03,2.7654,0,385,0,7183,blank,blank,5514742,19032500480063,4,8.0,B,blank,blank,blank,KAI LONG COURT,啟朗苑,MUK ON ST,沐安街,18,blank,KKAI,NKIL6581,KAI LONG COURT||Phase |Block B,沐安街KAI LONG COURT|Phase|BlockB,沐安街KAI LONG COURT|Phase|BlockB|8|4,啟德,2019,1,blankblank,18 MUK ON ST|沐安街,18 MUK ON ST,18 沐安街,"啟朗苑B座,沐安街","KAI LONG COURT(BLOCK B),MUK ON ST","KAI LONG COURT(Block B),MUK ON ST|啟朗苑B座,沐安街",MUK ON STKAI LONG COURTblankblank|Phaseblank|BlockB|8|4consid2.7654,8
