,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
42259,19011100460058,ASP,2019-01-04,RES,blank,2000/12,4.38,854,650,5129,6738,blank,blank,5483295,19011100460058,1,39.0,O,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block O,天秀路TIN FU COURT|Phase2|BlockO,天秀路TIN FU COURT|Phase2|BlockO|39|1,天水圍,2000,20,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑O座,天秀路","TIN FU COURT(BLOCK O),TIN SAU RD","TIN FU COURT(Block O),TIN SAU RD|天富苑O座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockO|39|1consid4.38,39
42281,19012101400064,ASP,2019-01-15,RES,blank,1999/12,2.55,579,433,4404,5889,blank,blank,5487785,19012101400064,6,9.0,N,2,CHUNG KAM HSE,頌琴閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG KAM HSE頌琴閣|Phase 2|Block N,天榮路TIN CHUNG COURTCHUNG KAM HSE頌琴閣|Phase2|BlockN,天榮路TIN CHUNG COURTCHUNG KAM HSE頌琴閣|Phase2|BlockN|9|6,天水圍,1999,21,CHUNG KAM HSE頌琴閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌琴閣,天頌苑,天榮路","CHUNG KAM HSE,TIN CHUNG COURT,TIN WING RD","CHUNG KAM HSE,TIN CHUNG COURT,TIN WING RD|頌琴閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG KAM HSE頌琴閣|Phase2|BlockN|9|6consid2.55,9
42282,19012200670260,ASP,2019-01-09,RES,blank,1994/12,4.55,581,457,7831,9956,blank,BW:31 SF (GI/NE) / ,5488198,19012200670260,E,12.0,4,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 4,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block4,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block4|12|E,天水圍,1994,26,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block4|12|Econsid4.55,12
42284,19012300350278,ASP,2019-01-14,RES,blank,1996/02,5.15,704,559,7315,9213,blank,BW:31 SF (GI/NE) / ,5488642,19012300350278,H,5.0,8,blank,LYNWOOD COURT,麗湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN KWAI RD,天葵路,3,blank,NTSW,TSWTL5RP,KINGSWOOD VILLAS|LYNWOOD COURT麗湖居|Phase |Block 8,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block8,天葵路KINGSWOOD VILLASLYNWOOD COURT麗湖居|Phase|Block8|5|H,天水圍,1996,24,LYNWOOD COURT麗湖居,3 TIN KWAI RD|天葵路,3 TIN KWAI RD,3 天葵路,"麗湖居,嘉湖山莊,天葵路","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD","LYNWOOD COURT,KINGSWOOD VILLAS,TIN KWAI RD|麗湖居,嘉湖山莊,天葵路",TIN KWAI RDKINGSWOOD VILLASLYNWOOD COURT麗湖居|Phaseblank|Block8|5|Hconsid5.15,5
42286,19012400170147,ASP,2019-01-14,RES,blank,1991/12,5.0,708,561,7062,8913,blank,BW:38 SF (GI/NE) / ,5489200,19012400170147,D,8.0,3,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 3,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block3,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block3|8|D,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block3|8|Dconsid5.0,8
42287,19012400580077,ASP,2019-01-16,RES,blank,2001/03,3.83,829,650,4620,5892,blank,blank,5489326,19012400580077,8,3.0,A,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block A,天秀路TIN FU COURT|Phase2|BlockA,天秀路TIN FU COURT|Phase2|BlockA|3|8,天水圍,2001,19,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑A座,天秀路","TIN FU COURT(BLOCK A),TIN SAU RD","TIN FU COURT(Block A),TIN SAU RD|天富苑A座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockA|3|8consid3.83,3
42288,19012401210126,ASP,2019-01-18,RES,blank,2001/03,4.48,829,650,5404,6892,blank,blank,5489466,19012401210126,1,11.0,B,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block B,天秀路TIN FU COURT|Phase2|BlockB,天秀路TIN FU COURT|Phase2|BlockB|11|1,天水圍,2001,19,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑B座,天秀路","TIN FU COURT(BLOCK B),TIN SAU RD","TIN FU COURT(Block B),TIN SAU RD|天富苑B座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockB|11|1consid4.48,11
42290,19012401800267,ASP,2019-01-11,RES,blank,2007/11,5.48,656,503,8354,10895,blank,BW:18 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5489628,19012401800267,E,27.0,5,1,blank,blank,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS||Phase 1|Block 5,天恩路CENTRAL PARK TOWERS|Phase1|Block5,天恩路CENTRAL PARK TOWERS|Phase1|Block5|27|E,天水圍,2007,13,blankblank,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪園5座,天恩路","CENTRAL PARK TOWERS(BLOCK 5),TIN YAN RD","CENTRAL PARK TOWERS(Block 5),TIN YAN RD|柏慧豪園5座,天恩路",TIN YAN RDCENTRAL PARK TOWERSblankblank|Phase1|Block5|27|Econsid5.48,27
42292,19012501870053,ASP,2019-01-21,RES,blank,1999/12,4.56,854,650,5340,7015,blank,blank,5490201,19012501870053,5,32.0,F,blank,CHUNG HOI HSE,頌海閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG HOI HSE頌海閣|Phase |Block F,天榮路TIN CHUNG COURTCHUNG HOI HSE頌海閣|Phase|BlockF,天榮路TIN CHUNG COURTCHUNG HOI HSE頌海閣|Phase|BlockF|32|5,天水圍,1999,21,CHUNG HOI HSE頌海閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌海閣,天頌苑,天榮路","CHUNG HOI HSE,TIN CHUNG COURT,TIN WING RD","CHUNG HOI HSE,TIN CHUNG COURT,TIN WING RD|頌海閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG HOI HSE頌海閣|Phaseblank|BlockF|32|5consid4.56,32
42294,19012502500031,ASP,2019-01-11,RES,blank,1993/03,4.5,576,455,7812,9890,blank,BW:33 SF (GI/NE) / RF:362 SF / ,5490352,19012502500031,F,35.0,2,blank,SHERWOOD COURT,賞湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,3,blank,NTSW,TSWTL2RP,KINGSWOOD VILLAS|SHERWOOD COURT賞湖居|Phase |Block 2,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block2,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block2|35|F,天水圍,1993,27,SHERWOOD COURT賞湖居,3 TIN WU RD|天湖路,3 TIN WU RD,3 天湖路,"賞湖居,嘉湖山莊,天湖路","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|賞湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASSHERWOOD COURT賞湖居|Phaseblank|Block2|35|Fconsid4.5,35
42295,19012801490105,ASP,2019-01-21,RES,blank,2001/03,4.33,830,650,5217,6662,blank,blank,5490870,19012801490105,3,33.0,G,1,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 1|Block G,天秀路TIN FU COURT|Phase1|BlockG,天秀路TIN FU COURT|Phase1|BlockG|33|3,天水圍,2001,19,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑G座,天秀路","TIN FU COURT(BLOCK G),TIN SAU RD","TIN FU COURT(Block G),TIN SAU RD|天富苑G座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase1|BlockG|33|3consid4.33,33
42296,19012801490120,ASP,2019-01-22,RES,blank,1999/12,4.45,802,597,5549,7454,blank,BW:3 SF (GE/NE) / ,5490871,19012801490120,10,18.0,A,3,SHING CHOI HSE,盛彩閣,TIN SHING COURT,天盛苑,TIN CHING ST,天靖街,3,blank,NTSW,TSWTL17RP,TIN SHING COURT|SHING CHOI HSE盛彩閣|Phase 3|Block A,天靖街TIN SHING COURTSHING CHOI HSE盛彩閣|Phase3|BlockA,天靖街TIN SHING COURTSHING CHOI HSE盛彩閣|Phase3|BlockA|18|10,天水圍,1999,21,SHING CHOI HSE盛彩閣,3 TIN CHING ST|天靖街,3 TIN CHING ST,3 天靖街,"盛彩閣,天盛苑,天靖街","SHING CHOI HSE,TIN SHING COURT,TIN CHING ST","SHING CHOI HSE,TIN SHING COURT,TIN CHING ST|盛彩閣,天盛苑,天靖街",TIN CHING STTIN SHING COURTSHING CHOI HSE盛彩閣|Phase3|BlockA|18|10consid4.45,18
42297,19012801490557,ASP,2019-01-15,RES,blank,1994/12,4.958,704,559,7043,8869,blank,BW:31 SF (GI/NE) / ,5490891,19012801490557,H,2.0,7,blank,KENSWOOD COURT,景湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN LUNG RD,天龍路,2,blank,NTSW,TSWTL7RP,KINGSWOOD VILLAS|KENSWOOD COURT景湖居|Phase |Block 7,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block7,天龍路KINGSWOOD VILLASKENSWOOD COURT景湖居|Phase|Block7|2|H,天水圍,1994,26,KENSWOOD COURT景湖居,2 TIN LUNG RD|天龍路,2 TIN LUNG RD,2 天龍路,"景湖居,嘉湖山莊,天龍路","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD","KENSWOOD COURT,KINGSWOOD VILLAS,TIN LUNG RD|景湖居,嘉湖山莊,天龍路",TIN LUNG RDKINGSWOOD VILLASKENSWOOD COURT景湖居|Phaseblank|Block7|2|Hconsid4.958,2
42298,19012802030012,ASP,2019-01-17,RES,blank,2004/03,7.9,1151,888,6864,8896,blank,BW:27 SF (GI/NE) / BAL:26 SF (GI/NI) / UP:10 SF (GI/NI) / ,5490998,19012802030012,D,36.0,3,blank,blank,blank,VIANNI COVE,慧景軒,TIN KWAI RD,天葵路,33,blank,NTSW,TSWTL27,VIANNI COVE||Phase |Block 3,天葵路VIANNI COVE|Phase|Block3,天葵路VIANNI COVE|Phase|Block3|36|D,天水圍,2004,16,blankblank,33 TIN KWAI RD|天葵路,33 TIN KWAI RD,33 天葵路,"慧景軒3座,天葵路","VIANNI COVE(BLOCK 3),TIN KWAI RD","VIANNI COVE(Block 3),TIN KWAI RD|慧景軒3座,天葵路",TIN KWAI RDVIANNI COVEblankblank|Phaseblank|Block3|36|Dconsid7.9,36
42299,19012900440071,ASP,2019-01-07,RES,blank,1993/03,5.48,708,557,7740,9838,blank,BW:43 SF (GI/NE) / ,5491206,19012900440071,G,33.0,4,blank,SHERWOOD COURT,賞湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,3,blank,NTSW,TSWTL2RP,KINGSWOOD VILLAS|SHERWOOD COURT賞湖居|Phase |Block 4,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block4,天湖路KINGSWOOD VILLASSHERWOOD COURT賞湖居|Phase|Block4|33|G,天水圍,1993,27,SHERWOOD COURT賞湖居,3 TIN WU RD|天湖路,3 TIN WU RD,3 天湖路,"賞湖居,嘉湖山莊,天湖路","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","SHERWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|賞湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASSHERWOOD COURT賞湖居|Phaseblank|Block4|33|Gconsid5.48,33
42300,19012901580153,ASP,2019-01-16,RES,blank,1991/12,5.346,708,557,7551,9598,blank,BW:43 SF (GI/NE) / ,5491466,19012901580153,G,25.0,7,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 7,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block7,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block7|25|G,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block7|25|Gconsid5.346,25
42302,19012902270012,ASP,2019-01-11,RES,blank,1997/09,2.73,286,213,9545,12817,blank,blank,5491733,19012902270012,20,7.0,blank,blank,TIN LAI COURT,天麗苑,blank,blank,TIN HEI ST,天喜街,11,blank,NTSW,TSWTL21,|TIN LAI COURT天麗苑|Phase |Block ,天喜街TIN LAI COURT天麗苑|Phase|Block,天喜街TIN LAI COURT天麗苑|Phase|Block|7|20,天水圍,1997,23,TIN LAI COURT天麗苑,11 TIN HEI ST|天喜街,11 TIN HEI ST,11 天喜街,"天麗苑,天喜街","TIN LAI COURT,TIN HEI ST","TIN LAI COURT,TIN HEI ST|天麗苑,天喜街",TIN HEI STblankTIN LAI COURT天麗苑|Phaseblank|Blockblank|7|20consid2.73,7
42303,19013000420010,ASP,2019-01-21,RES,blank,2007/11,5.4,659,505,8194,10693,blank,BW:19 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5491925,19013000420010,B,7.0,1,1,blank,blank,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS||Phase 1|Block 1,天恩路CENTRAL PARK TOWERS|Phase1|Block1,天恩路CENTRAL PARK TOWERS|Phase1|Block1|7|B,天水圍,2007,13,blankblank,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪園1座,天恩路","CENTRAL PARK TOWERS(BLOCK 1),TIN YAN RD","CENTRAL PARK TOWERS(Block 1),TIN YAN RD|柏慧豪園1座,天恩路",TIN YAN RDCENTRAL PARK TOWERSblankblank|Phase1|Block1|7|Bconsid5.4,7
