,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
94794,19010800220010,ASP,2019-01-02,RES,blank,2002/04,6.2,673,509,9212,12181,blank,BW:33 SF (GI/NE) / ,5481144,19010800220010,F,6.0,10,blank,blank,blank,THE PARCVILLE,采葉庭,YUEN LONG KAU HUI RD,元朗舊墟路,33,blank,NYL,YLTL506,THE PARCVILLE||Phase |Block 10,元朗舊墟路THE PARCVILLE|Phase|Block10,元朗舊墟路THE PARCVILLE|Phase|Block10|6|F,元朗,2002,18,blankblank,33 YUEN LONG KAU HUI RD|元朗舊墟路,33 YUEN LONG KAU HUI RD,33 元朗舊墟路,"采葉庭10座,元朗舊墟路","THE PARCVILLE(BLOCK 10),YUEN LONG KAU HUI RD","THE PARCVILLE(Block 10),YUEN LONG KAU HUI RD|采葉庭10座,元朗舊墟路",YUEN LONG KAU HUI RDTHE PARCVILLEblankblank|Phaseblank|Block10|6|Fconsid6.2,6,中層,南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94839,19011601810020,ASP,2019-01-04,RES,blank,2016/12,6.28,0,431,0,14571,blank,BW:39 SF (NE) / ,5485672,19011601810020,E,28.0,2,blank,blank,blank,YUCCIE SQUARE,世宙,YUEN LONG ON NING RD,元朗安寧路,38,blank,NYL,YLTL518,YUCCIE SQUARE||Phase |Block 2,元朗安寧路YUCCIE SQUARE|Phase|Block2,元朗安寧路YUCCIE SQUARE|Phase|Block2|28|E,元朗,2016,4,blankblank,38 YUEN LONG ON NING RD|元朗安寧路,38 YUEN LONG ON NING RD,38 元朗安寧路,"世宙2座,元朗安寧路","YUCCIE SQUARE(BLOCK 2),YUEN LONG ON NING RD","YUCCIE SQUARE(Block 2),YUEN LONG ON NING RD|世宙2座,元朗安寧路",YUEN LONG ON NING RDYUCCIE SQUAREblankblank|Phaseblank|Block2|28|Econsid6.28,28,高層,南,四正,良好,單位實用四正 交通方便 配套完善
94840,19011602260050,ASP,2019-01-07,RES,blank,1991/10,5.65,580,462,9741,12229,blank,BW:20 SF (GI/NE) / ,5485787,19011602260050,6,26.0,A,2,blank,blank,MANHATTAN PLAZA,富達廣場,SAI CHING ST,西菁街,23,blank,NYL,YLTL389,MANHATTAN PLAZA||Phase 2|Block A,西菁街MANHATTAN PLAZA|Phase2|BlockA,西菁街MANHATTAN PLAZA|Phase2|BlockA|26|6,元朗,1991,29,blankblank,23 SAI CHING ST|西菁街,23 SAI CHING ST,23 西菁街,"富達廣場A座,西菁街","MANHATTAN PLAZA(BLOCK A),SAI CHING ST","MANHATTAN PLAZA(Block A),SAI CHING ST|富達廣場A座,西菁街",SAI CHING STMANHATTAN PLAZAblankblank|Phase2|BlockA|26|6consid5.65,26,高層,東南,四正,有,業主減價 上車筍盤 歡迎約睇
94843,19011700300033,ASP,2019-01-04,RES,blank,2004/09,5.93,527,395,11252,15013,blank,BW:29 SF (GI/NE) / ,5486045,19011700300033,G,6.0,3,blank,blank,blank,YOHO TOWN,新時代廣場,YUEN LUNG ST,元龍街,8,blank,NYL,YLTL503RP&EXT,YOHO TOWN||Phase |Block 3,元龍街YOHO TOWN|Phase|Block3,元龍街YOHO TOWN|Phase|Block3|6|G,元朗,2004,16,blankblank,8 YUEN LUNG ST|元龍街,8 YUEN LUNG ST,8 元龍街,"新時代廣場3座,元龍街","YOHO TOWN(BLOCK 3),YUEN LUNG ST","YOHO TOWN(Block 3),YUEN LUNG ST|新時代廣場3座,元龍街",YUEN LUNG STYOHO TOWNblankblank|Phaseblank|Block3|6|Gconsid5.93,6,高層,西,四正,基本,單位實用四正 交通方便 配套完善
94844,19011702370544,ASP,2019-01-03,RES,blank,2020/09,4.398,0,282,0,15596,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5486655,19011702370544,M,15.0,1,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 1,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1|15|M,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1|15|Mconsid4.398,15,中層,西南,沒資料,基本,單位實用四正 交通方便 配套完善
94847,19011801900125,ASP,2019-01-10,RES,blank,2019/09,5.5896,0,323,0,17305,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5487243,19011801900125,G,28.0,2,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 2,媽橫路SOL CITY|Phase|Block2,媽橫路SOL CITY|Phase|Block2|28|G,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙2座,媽橫路","SOL CITY(BLOCK 2),MA WANG RD","SOL CITY(Block 2),MA WANG RD|朗城滙2座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block2|28|Gconsid5.5896,28,高層,東南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94849,19011802450028,ASP,2019-01-04,RES,blank,2011/05,5.968,692,527,8624,11324,blank,BW:24 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / RF:403 SF / ,5487426,19011802450028,D,26.0,5,blank,blank,blank,UPTOWN,尚城,CASTLE PEAK RD HUNG SHUI KIU,青山公路洪水橋段,600,blank,NYL,DD121LOT2064RP,UPTOWN||Phase |Block 5,青山公路洪水橋段UPTOWN|Phase|Block5,青山公路洪水橋段UPTOWN|Phase|Block5|26|D,元朗,2011,9,blankblank,600 CASTLE PEAK RD HUNG SHUI KIU|青山公路洪水橋段,600 CASTLE PEAK RD HUNG SHUI KIU,600 青山公路洪水橋段,"尚城5座,青山公路洪水橋段","UPTOWN(BLOCK 5),CASTLE PEAK RD HUNG SHUI KIU","UPTOWN(Block 5),CASTLE PEAK RD HUNG SHUI KIU|尚城5座,青山公路洪水橋段",CASTLE PEAK RD HUNG SHUI KIUUPTOWNblankblank|Phaseblank|Block5|26|Dconsid5.968,26,高層,西,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94851,19012100990017,ASP,2019-01-11,RES,blank,2010/02,8.58,1074,822,7989,10438,blank,BW:35 SF (GI/NE) / BAL:23 SF (GI/NI) / UP:16 SF (GI/NI) / PF:18 SF (GE/NE) / ,5487721,19012100990017,E,8.0,5,blank,blank,blank,EMERALD GREEN,翹翠峰,SHAP PAT HEUNG RD,十八鄉路,138,blank,NYL,YLTL515RP,EMERALD GREEN||Phase |Block 5,十八鄉路EMERALD GREEN|Phase|Block5,十八鄉路EMERALD GREEN|Phase|Block5|8|E,元朗,2010,10,blankblank,138 SHAP PAT HEUNG RD|十八鄉路,138 SHAP PAT HEUNG RD,138 十八鄉路,"翹翠峰5座,十八鄉路","EMERALD GREEN(BLOCK 5),SHAP PAT HEUNG RD","EMERALD GREEN(Block 5),SHAP PAT HEUNG RD|翹翠峰5座,十八鄉路",SHAP PAT HEUNG RDEMERALD GREENblankblank|Phaseblank|Block5|8|Econsid8.58,8,低層,西南,四正,有,單位實用四正 交通方便 配套完善
94852,19012101550049,ASP,2019-01-04,RES,blank,2020/09,4.3123,0,266,0,16212,blank,BAL:22 SF (NI) / ,5487851,19012101550049,E,19.0,2,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|19|E,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|19|Econsid4.3123,19,低層,西南,四正,有,業主減價 上車筍盤 歡迎約睇
94854,19012200670432,ASP,2019-01-14,RES,blank,2004/09,5.8,527,395,11006,14684,blank,BW:29 SF (GI/NE) / ,5488204,19012200670432,C,8.0,2,blank,blank,blank,YOHO TOWN,新時代廣場,YUEN LUNG ST,元龍街,8,blank,NYL,YLTL503RP&EXT,YOHO TOWN||Phase |Block 2,元龍街YOHO TOWN|Phase|Block2,元龍街YOHO TOWN|Phase|Block2|8|C,元朗,2004,16,blankblank,8 YUEN LUNG ST|元龍街,8 YUEN LUNG ST,8 元龍街,"新時代廣場2座,元龍街","YOHO TOWN(BLOCK 2),YUEN LUNG ST","YOHO TOWN(Block 2),YUEN LUNG ST|新時代廣場2座,元龍街",YUEN LUNG STYOHO TOWNblankblank|Phaseblank|Block2|8|Cconsid5.8,8,低層,東,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94855,19012201040040,ASP,2019-01-10,RES,blank,2016/12,6.0,0,429,0,13986,blank,BW:36 SF (NE) / ,5488283,19012201040040,H,7.0,1,blank,blank,blank,YUCCIE SQUARE,世宙,YUEN LONG ON NING RD,元朗安寧路,38,blank,NYL,YLTL518,YUCCIE SQUARE||Phase |Block 1,元朗安寧路YUCCIE SQUARE|Phase|Block1,元朗安寧路YUCCIE SQUARE|Phase|Block1|7|H,元朗,2016,4,blankblank,38 YUEN LONG ON NING RD|元朗安寧路,38 YUEN LONG ON NING RD,38 元朗安寧路,"世宙1座,元朗安寧路","YUCCIE SQUARE(BLOCK 1),YUEN LONG ON NING RD","YUCCIE SQUARE(Block 1),YUEN LONG ON NING RD|世宙1座,元朗安寧路",YUEN LONG ON NING RDYUCCIE SQUAREblankblank|Phaseblank|Block1|7|Hconsid6.0,7,高層,西南,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94856,19012201530078,ASP,2019-01-15,RES,blank,2019/09,4.9988,0,323,0,15476,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5488381,19012201530078,G,7.0,2,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 2,媽橫路SOL CITY|Phase|Block2,媽橫路SOL CITY|Phase|Block2|7|G,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙2座,媽橫路","SOL CITY(BLOCK 2),MA WANG RD","SOL CITY(Block 2),MA WANG RD|朗城滙2座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block2|7|Gconsid4.9988,7,低層,東,呂字型,基本,單位實用四正 交通方便 配套完善
94857,19012201530085,ASP,2019-01-15,RES,blank,2019/09,5.3915,0,323,0,16692,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5488382,19012201530085,G,21.0,2,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 2,媽橫路SOL CITY|Phase|Block2,媽橫路SOL CITY|Phase|Block2|21|G,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙2座,媽橫路","SOL CITY(BLOCK 2),MA WANG RD","SOL CITY(Block 2),MA WANG RD|朗城滙2座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block2|21|Gconsid5.3915,21,中層,東北,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94858,19012201530093,ASP,2019-01-15,RES,blank,2019/09,5.4247,0,323,0,16795,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5488383,19012201530093,G,22.0,2,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 2,媽橫路SOL CITY|Phase|Block2,媽橫路SOL CITY|Phase|Block2|22|G,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙2座,媽橫路","SOL CITY(BLOCK 2),MA WANG RD","SOL CITY(Block 2),MA WANG RD|朗城滙2座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block2|22|Gconsid5.4247,22,高層,西,四正,基本,單位實用四正 交通方便 配套完善
94859,19012201980027,ASP,2019-01-08,RES,blank,2019/09,8.5279,0,496,0,17193,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5488478,19012201980027,B,30.0,1,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 1,媽橫路SOL CITY|Phase|Block1,媽橫路SOL CITY|Phase|Block1|30|B,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙1座,媽橫路","SOL CITY(BLOCK 1),MA WANG RD","SOL CITY(Block 1),MA WANG RD|朗城滙1座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block1|30|Bconsid8.5279,30,中層,西北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94860,19012201980034,ASP,2019-01-02,RES,blank,2019/09,8.1301,0,490,0,16592,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5488479,19012201980034,F,12.0,3,blank,blank,blank,SOL CITY,朗城滙,MA WANG RD,媽橫路,1,blank,NYL,YLTL512,SOL CITY||Phase |Block 3,媽橫路SOL CITY|Phase|Block3,媽橫路SOL CITY|Phase|Block3|12|F,元朗,2019,1,blankblank,1 MA WANG RD|媽橫路,1 MA WANG RD,1 媽橫路,"朗城滙3座,媽橫路","SOL CITY(BLOCK 3),MA WANG RD","SOL CITY(Block 3),MA WANG RD|朗城滙3座,媽橫路",MA WANG RDSOL CITYblankblank|Phaseblank|Block3|12|Fconsid8.1301,12,中層,東南,四正,有,業主減價 上車筍盤 歡迎約睇
94861,19012300150011,ASP,2019-01-09,RES,blank,2020/09,4.2522,0,255,0,16675,blank,BAL:22 SF (NI) / ,5488600,19012300150011,D,19.0,2,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|19|D,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block2|19|Dconsid4.2522,19,中層,東北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
94863,19012301710113,ASP,2019-01-10,RES,blank,2020/09,4.172,0,270,0,15452,blank,BAL:22 SF (NI) / ,5488894,19012301710113,F,16.0,1,5,REACH SUMMIT,尚悅．嶺,SERENO VERDE,蝶翠峰,TAI TONG RD,大棠路,99A,blank,NYL,YLTL524,SERENO VERDE|REACH SUMMIT尚悅．嶺|Phase 5|Block 1,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1,大棠路SERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1|16|F,元朗,2020,0,REACH SUMMIT尚悅．嶺,99A TAI TONG RD|大棠路,99A TAI TONG RD,99A 大棠路,"尚悅．嶺,蝶翠峰,大棠路","REACH SUMMIT,SERENO VERDE,TAI TONG RD","REACH SUMMIT,SERENO VERDE,TAI TONG RD|尚悅．嶺,蝶翠峰,大棠路",TAI TONG RDSERENO VERDEREACH SUMMIT尚悅．嶺|Phase5|Block1|16|Fconsid4.172,16,低層,西,沒資料,有,單位實用四正 交通方便 配套完善
