,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
49306,19011101170103,ASP,2019-01-07,RES,blank,2011/12,21.08,1272,995,16572,21186,blank,BW:23 SF (GI/NE) / BAL:24 SF (GI/NI) / UP:16 SF (GI/NI) / ,5483492,19011101170103,D,35.0,8,blank,blank,blank,IMPERIAL CULLINAN,瓏璽,HOI FAI RD,海輝道,10,blank,KSWK,KIL11146,IMPERIAL CULLINAN||Phase |Block 8,海輝道IMPERIAL CULLINAN|Phase|Block8,海輝道IMPERIAL CULLINAN|Phase|Block8|35|D,荔枝角南/南昌/奧運,2011,9,blankblank,10 HOI FAI RD|海輝道,10 HOI FAI RD,10 海輝道,"瓏璽8座,海輝道","IMPERIAL CULLINAN(BLOCK 8),HOI FAI RD","IMPERIAL CULLINAN(Block 8),HOI FAI RD|瓏璽8座,海輝道",HOI FAI RDIMPERIAL CULLINANblankblank|Phaseblank|Block8|35|Dconsid21.08,35
49336,19012501950137,ASP,2019-01-07,RES,blank,2010/09,8.0,415,332,19277,24096,blank,BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5490230,19012501950137,D,17.0,7,blank,blank,blank,THE HERMITAGE,帝峰皇殿,HOI WANG RD,海泓道,1,blank,KSWK,KIL11167 / KIL11168,THE HERMITAGE||Phase |Block 7,海泓道THE HERMITAGE|Phase|Block7,海泓道THE HERMITAGE|Phase|Block7|17|D,荔枝角南/南昌/奧運,2010,10,blankblank,1 HOI WANG RD|海泓道,1 HOI WANG RD,1 海泓道,"帝峰皇殿7座,海泓道","THE HERMITAGE(BLOCK 7),HOI WANG RD","THE HERMITAGE(Block 7),HOI WANG RD|帝峰皇殿7座,海泓道",HOI WANG RDTHE HERMITAGEblankblank|Phaseblank|Block7|17|Dconsid8.0,17
49337,19012502080058,ASP,2019-01-21,RES,blank,2001/02,9.12,645,483,14140,18882,blank,BW:33 SF (GI/NE) / ,5490275,19012502080058,G,16.0,6,blank,blank,blank,PARK AVENUE,柏景灣,HOI TING RD,海庭道,18,blank,KSWK,KIL11090,PARK AVENUE||Phase |Block 6,海庭道PARK AVENUE|Phase|Block6,海庭道PARK AVENUE|Phase|Block6|16|G,荔枝角南/南昌/奧運,2001,19,blankblank,18 HOI TING RD|海庭道,18 HOI TING RD,18 海庭道,"柏景灣6座,海庭道","PARK AVENUE(BLOCK 6),HOI TING RD","PARK AVENUE(Block 6),HOI TING RD|柏景灣6座,海庭道",HOI TING RDPARK AVENUEblankblank|Phaseblank|Block6|16|Gconsid9.12,16
49340,19012801110344,ASP,2019-01-04,RES,blank,2017/12,8.33,0,350,0,23800,blank,BAL:26 SF (NI) / ,5490767,19012801110344,E,40.0,2B,blank,blank,blank,CULLINAN WEST,匯璽,SHAM MONG RD,深旺道,28,blank,KSWK,NKIL6333,CULLINAN WEST||Phase |Block 2B,深旺道CULLINAN WEST|Phase|Block2B,深旺道CULLINAN WEST|Phase|Block2B|40|E,荔枝角南/南昌/奧運,2017,3,blankblank,28 SHAM MONG RD|深旺道,28 SHAM MONG RD,28 深旺道,"匯璽2B座,深旺道","CULLINAN WEST(BLOCK 2B),SHAM MONG RD","CULLINAN WEST(Block 2B),SHAM MONG RD|匯璽2B座,深旺道",SHAM MONG RDCULLINAN WESTblankblank|Phaseblank|Block2B|40|Econsid8.33,40
49343,19012900490315,ASP,2019-01-11,RES,blank,2017/12,32.812,0,1254,0,26166,blank,BAL:42 SF (NI) / UP:16 SF (NI) / ,5491221,19012900490315,C,49.0,5A,blank,blank,blank,CULLINAN WEST II,匯璽II,SHAM MONG RD,深旺道,28,blank,KSWK,NKIL6333,CULLINAN WEST II||Phase |Block 5A,深旺道CULLINAN WEST II|Phase|Block5A,深旺道CULLINAN WEST II|Phase|Block5A|49|C,荔枝角南/南昌/奧運,2017,3,blankblank,28 SHAM MONG RD|深旺道,28 SHAM MONG RD,28 深旺道,"匯璽II5A座,深旺道","CULLINAN WEST II(BLOCK 5A),SHAM MONG RD","CULLINAN WEST II(Block 5A),SHAM MONG RD|匯璽II5A座,深旺道",SHAM MONG RDCULLINAN WEST IIblankblank|Phaseblank|Block5A|49|Cconsid32.812,49
49345,19012901880055,ASP,2019-01-11,RES,blank,2005/06,7.65,635,465,12047,16452,blank,BW:40 SF (GI/NE) / ,5491573,19012901880055,E,42.0,7,2,blank,blank,THE PACIFICA,宇晴軒,SHAM SHING RD,深盛路,9,blank,KSWK,NKIL6275,THE PACIFICA||Phase 2|Block 7,深盛路THE PACIFICA|Phase2|Block7,深盛路THE PACIFICA|Phase2|Block7|42|E,荔枝角南/南昌/奧運,2005,15,blankblank,9 SHAM SHING RD|深盛路,9 SHAM SHING RD,9 深盛路,"宇晴軒7座,深盛路","THE PACIFICA(BLOCK 7),SHAM SHING RD","THE PACIFICA(Block 7),SHAM SHING RD|宇晴軒7座,深盛路",SHAM SHING RDTHE PACIFICAblankblank|Phase2|Block7|42|Econsid7.65,42
49347,19013001720140,ASP,2019-01-25,RES,blank,2003/08,7.93,647,495,12257,16020,blank,BW:26 SF (GI/NE) / ,5492211,19013001720140,E,47.0,6,blank,blank,blank,LIBERTE,昇悅居,LAI CHI KOK RD,荔枝角道,833,blank,KSWK,NKIL6328,LIBERTE||Phase |Block 6,荔枝角道LIBERTE|Phase|Block6,荔枝角道LIBERTE|Phase|Block6|47|E,荔枝角南/南昌/奧運,2003,17,blankblank,833 LAI CHI KOK RD|荔枝角道,833 LAI CHI KOK RD,833 荔枝角道,"昇悅居6座,荔枝角道","LIBERTE(BLOCK 6),LAI CHI KOK RD","LIBERTE(Block 6),LAI CHI KOK RD|昇悅居6座,荔枝角道",LAI CHI KOK RDLIBERTEblankblank|Phaseblank|Block6|47|Econsid7.93,47
49348,19013001830385,ASP,2019-01-16,RES,blank,2017/12,8.252,0,270,0,30563,blank,BAL:22 SF (NI) / ,5492348,19013001830385,E,47.0,5B,blank,blank,blank,CULLINAN WEST II,匯璽II,SHAM MONG RD,深旺道,28,blank,KSWK,NKIL6333,CULLINAN WEST II||Phase |Block 5B,深旺道CULLINAN WEST II|Phase|Block5B,深旺道CULLINAN WEST II|Phase|Block5B|47|E,荔枝角南/南昌/奧運,2017,3,blankblank,28 SHAM MONG RD|深旺道,28 SHAM MONG RD,28 深旺道,"匯璽II5B座,深旺道","CULLINAN WEST II(BLOCK 5B),SHAM MONG RD","CULLINAN WEST II(Block 5B),SHAM MONG RD|匯璽II5B座,深旺道",SHAM MONG RDCULLINAN WEST IIblankblank|Phaseblank|Block5B|47|Econsid8.252,47
49349,19013001950035,ASP,2019-01-20,RES,blank,1998/05,4.99,505,431,9881,11578,blank,blank,5492374,19013001950035,K,13.0,10,1,blank,blank,CHARMING GDN,富榮花園,HOI TING RD,海庭道,8,blank,KSWK,KIL11082,CHARMING GDN||Phase 1|Block 10,海庭道CHARMING GDN|Phase1|Block10,海庭道CHARMING GDN|Phase1|Block10|13|K,荔枝角南/南昌/奧運,1998,22,blankblank,8 HOI TING RD|海庭道,8 HOI TING RD,8 海庭道,"富榮花園10座,海庭道","CHARMING GDN(BLOCK 10),HOI TING RD","CHARMING GDN(Block 10),HOI TING RD|富榮花園10座,海庭道",HOI TING RDCHARMING GDNblankblank|Phase1|Block10|13|Kconsid4.99,13
49351,19013100400015,ASP,2019-01-24,RES,blank,2003/08,8.3,643,492,12908,16870,blank,BW:26 SF (GI/NE) / ,5492675,19013100400015,H,29.0,8,blank,blank,blank,LIBERTE,昇悅居,LAI CHI KOK RD,荔枝角道,833,blank,KSWK,NKIL6328,LIBERTE||Phase |Block 8,荔枝角道LIBERTE|Phase|Block8,荔枝角道LIBERTE|Phase|Block8|29|H,荔枝角南/南昌/奧運,2003,17,blankblank,833 LAI CHI KOK RD|荔枝角道,833 LAI CHI KOK RD,833 荔枝角道,"昇悅居8座,荔枝角道","LIBERTE(BLOCK 8),LAI CHI KOK RD","LIBERTE(Block 8),LAI CHI KOK RD|昇悅居8座,荔枝角道",LAI CHI KOK RDLIBERTEblankblank|Phaseblank|Block8|29|Hconsid8.3,29
49352,19013101740054,ASP,2019-01-23,RES,blank,2011/12,31.5,1353,1069,23282,29467,blank,BW:14 SF (GI/NE) / BAL:26 SF (GI/NI) / UP:16 SF (GI/NI) / ,5492908,19013101740054,A,21.0,3,blank,blank,blank,IMPERIAL CULLINAN,瓏璽,HOI FAI RD,海輝道,10,blank,KSWK,KIL11146,IMPERIAL CULLINAN||Phase |Block 3,海輝道IMPERIAL CULLINAN|Phase|Block3,海輝道IMPERIAL CULLINAN|Phase|Block3|21|A,荔枝角南/南昌/奧運,2011,9,blankblank,10 HOI FAI RD|海輝道,10 HOI FAI RD,10 海輝道,"瓏璽3座,海輝道","IMPERIAL CULLINAN(BLOCK 3),HOI FAI RD","IMPERIAL CULLINAN(Block 3),HOI FAI RD|瓏璽3座,海輝道",HOI FAI RDIMPERIAL CULLINANblankblank|Phaseblank|Block3|21|Aconsid31.5,21
49353,19013102260128,ASP,2019-01-11,RES,blank,2003/08,7.5,646,494,11610,15182,blank,BW:26 SF (GI/NE) / ,5493110,19013102260128,H,5.0,2,blank,blank,blank,LIBERTE,昇悅居,LAI CHI KOK RD,荔枝角道,833,blank,KSWK,NKIL6328,LIBERTE||Phase |Block 2,荔枝角道LIBERTE|Phase|Block2,荔枝角道LIBERTE|Phase|Block2|5|H,荔枝角南/南昌/奧運,2003,17,blankblank,833 LAI CHI KOK RD|荔枝角道,833 LAI CHI KOK RD,833 荔枝角道,"昇悅居2座,荔枝角道","LIBERTE(BLOCK 2),LAI CHI KOK RD","LIBERTE(Block 2),LAI CHI KOK RD|昇悅居2座,荔枝角道",LAI CHI KOK RDLIBERTEblankblank|Phaseblank|Block2|5|Hconsid7.5,5
49354,19013102280017,ASP,2019-01-10,RES,blank,2003/12,7.75,664,503,11672,15408,blank,BW:31 SF (GI/NE) / ,5493120,19013102280017,C,12.0,2,blank,blank,blank,AQUAMARINE,碧海藍天,SHAM SHING RD,深盛路,8,blank,KSWK,NKIL6338,AQUAMARINE||Phase |Block 2,深盛路AQUAMARINE|Phase|Block2,深盛路AQUAMARINE|Phase|Block2|12|C,荔枝角南/南昌/奧運,2003,17,blankblank,8 SHAM SHING RD|深盛路,8 SHAM SHING RD,8 深盛路,"碧海藍天2座,深盛路","AQUAMARINE(BLOCK 2),SHAM SHING RD","AQUAMARINE(Block 2),SHAM SHING RD|碧海藍天2座,深盛路",SHAM SHING RDAQUAMARINEblankblank|Phaseblank|Block2|12|Cconsid7.75,12
49355,19013102280182,ASP,2019-01-18,RES,blank,2005/02,7.68,624,459,12308,16732,blank,BW:37 SF (GI/NE) / ,5493127,19013102280182,A,47.0,3,1,blank,blank,THE PACIFICA,宇晴軒,SHAM SHING RD,深盛路,9,blank,KSWK,NKIL6275,THE PACIFICA||Phase 1|Block 3,深盛路THE PACIFICA|Phase1|Block3,深盛路THE PACIFICA|Phase1|Block3|47|A,荔枝角南/南昌/奧運,2005,15,blankblank,9 SHAM SHING RD|深盛路,9 SHAM SHING RD,9 深盛路,"宇晴軒3座,深盛路","THE PACIFICA(BLOCK 3),SHAM SHING RD","THE PACIFICA(Block 3),SHAM SHING RD|宇晴軒3座,深盛路",SHAM SHING RDTHE PACIFICAblankblank|Phase1|Block3|47|Aconsid7.68,47
49356,19013102290133,ASP,2019-01-11,RES,blank,1998/05,5.25,505,431,10396,12181,blank,blank,5493135,19013102290133,E,15.0,10,1,blank,blank,CHARMING GDN,富榮花園,HOI TING RD,海庭道,8,blank,KSWK,KIL11082,CHARMING GDN||Phase 1|Block 10,海庭道CHARMING GDN|Phase1|Block10,海庭道CHARMING GDN|Phase1|Block10|15|E,荔枝角南/南昌/奧運,1998,22,blankblank,8 HOI TING RD|海庭道,8 HOI TING RD,8 海庭道,"富榮花園10座,海庭道","CHARMING GDN(BLOCK 10),HOI TING RD","CHARMING GDN(Block 10),HOI TING RD|富榮花園10座,海庭道",HOI TING RDCHARMING GDNblankblank|Phase1|Block10|15|Econsid5.25,15
49357,19020100110450,ASP,2019-01-18,RES,blank,2003/10,26.0,1156,886,22491,29345,blank,BW:51 SF (GI/NE) / ,5493249,19020100110450,A,19.0,2,2,blank,blank,SORRENTO,擎天半島,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE B,SORRENTO||Phase 2|Block 2,柯士甸道西SORRENTO|Phase2|Block2,柯士甸道西SORRENTO|Phase2|Block2|19|A,荔枝角南/南昌/奧運,2003,17,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"擎天半島2座,柯士甸道西","SORRENTO(BLOCK 2),AUSTIN RD W","SORRENTO(Block 2),AUSTIN RD W|擎天半島2座,柯士甸道西",AUSTIN RD WSORRENTOblankblank|Phase2|Block2|19|Aconsid26.0,19
49358,19020100640070,ASP,2019-01-21,RES,blank,2003/08,7.89,689,523,11451,15086,blank,BW:32 SF (GI/NE) / ,5493506,19020100640070,C,6.0,5,blank,blank,blank,LIBERTE,昇悅居,LAI CHI KOK RD,荔枝角道,833,blank,KSWK,NKIL6328,LIBERTE||Phase |Block 5,荔枝角道LIBERTE|Phase|Block5,荔枝角道LIBERTE|Phase|Block5|6|C,荔枝角南/南昌/奧運,2003,17,blankblank,833 LAI CHI KOK RD|荔枝角道,833 LAI CHI KOK RD,833 荔枝角道,"昇悅居5座,荔枝角道","LIBERTE(BLOCK 5),LAI CHI KOK RD","LIBERTE(Block 5),LAI CHI KOK RD|昇悅居5座,荔枝角道",LAI CHI KOK RDLIBERTEblankblank|Phaseblank|Block5|6|Cconsid7.89,6
49360,19020101920037,ASP,2019-01-16,RES,blank,2005/07,9.25,759,567,12187,16314,blank,BW:36 SF (GI/NE) / BAL:22 SF (GI/NI) / ,5493855,19020101920037,A,20.0,1,2,blank,blank,THE PACIFICA,宇晴軒,SHAM SHING RD,深盛路,9,blank,KSWK,NKIL6275,THE PACIFICA||Phase 2|Block 1,深盛路THE PACIFICA|Phase2|Block1,深盛路THE PACIFICA|Phase2|Block1|20|A,荔枝角南/南昌/奧運,2005,15,blankblank,9 SHAM SHING RD|深盛路,9 SHAM SHING RD,9 深盛路,"宇晴軒1座,深盛路","THE PACIFICA(BLOCK 1),SHAM SHING RD","THE PACIFICA(Block 1),SHAM SHING RD|宇晴軒1座,深盛路",SHAM SHING RDTHE PACIFICAblankblank|Phase2|Block1|20|Aconsid9.25,20
49361,19020102800161,ASP,2019-01-09,RES,blank,2014/12,14.1,0,632,0,22310,blank,BW:22 SF (NE) / BAL:22 SF (NI) / UP:16 SF (NI) / ,5494214,19020102800161,B,7.0,T2A,blank,blank,blank,GRAND AUSTIN,blank,AUSTIN RD W,柯士甸道西,9,blank,KSWK,KIL11129,GRAND AUSTIN||Phase |Block T2A,柯士甸道西GRAND AUSTIN|Phase|BlockT2A,柯士甸道西GRAND AUSTIN|Phase|BlockT2A|7|B,荔枝角南/南昌/奧運,2014,6,blankblank,9 AUSTIN RD W|柯士甸道西,9 AUSTIN RD W,9 柯士甸道西,"blankT2A座,柯士甸道西","GRAND AUSTIN(BLOCK T2A),AUSTIN RD W","GRAND AUSTIN(Block T2A),AUSTIN RD W|blankT2A座,柯士甸道西",AUSTIN RD WGRAND AUSTINblankblank|Phaseblank|BlockT2A|7|Bconsid14.1,7
49362,19020400320037,ASP,2019-01-22,RES,blank,2004/06,8.48,690,531,12290,15970,blank,BW:18 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / PF:10 SF (GE/NE) / ,5494402,19020400320037,D,56.0,6,3,blank,blank,BANYAN GDN,泓景臺,LAI CHI KOK RD,荔枝角道,863,blank,KSWK,NKIL6320,BANYAN GDN||Phase 3|Block 6,荔枝角道BANYAN GDN|Phase3|Block6,荔枝角道BANYAN GDN|Phase3|Block6|56|D,荔枝角南/南昌/奧運,2004,16,blankblank,863 LAI CHI KOK RD|荔枝角道,863 LAI CHI KOK RD,863 荔枝角道,"泓景臺6座,荔枝角道","BANYAN GDN(BLOCK 6),LAI CHI KOK RD","BANYAN GDN(Block 6),LAI CHI KOK RD|泓景臺6座,荔枝角道",LAI CHI KOK RDBANYAN GDNblankblank|Phase3|Block6|56|Dconsid8.48,56
49363,19020401430011,ASP,2019-01-30,RES,blank,2006/09,8.78,625,487,14048,18029,blank,BW:13 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5494661,19020401430011,A,29.0,5,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 5,深旺道HARBOUR GREEN|Phase|Block5,深旺道HARBOUR GREEN|Phase|Block5|29|A,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港5座,深旺道","HARBOUR GREEN(BLOCK 5),SHAM MONG RD","HARBOUR GREEN(Block 5),SHAM MONG RD|君匯港5座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block5|29|Aconsid8.78,29
