,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
105467,19011002080014,ASP,2019-01-03,RES,blank,1982/04,6.0,562,450,10676,13333,blank,BW:18 SF (GI/NE) / ,5483078,19011002080014,E,13.0,19,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,4,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 19,百得街CITY ONE SHATIN|Phase|Block19,百得街CITY ONE SHATIN|Phase|Block19|13|E,沙田,1982,38,blankblank,4 PAK TAK ST|百得街,4 PAK TAK ST,4 百得街,"沙田第一城19座,百得街","CITY ONE SHATIN(BLOCK 19),PAK TAK ST","CITY ONE SHATIN(Block 19),PAK TAK ST|沙田第一城19座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block19|13|Econsid6.0,13,中層,東南,呂字型,基本,單位實用四正 交通方便 配套完善
105506,19011701880144,ASP,2019-01-03,RES,blank,2008/12,16.18,0,902,0,17938,blank,BW:27 SF (NE) / BAL:25 SF (NI) / UP:16 SF (NI) / RM:33 SF (NE) / ,5486458,19011701880144,A,21.0,6,blank,blank,blank,THE PALAZZO,御龍山,LOK KING ST,樂景街,28,blank,NST,STTL470,THE PALAZZO||Phase |Block 6,樂景街THE PALAZZO|Phase|Block6,樂景街THE PALAZZO|Phase|Block6|21|A,沙田,2008,12,blankblank,28 LOK KING ST|樂景街,28 LOK KING ST,28 樂景街,"御龍山6座,樂景街","THE PALAZZO(BLOCK 6),LOK KING ST","THE PALAZZO(Block 6),LOK KING ST|御龍山6座,樂景街",LOK KING STTHE PALAZZOblankblank|Phaseblank|Block6|21|Aconsid16.18,21,低層,東北,沒資料,基本,單位實用四正 交通方便 配套完善
105510,19011702370492,ASP,2019-01-04,RES,blank,1986/05,6.23,644,509,9674,12240,blank,BW:7 SF (GI/NE) / ,5486650,19011702370492,D,11.0,2,blank,blank,blank,JUBILEE GDN,銀禧花園,LOK KING ST,樂景街,2,18,NST,STTL87,JUBILEE GDN||Phase |Block 2,樂景街JUBILEE GDN|Phase|Block2,樂景街JUBILEE GDN|Phase|Block2|11|D,沙田,1986,34,blankblank,2-18 LOK KING ST|樂景街,2-18 LOK KING ST,2-18 樂景街,"銀禧花園2座,樂景街","JUBILEE GDN(BLOCK 2),LOK KING ST","JUBILEE GDN(Block 2),LOK KING ST|銀禧花園2座,樂景街",LOK KING STJUBILEE GDNblankblank|Phaseblank|Block2|11|Dconsid6.23,11,低層,西北,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105511,19011800150686,ASP,2019-01-07,RES,blank,1986/06,5.9,417,307,14149,19218,blank,blank,5486809,19011800150686,C,8.0,4,blank,blank,blank,WAI WAH CTR,偉華中心,SHA TIN CTR ST,沙田正街,11,17,NST,STTL159,WAI WAH CTR||Phase |Block 4,沙田正街WAI WAH CTR|Phase|Block4,沙田正街WAI WAH CTR|Phase|Block4|8|C,沙田,1986,34,blankblank,11-17 SHA TIN CTR ST|沙田正街,11-17 SHA TIN CTR ST,11-17 沙田正街,"偉華中心4座,沙田正街","WAI WAH CTR(BLOCK 4),SHA TIN CTR ST","WAI WAH CTR(Block 4),SHA TIN CTR ST|偉華中心4座,沙田正街",SHA TIN CTR STWAI WAH CTRblankblank|Phaseblank|Block4|8|Cconsid5.9,8,中層,東,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105512,19011801490085,ASP,2019-01-04,RES,blank,1985/05,5.0,410,305,12195,16393,blank,BW:22 SF (GI/NE) / RF:248 SF / ,5487150,19011801490085,C,32.0,44,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK PO ST,得寶街,5,blank,NST,STTL1sF,CITY ONE SHATIN||Phase |Block 44,得寶街CITY ONE SHATIN|Phase|Block44,得寶街CITY ONE SHATIN|Phase|Block44|32|C,沙田,1985,35,blankblank,5 TAK PO ST|得寶街,5 TAK PO ST,5 得寶街,"沙田第一城44座,得寶街","CITY ONE SHATIN(BLOCK 44),TAK PO ST","CITY ONE SHATIN(Block 44),TAK PO ST|沙田第一城44座,得寶街",TAK PO STCITY ONE SHATINblankblank|Phaseblank|Block44|32|Cconsid5.0,32,低層,西北,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105514,19012100130150,ASP,2019-01-08,RES,blank,1981/05,5.2,395,327,13165,15902,blank,RF:237 SF / ,5487540,19012100130150,D,27.0,3,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK KEI ST,得基街,6,blank,NST,STTL1sARP,CITY ONE SHATIN||Phase |Block 3,得基街CITY ONE SHATIN|Phase|Block3,得基街CITY ONE SHATIN|Phase|Block3|27|D,沙田,1981,39,blankblank,6 TAK KEI ST|得基街,6 TAK KEI ST,6 得基街,"沙田第一城3座,得基街","CITY ONE SHATIN(BLOCK 3),TAK KEI ST","CITY ONE SHATIN(Block 3),TAK KEI ST|沙田第一城3座,得基街",TAK KEI STCITY ONE SHATINblankblank|Phaseblank|Block3|27|Dconsid5.2,27,低層,東南,沒資料,基本,單位實用四正 交通方便 配套完善
105516,19012100290230,ASP,2019-01-08,RES,blank,1982/07,5.1,395,327,12911,15596,blank,blank,5487602,19012100290230,H,8.0,20,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK WING ST,得榮街,1,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 20,得榮街CITY ONE SHATIN|Phase|Block20,得榮街CITY ONE SHATIN|Phase|Block20|8|H,沙田,1982,38,blankblank,1 TAK WING ST|得榮街,1 TAK WING ST,1 得榮街,"沙田第一城20座,得榮街","CITY ONE SHATIN(BLOCK 20),TAK WING ST","CITY ONE SHATIN(Block 20),TAK WING ST|沙田第一城20座,得榮街",TAK WING STCITY ONE SHATINblankblank|Phaseblank|Block20|8|Hconsid5.1,8,高層,西北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105518,19012200200026,ASP,2019-01-10,RES,blank,1986/12,4.3,480,322,8958,13354,blank,BW:46 SF (GI/NE) / ,5488069,19012200200026,2,1.0,C,1,GOLDEN HARMONY COURT,金祥閣,GOLDEN LION GDN,金獅花園,CHUI TIN ST,翠田街,5,7,NST,STTL287,GOLDEN LION GDN|GOLDEN HARMONY COURT金祥閣|Phase 1|Block C,翠田街GOLDEN LION GDNGOLDEN HARMONY COURT金祥閣|Phase1|BlockC,翠田街GOLDEN LION GDNGOLDEN HARMONY COURT金祥閣|Phase1|BlockC|1|2,沙田,1986,34,GOLDEN HARMONY COURT金祥閣,5-7 CHUI TIN ST|翠田街,5-7 CHUI TIN ST,5-7 翠田街,"金祥閣,金獅花園,翠田街","GOLDEN HARMONY COURT,GOLDEN LION GDN,CHUI TIN ST","GOLDEN HARMONY COURT,GOLDEN LION GDN,CHUI TIN ST|金祥閣,金獅花園,翠田街",CHUI TIN STGOLDEN LION GDNGOLDEN HARMONY COURT金祥閣|Phase1|BlockC|1|2consid4.3,1,高層,南,四正,良好,單位實用四正 交通方便 配套完善
105519,19012200330040,ASP,2019-01-18,RES,blank,1986/06,4.72,404,300,11683,15733,blank,blank,5488094,19012200330040,H,9.0,3,blank,blank,blank,WAI WAH CTR,偉華中心,SHA TIN CTR ST,沙田正街,11,17,NST,STTL159,WAI WAH CTR||Phase |Block 3,沙田正街WAI WAH CTR|Phase|Block3,沙田正街WAI WAH CTR|Phase|Block3|9|H,沙田,1986,34,blankblank,11-17 SHA TIN CTR ST|沙田正街,11-17 SHA TIN CTR ST,11-17 沙田正街,"偉華中心3座,沙田正街","WAI WAH CTR(BLOCK 3),SHA TIN CTR ST","WAI WAH CTR(Block 3),SHA TIN CTR ST|偉華中心3座,沙田正街",SHA TIN CTR STWAI WAH CTRblankblank|Phaseblank|Block3|9|Hconsid4.72,9,低層,西南,四正,良好,業主減價 上車筍盤 歡迎約睇
105522,19012200970138,ASP,2019-01-15,RES,blank,1984/10,4.08,421,265,9691,15396,blank,BW:28 SF (GI/NE) / ,5488268,19012200970138,C,8.0,2,2,ARCHIE GDN,雅翠苑,SHATINPARK,花園城,KONG PUI ST,崗背街,1,3,NST,STTL129,SHATINPARK|ARCHIE GDN雅翠苑|Phase 2|Block 2,崗背街SHATINPARKARCHIE GDN雅翠苑|Phase2|Block2,崗背街SHATINPARKARCHIE GDN雅翠苑|Phase2|Block2|8|C,沙田,1984,36,ARCHIE GDN雅翠苑,1-3 KONG PUI ST|崗背街,1-3 KONG PUI ST,1-3 崗背街,"雅翠苑,花園城,崗背街","ARCHIE GDN,SHATINPARK,KONG PUI ST","ARCHIE GDN,SHATINPARK,KONG PUI ST|雅翠苑,花園城,崗背街",KONG PUI STSHATINPARKARCHIE GDN雅翠苑|Phase2|Block2|8|Cconsid4.08,8,高層,北,呂字型,良好,單位實用四正 交通方便 配套完善
105523,19012201000122,ASP,2019-01-08,RES,blank,1980/09,5.0,703,617,7112,8104,blank,blank,5488279,19012201000122,11,30.0,F,1,HING ON HSE,慶安閣,SUI WO COURT,穗禾苑,SUI WO RD,穗禾路,19,blank,NST,STTL43RP,SUI WO COURT|HING ON HSE慶安閣|Phase 1|Block F,穗禾路SUI WO COURTHING ON HSE慶安閣|Phase1|BlockF,穗禾路SUI WO COURTHING ON HSE慶安閣|Phase1|BlockF|30|11,沙田,1980,40,HING ON HSE慶安閣,19 SUI WO RD|穗禾路,19 SUI WO RD,19 穗禾路,"慶安閣,穗禾苑,穗禾路","HING ON HSE,SUI WO COURT,SUI WO RD","HING ON HSE,SUI WO COURT,SUI WO RD|慶安閣,穗禾苑,穗禾路",SUI WO RDSUI WO COURTHING ON HSE慶安閣|Phase1|BlockF|30|11consid5.0,30,中層,東北,沒資料,有,業主減價 上車筍盤 歡迎約睇
105524,19012201700076,ASP,2019-01-09,RES,blank,1990/09,7.9,750,641,10533,12324,blank,blank,5488406,19012201700076,F,15.0,3,blank,blank,blank,MANLAI COURT,文禮閣,MAN LAI RD,文禮路,45,blank,NST,STTL320,MANLAI COURT||Phase |Block 3,文禮路MANLAI COURT|Phase|Block3,文禮路MANLAI COURT|Phase|Block3|15|F,沙田,1990,30,blankblank,45 MAN LAI RD|文禮路,45 MAN LAI RD,45 文禮路,"文禮閣3座,文禮路","MANLAI COURT(BLOCK 3),MAN LAI RD","MANLAI COURT(Block 3),MAN LAI RD|文禮閣3座,文禮路",MAN LAI RDMANLAI COURTblankblank|Phaseblank|Block3|15|Fconsid7.9,15,低層,東北,沒資料,有,業主減價 上車筍盤 歡迎約睇
105526,19012202050057,ASP,2019-01-08,RES,blank,1985/01,4.65,538,381,8643,12205,blank,blank,5488497,19012202050057,14,29.0,B,blank,YAT SHING HSE,逸城閣,MAY SHING COURT,美城苑,MEI TIN RD,美田路,34,blank,NST,STTL229RP,MAY SHING COURT|YAT SHING HSE逸城閣|Phase |Block B,美田路MAY SHING COURTYAT SHING HSE逸城閣|Phase|BlockB,美田路MAY SHING COURTYAT SHING HSE逸城閣|Phase|BlockB|29|14,沙田,1985,35,YAT SHING HSE逸城閣,34 MEI TIN RD|美田路,34 MEI TIN RD,34 美田路,"逸城閣,美城苑,美田路","YAT SHING HSE,MAY SHING COURT,MEI TIN RD","YAT SHING HSE,MAY SHING COURT,MEI TIN RD|逸城閣,美城苑,美田路",MEI TIN RDMAY SHING COURTYAT SHING HSE逸城閣|Phaseblank|BlockB|29|14consid4.65,29,低層,南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105527,19012300460097,ASP,2019-01-08,RES,blank,1988/02,7.38,659,543,11199,13591,blank,BW:26 SF (GI/NE) / ,5488669,19012300460097,C,27.0,1,blank,blank,blank,RAVANA GDN,濱景花園,ON KING ST,安景街,1,3,NST,STTL270,RAVANA GDN||Phase |Block 1,安景街RAVANA GDN|Phase|Block1,安景街RAVANA GDN|Phase|Block1|27|C,沙田,1988,32,blankblank,1-3 ON KING ST|安景街,1-3 ON KING ST,1-3 安景街,"濱景花園1座,安景街","RAVANA GDN(BLOCK 1),ON KING ST","RAVANA GDN(Block 1),ON KING ST|濱景花園1座,安景街",ON KING STRAVANA GDNblankblank|Phaseblank|Block1|27|Cconsid7.38,27,中層,北,四正,良好,業主減價 上車筍盤 歡迎約睇
105528,19012300590063,ASP,2019-01-10,RES,blank,1985/04,4.14,539,381,7681,10866,blank,blank,5488709,19012300590063,11,9.0,B,blank,WAH SHING HSE,華盛閣,FUNG SHING COURT,豐盛苑,FUNG SHEK ST,豐石街,4,blank,NST,STTL249,FUNG SHING COURT|WAH SHING HSE華盛閣|Phase |Block B,豐石街FUNG SHING COURTWAH SHING HSE華盛閣|Phase|BlockB,豐石街FUNG SHING COURTWAH SHING HSE華盛閣|Phase|BlockB|9|11,沙田,1985,35,WAH SHING HSE華盛閣,4 FUNG SHEK ST|豐石街,4 FUNG SHEK ST,4 豐石街,"華盛閣,豐盛苑,豐石街","WAH SHING HSE,FUNG SHING COURT,FUNG SHEK ST","WAH SHING HSE,FUNG SHING COURT,FUNG SHEK ST|華盛閣,豐盛苑,豐石街",FUNG SHEK STFUNG SHING COURTWAH SHING HSE華盛閣|Phaseblank|BlockB|9|11consid4.14,9,高層,北,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105530,19012301770020,ASP,2019-01-08,RES,blank,1982/06,7.0,980,745,7143,9396,blank,BW:36 SF (GE/NE) / ,5488935,19012301770020,B,16.0,D,blank,DOMINION HTS,明麗閣,BELAIR GDN,富豪花園,TAI CHUNG KIU RD,大涌橋路,52,blank,NST,STTL11,BELAIR GDN|DOMINION HTS明麗閣|Phase |Block D,大涌橋路BELAIR GDNDOMINION HTS明麗閣|Phase|BlockD,大涌橋路BELAIR GDNDOMINION HTS明麗閣|Phase|BlockD|16|B,沙田,1982,38,DOMINION HTS明麗閣,52 TAI CHUNG KIU RD|大涌橋路,52 TAI CHUNG KIU RD,52 大涌橋路,"明麗閣,富豪花園,大涌橋路","DOMINION HTS,BELAIR GDN,TAI CHUNG KIU RD","DOMINION HTS,BELAIR GDN,TAI CHUNG KIU RD|明麗閣,富豪花園,大涌橋路",TAI CHUNG KIU RDBELAIR GDNDOMINION HTS明麗閣|Phaseblank|BlockD|16|Bconsid7.0,16,中層,東,呂字型,良好,單位實用四正 交通方便 配套完善
105531,19012302290032,ASP,2019-01-02,RES,blank,2017/06,84.0,0,2676,0,31390,DUPLEX UNIT                                                                     ,FR:550 SF / RF:1111 SF / ,5489077,19012302290032,B,10.0,2,blank,blank,blank,LA CRESTA,尚珩,LAI PING RD,麗坪路,37,blank,NST,STTL563,LA CRESTA||Phase |Block 2,麗坪路LA CRESTA|Phase|Block2,麗坪路LA CRESTA|Phase|Block2|10|B,沙田,2017,3,blankblank,37 LAI PING RD|麗坪路,37 LAI PING RD,37 麗坪路,"尚珩2座,麗坪路","LA CRESTA(BLOCK 2),LAI PING RD","LA CRESTA(Block 2),LAI PING RD|尚珩2座,麗坪路",LAI PING RDLA CRESTAblankblank|Phaseblank|Block2|10|Bconsid84.0,10,高層,西,四正,基本,業主減價 上車筍盤 歡迎約睇
105532,19012302350118,ASP,2019-01-18,RES,blank,2015/06,6.638,0,466,0,14245,blank,BAL:25 SF (NI) / ,5489120,19012302350118,C,12.0,1,blank,COURT A,日瓏閣,DRAGONS RANGE,玖瓏山,LAI PING RD,麗坪路,33,blank,NST,STTL525,DRAGONS RANGE|COURT A日瓏閣|Phase |Block 1,麗坪路DRAGONS RANGECOURT A日瓏閣|Phase|Block1,麗坪路DRAGONS RANGECOURT A日瓏閣|Phase|Block1|12|C,沙田,2015,5,COURT A日瓏閣,33 LAI PING RD|麗坪路,33 LAI PING RD,33 麗坪路,"日瓏閣,玖瓏山,麗坪路","COURT A,DRAGONS RANGE,LAI PING RD","COURT A,DRAGONS RANGE,LAI PING RD|日瓏閣,玖瓏山,麗坪路",LAI PING RDDRAGONS RANGECOURT A日瓏閣|Phaseblank|Block1|12|Cconsid6.638,12,中層,東南,四正,基本,單位實用四正 交通方便 配套完善
105533,19012400620161,ASP,2019-01-15,RES,blank,1983/04,6.25,566,420,11042,14881,blank,BW:36 SF (GI/NE) / ,5489337,19012400620161,D,13.0,C2,blank,PAK LAM COURT,柏林閣,SHATIN NEW TOWN,好運中心,WANG POK ST,橫壆街,1,15,NST,STTL15,SHATIN NEW TOWN|PAK LAM COURT柏林閣|Phase |Block C2,橫壆街SHATIN NEW TOWNPAK LAM COURT柏林閣|Phase|BlockC2,橫壆街SHATIN NEW TOWNPAK LAM COURT柏林閣|Phase|BlockC2|13|D,沙田,1983,37,PAK LAM COURT柏林閣,1-15 WANG POK ST|橫壆街,1-15 WANG POK ST,1-15 橫壆街,"柏林閣,好運中心,橫壆街","PAK LAM COURT,SHATIN NEW TOWN,WANG POK ST","PAK LAM COURT,SHATIN NEW TOWN,WANG POK ST|柏林閣,好運中心,橫壆街",WANG POK STSHATIN NEW TOWNPAK LAM COURT柏林閣|Phaseblank|BlockC2|13|Dconsid6.25,13,高層,西,呂字型,有,單位實用四正 交通方便 配套完善
