,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
15422,19032101850186,ASP,2019-03-07,RES,blank,2017/10,11.1226,0,668,0,16651,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5513546,19032101850186,B,2.0,1,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 1,大網仔路THE MEDITERRANEAN|Phase|Block1,大網仔路THE MEDITERRANEAN|Phase|Block1|2|B,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園1座,大網仔路","THE MEDITERRANEAN(BLOCK 1),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 1),TAI MONG TSAI RD|逸瓏園1座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block1|2|Bconsid11.1226,2
15423,19032200930027,ASP,2019-03-12,RES,blank,1980/04,4.4,0,340,0,12941,blank,RF:350 SF / ,5514058,19032200930027,E,11.0,blank,blank,KAM PO COURT,金寶閣,blank,blank,SAI KUNG HOI PONG SQUARE,西貢海傍廣場,2,blank,NSK,DD215LOT939,|KAM PO COURT金寶閣|Phase |Block ,西貢海傍廣場KAM PO COURT金寶閣|Phase|Block,西貢海傍廣場KAM PO COURT金寶閣|Phase|Block|11|E,西貢,1980,40,KAM PO COURT金寶閣,2 SAI KUNG HOI PONG SQUARE|西貢海傍廣場,2 SAI KUNG HOI PONG SQUARE,2 西貢海傍廣場,"金寶閣,西貢海傍廣場","KAM PO COURT,SAI KUNG HOI PONG SQUARE","KAM PO COURT,SAI KUNG HOI PONG SQUARE|金寶閣,西貢海傍廣場",SAI KUNG HOI PONG SQUAREblankKAM PO COURT金寶閣|Phaseblank|Blockblank|11|Econsid4.4,11
15424,19032500570049,ASP,2019-03-01,RES,blank,2016/09,35.208,0,1907,0,18463,blank,BAL:74 SF (NI) / UP:17 SF (NI) / ,5514782,19032500570049,B,3.0,3,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 3,清水灣道MOUNT PAVILIA|Phase|Block3,清水灣道MOUNT PAVILIA|Phase|Block3|3|B,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧3座,清水灣道","MOUNT PAVILIA(BLOCK 3),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 3),CLEAR WATER BAY RD|傲瀧3座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block3|3|Bconsid35.208,3
15425,19032701940049,ASP,2019-03-21,RES,blank,1980/07,4.25,386,340,11010,12500,blank,RF:262 SF / ,5516565,19032701940049,D1,5.0,D,blank,blank,blank,KO FU HSE,高富樓,FUK MAN RD,福民路,58,72,NSK,DD215LOT952,KO FU HSE||Phase |Block D,福民路KO FU HSE|Phase|BlockD,福民路KO FU HSE|Phase|BlockD|5|D1,西貢,1980,40,blankblank,58-72 FUK MAN RD|福民路,58-72 FUK MAN RD,58-72 福民路,"高富樓D座,福民路","KO FU HSE(BLOCK D),FUK MAN RD","KO FU HSE(Block D),FUK MAN RD|高富樓D座,福民路",FUK MAN RDKO FU HSEblankblank|Phaseblank|BlockD|5|D1consid4.25,5
15427,19040402600043,ASP,2019-03-21,RES,blank,2016/09,36.936,0,1710,0,21600,blank,GDN:361 SF / ,5521418,19040402600043,D,,11,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 11,清水灣道MOUNT PAVILIA|Phase|Block11,清水灣道MOUNT PAVILIA|Phase|Block11|G|D,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧11座,清水灣道","MOUNT PAVILIA(BLOCK 11),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 11),CLEAR WATER BAY RD|傲瀧11座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block11|G|Dconsid36.936,G
15428,19040801280044,ASP,2019-03-12,RES,blank,2016/09,29.42,0,1296,0,22701,blank,GDN:570 SF / ,5522027,19040801280044,C,,3,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 3,清水灣道MOUNT PAVILIA|Phase|Block3,清水灣道MOUNT PAVILIA|Phase|Block3|G|C,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧3座,清水灣道","MOUNT PAVILIA(BLOCK 3),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 3),CLEAR WATER BAY RD|傲瀧3座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block3|G|Cconsid29.42,G
15429,19040900310027,ASP,2019-03-21,RES,blank,1984/11,6.37,642,537,9922,11862,blank,BW:14 SF (GU) / ,5522366,19040900310027,4,6.0,B,blank,blank,blank,SAI KUNG BLDG,西貢大廈,FUK MAN RD,福民路,42,56,NSK,DD215LOT985,SAI KUNG BLDG||Phase |Block B,福民路SAI KUNG BLDG|Phase|BlockB,福民路SAI KUNG BLDG|Phase|BlockB|6|4,西貢,1984,36,blankblank,42-56 FUK MAN RD|福民路,42-56 FUK MAN RD,42-56 福民路,"西貢大廈B座,福民路","SAI KUNG BLDG(BLOCK B),FUK MAN RD","SAI KUNG BLDG(Block B),FUK MAN RD|西貢大廈B座,福民路",FUK MAN RDSAI KUNG BLDGblankblank|Phaseblank|BlockB|6|4consid6.37,6
15430,19041000470398,ASP,2019-03-22,RES,blank,2017/10,12.3671,0,695,0,17794,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5523294,19041000470398,L,6.0,1,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 1,大網仔路THE MEDITERRANEAN|Phase|Block1,大網仔路THE MEDITERRANEAN|Phase|Block1|6|L,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園1座,大網仔路","THE MEDITERRANEAN(BLOCK 1),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 1),TAI MONG TSAI RD|逸瓏園1座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block1|6|Lconsid12.3671,6
15432,19041501720022,ASP,2019-03-29,RES,CP,1988/05,13.68,1371,1147,9978,11927,blank,BW:27 SF (GI) / RF:1169 SF / ,5526793,19041501720022,4A,2.0,blank,blank,GREEN PARK,碧翠苑,blank,blank,RAZOR HILL RD,碧翠路,29,blank,NSK,DD253LOT1175,|GREEN PARK碧翠苑|Phase |Block ,碧翠路GREEN PARK碧翠苑|Phase|Block,碧翠路GREEN PARK碧翠苑|Phase|Block|2|4A,西貢,1988,32,GREEN PARK碧翠苑,29 RAZOR HILL RD|碧翠路,29 RAZOR HILL RD,29 碧翠路,"碧翠苑,碧翠路","GREEN PARK,RAZOR HILL RD","GREEN PARK,RAZOR HILL RD|碧翠苑,碧翠路",RAZOR HILL RDblankGREEN PARK碧翠苑|Phaseblank|Blockblank|2|4Aconsid13.68,2
15433,19041600730131,ASP,2019-03-21,RES,blank,1991/12,5.8,638,478,9091,12134,blank,BW:11 SF (GE/NE) / ,5527113,19041600730131,A,7.0,2,blank,blank,blank,SAI KUNG GDN,西貢花園,CHAN MAN ST,親民街,16,blank,NSK,DD215LOT1007,SAI KUNG GDN||Phase |Block 2,親民街SAI KUNG GDN|Phase|Block2,親民街SAI KUNG GDN|Phase|Block2|7|A,西貢,1991,29,blankblank,16 CHAN MAN ST|親民街,16 CHAN MAN ST,16 親民街,"西貢花園2座,親民街","SAI KUNG GDN(BLOCK 2),CHAN MAN ST","SAI KUNG GDN(Block 2),CHAN MAN ST|西貢花園2座,親民街",CHAN MAN STSAI KUNG GDNblankblank|Phaseblank|Block2|7|Aconsid5.8,7
15436,19042302140067,ASP,2019-04-12,RES,blank,2017/10,9.701,0,599,0,16195,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5530438,19042302140067,H,6.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|6|H,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|6|Hconsid9.701,6
15437,19042500760098,ASP,2019-04-02,RES,blank,2017/10,7.3549,0,433,0,16986,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5531659,19042500760098,E,7.0,2,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 2,康村路PARK MEDITERRANEAN|Phase|Block2,康村路PARK MEDITERRANEAN|Phase|Block2|7|E,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯2座,康村路","PARK MEDITERRANEAN(BLOCK 2),HONG TSUEN RD","PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block2|7|Econsid7.3549,7
15440,19042601300022,ASP,2019-04-17,RES,blank,1999/01,13.3,1151,1021,11555,13026,blank,blank,5532714,19042601300022,A,3.0,1,blank,blank,blank,HILLVIEW COURT,曉嵐閣,KA SHUE RD,嘉澍路,11,blank,NSK,DD253LOT1119,HILLVIEW COURT||Phase |Block 1,嘉澍路HILLVIEW COURT|Phase|Block1,嘉澍路HILLVIEW COURT|Phase|Block1|3|A,西貢,1999,21,blankblank,11 KA SHUE RD|嘉澍路,11 KA SHUE RD,11 嘉澍路,"曉嵐閣1座,嘉澍路","HILLVIEW COURT(BLOCK 1),KA SHUE RD","HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",KA SHUE RDHILLVIEW COURTblankblank|Phaseblank|Block1|3|Aconsid13.3,3
15441,19042900280163,ASP,2019-04-10,RES,blank,2017/10,9.8291,0,590,0,16659,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5533461,19042900280163,C,6.0,1,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 1,康村路PARK MEDITERRANEAN|Phase|Block1,康村路PARK MEDITERRANEAN|Phase|Block1|6|C,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯1座,康村路","PARK MEDITERRANEAN(BLOCK 1),HONG TSUEN RD","PARK MEDITERRANEAN(Block 1),HONG TSUEN RD|逸瓏海匯1座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block1|6|Cconsid9.8291,6
15442,19042901690561,ASP,2019-04-08,RES,CP,1992/03,12.38,1045,856,11847,14463,blank,RF:840 SF / ,5534138,19042901690561,6A,2.0,blank,blank,blank,blank,GREENVIEW GDN,綠怡花園,RAZOR HILL RD,碧翠路,31,blank,NSK,DD253LOT1209,GREENVIEW GDN||Phase |Block ,碧翠路GREENVIEW GDN|Phase|Block,碧翠路GREENVIEW GDN|Phase|Block|2|6A,西貢,1992,28,blankblank,31 RAZOR HILL RD|碧翠路,31 RAZOR HILL RD,31 碧翠路,"綠怡花園,碧翠路","GREENVIEW GDN,RAZOR HILL RD","GREENVIEW GDN,RAZOR HILL RD|綠怡花園,碧翠路",RAZOR HILL RDGREENVIEW GDNblankblank|Phaseblank|Blockblank|2|6Aconsid12.38,2
15443,19050202080018,ASP,2019-04-04,RES,CP,1979/05,18.0,1704,1575,10563,11429,blank,blank,5535699,19050202080018,4,1.0,blank,blank,RISE PARK VILLAS,麗沙灣別墅,blank,blank,RAZOR HILL RD,碧翠路,38,blank,NSK,DD253LOT1124,|RISE PARK VILLAS麗沙灣別墅|Phase |Block ,碧翠路RISE PARK VILLAS麗沙灣別墅|Phase|Block,碧翠路RISE PARK VILLAS麗沙灣別墅|Phase|Block|1|4,西貢,1979,41,RISE PARK VILLAS麗沙灣別墅,38 RAZOR HILL RD|碧翠路,38 RAZOR HILL RD,38 碧翠路,"麗沙灣別墅,碧翠路","RISE PARK VILLAS,RAZOR HILL RD","RISE PARK VILLAS,RAZOR HILL RD|麗沙灣別墅,碧翠路",RAZOR HILL RDblankRISE PARK VILLAS麗沙灣別墅|Phaseblank|Blockblank|1|4consid18.0,1
15444,19050800550236,ASP,2019-04-23,RES,blank,1987/01,4.0,398,299,10050,13378,blank,blank,5539201,19050800550236,G,8.0,B,blank,blank,blank,SAI KUNG TOWN CTR,西貢苑,FUK MAN RD,福民路,22,40,NSK,DD215LOT986,SAI KUNG TOWN CTR||Phase |Block B,福民路SAI KUNG TOWN CTR|Phase|BlockB,福民路SAI KUNG TOWN CTR|Phase|BlockB|8|G,西貢,1987,33,blankblank,22-40 FUK MAN RD|福民路,22-40 FUK MAN RD,22-40 福民路,"西貢苑B座,福民路","SAI KUNG TOWN CTR(BLOCK B),FUK MAN RD","SAI KUNG TOWN CTR(Block B),FUK MAN RD|西貢苑B座,福民路",FUK MAN RDSAI KUNG TOWN CTRblankblank|Phaseblank|BlockB|8|Gconsid4.0,8
15445,19050800850100,ASP,2019-04-24,RES,blank,2017/10,10.7957,0,704,0,15335,blank,BAL:26 SF (NI) / UP:16 SF (NI) / ,5539312,19050800850100,N,6.0,2,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 2,康村路PARK MEDITERRANEAN|Phase|Block2,康村路PARK MEDITERRANEAN|Phase|Block2|6|N,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯2座,康村路","PARK MEDITERRANEAN(BLOCK 2),HONG TSUEN RD","PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block2|6|Nconsid10.7957,6
15447,19050900390017,ASP,2019-04-12,RES,blank,1987/12,6.78,650,544,10431,12463,blank,BW:9 SF (GI/NE) / ,5540047,19050900390017,C,5.0,A,3,DIORAMIC RISE,湖暉閣,MARINA COVE,匡湖居,HIRAM'S HIGHWAY,西貢公路,380,blank,NSK,DD210LOT526&EXT,MARINA COVE|DIORAMIC RISE湖暉閣|Phase 3|Block A,西貢公路MARINA COVEDIORAMIC RISE湖暉閣|Phase3|BlockA,西貢公路MARINA COVEDIORAMIC RISE湖暉閣|Phase3|BlockA|5|C,西貢,1987,33,DIORAMIC RISE湖暉閣,380 HIRAM'S HIGHWAY|西貢公路,380 HIRAM'S HIGHWAY,380 西貢公路,"湖暉閣,匡湖居,西貢公路","DIORAMIC RISE,MARINA COVE,HIRAM'S HIGHWAY","DIORAMIC RISE,MARINA COVE,HIRAM'S HIGHWAY|湖暉閣,匡湖居,西貢公路",HIRAM'S HIGHWAYMARINA COVEDIORAMIC RISE湖暉閣|Phase3|BlockA|5|Cconsid6.78,5
15448,19050900860011,ASP,2019-04-15,RES,blank,1979/05,21.5,1704,1622,12617,13255,+GDN:2525 SFCPS 2021 ON LG/F ,blank,5540260,19050900860011,1,,blank,blank,RISE PARK VILLAS,麗沙灣別墅,blank,blank,RAZOR HILL RD,碧翠路,38,blank,NSK,DD253LOT1124,|RISE PARK VILLAS麗沙灣別墅|Phase |Block ,碧翠路RISE PARK VILLAS麗沙灣別墅|Phase|Block,碧翠路RISE PARK VILLAS麗沙灣別墅|Phase|Block|G|1,西貢,1979,41,RISE PARK VILLAS麗沙灣別墅,38 RAZOR HILL RD|碧翠路,38 RAZOR HILL RD,38 碧翠路,"麗沙灣別墅,碧翠路","RISE PARK VILLAS,RAZOR HILL RD","RISE PARK VILLAS,RAZOR HILL RD|麗沙灣別墅,碧翠路",RAZOR HILL RDblankRISE PARK VILLAS麗沙灣別墅|Phaseblank|Blockblank|G|1consid21.5,G
15450,19051701060014,ASP,2019-04-23,RES,blank,2016/09,39.31,0,1700,0,23124,blank,GDN:424 SF / ,5545659,19051701060014,D,,9,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 9,清水灣道MOUNT PAVILIA|Phase|Block9,清水灣道MOUNT PAVILIA|Phase|Block9|G|D,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧9座,清水灣道","MOUNT PAVILIA(BLOCK 9),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 9),CLEAR WATER BAY RD|傲瀧9座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block9|G|Dconsid39.31,G
