,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
1627,19040800960219,ASP,2019-04-01,RES,blank,1969/10,3.2,0,249,0,12851,RF,blank,5522266,19040800960219,F.P.,2.0,blank,blank,blank,blank,blank,blank,STANLEY MARKET RD,赤柱市場道,12,blank,HSL,STIL33,||Phase |Block ,赤柱市場道|Phase|Block,赤柱市場道|Phase|Block|2|F.P.,赤柱,1969,51,blankblank,12 STANLEY MARKET RD|赤柱市場道,12 STANLEY MARKET RD,12 赤柱市場道,12 赤柱市場道,12 STANLEY MARKET RD,12 STANLEY MARKET RD|赤柱市場道,STANLEY MARKET RDblankblankblank|Phaseblank|Blockblank|2|F.P.consid3.2,2,中,中層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1637,19070200400032,ASP,2019-06-18,RES,blank,1993/12,5.3,626,427,8466,12412,blank,blank,5574516,19070200400032,11,,A,blank,LUNG CHUN HSE,龍駿閣,LUNG YAN COURT,龍欣苑,CAPE RD,環角道,60,blank,HSL,STIL88,LUNG YAN COURT|LUNG CHUN HSE龍駿閣|Phase |Block A,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA|G|11,赤柱,1993,27,LUNG CHUN HSE龍駿閣,60 CAPE RD|環角道,60 CAPE RD,60 環角道,"龍駿閣,龍欣苑,環角道","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD|龍駿閣,龍欣苑,環角道",CAPE RDLUNG YAN COURTLUNG CHUN HSE龍駿閣|Phaseblank|BlockA|G|11consid5.3,G,低,高層,東北,呂字型,基本,單位實用四正 交通方便 配套完善
1633,19052400740107,ASP,2019-05-16,RES,blank,1993/12,5.33,626,427,8514,12482,blank,blank,5551238,19052400740107,12,9.0,B,blank,LUNG TAN HSE,龍騰閣,LUNG YAN COURT,龍欣苑,CAPE RD,環角道,60,blank,HSL,STIL88,LUNG YAN COURT|LUNG TAN HSE龍騰閣|Phase |Block B,環角道LUNG YAN COURTLUNG TAN HSE龍騰閣|Phase|BlockB,環角道LUNG YAN COURTLUNG TAN HSE龍騰閣|Phase|BlockB|9|12,赤柱,1993,27,LUNG TAN HSE龍騰閣,60 CAPE RD|環角道,60 CAPE RD,60 環角道,"龍騰閣,龍欣苑,環角道","LUNG TAN HSE,LUNG YAN COURT,CAPE RD","LUNG TAN HSE,LUNG YAN COURT,CAPE RD|龍騰閣,龍欣苑,環角道",CAPE RDLUNG YAN COURTLUNG TAN HSE龍騰閣|Phaseblank|BlockB|9|12consid5.33,9,低,低層,東南,呂字型,有,業主減價 上車筍盤 歡迎約睇
1681,20062901590065,ASP,2020-06-10,RES,blank,1993/12,5.38,626,427,8594,12600,blank,blank,5730627,20062901590065,12,10.0,A,blank,LUNG CHUN HSE,龍駿閣,LUNG YAN COURT,龍欣苑,CAPE RD,環角道,60,blank,HSL,STIL88,LUNG YAN COURT|LUNG CHUN HSE龍駿閣|Phase |Block A,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA|10|12,赤柱,1993,27,LUNG CHUN HSE龍駿閣,60 CAPE RD|環角道,60 CAPE RD,60 環角道,"龍駿閣,龍欣苑,環角道","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD|龍駿閣,龍欣苑,環角道",CAPE RDLUNG YAN COURTLUNG CHUN HSE龍駿閣|Phaseblank|BlockA|10|12consid5.38,10,低,低層,東,呂字型,良好,單位實用四正 交通方便 配套完善
1650,19102501040067,ASP,2019-10-10,RES,blank,2000/08,5.5,552,417,9964,13189,blank,blank,5631866,19102501040067,22,7.0,D,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block D,環角道LUNG TAK COURT|Phase|BlockD,環角道LUNG TAK COURT|Phase|BlockD|7|22,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑D座,環角道","LUNG TAK COURT(BLOCK D),CAPE RD","LUNG TAK COURT(Block D),CAPE RD|龍德苑D座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockD|7|22consid5.5,7,很低,中層,西,四正,良好,單位實用四正 交通方便 配套完善
1679,20062201770375,ASP,2020-06-16,RES,blank,2000/08,5.5,552,417,9964,13189,blank,blank,5727450,20062201770375,13,4.0,D,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block D,環角道LUNG TAK COURT|Phase|BlockD,環角道LUNG TAK COURT|Phase|BlockD|4|13,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑D座,環角道","LUNG TAK COURT(BLOCK D),CAPE RD","LUNG TAK COURT(Block D),CAPE RD|龍德苑D座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockD|4|13consid5.5,4,很低,低層,北,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1632,19051600720027,ASP,2019-05-09,RES,blank,2000/08,5.7,559,421,10197,13539,blank,blank,5544597,19051600720027,8,1.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|1|8,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|1|8consid5.7,1,很低,低層,北,四正,基本,業主減價 上車筍盤 歡迎約睇
1619,19011401320018,ASP,2019-01-02,RES,blank,2000/08,5.86,552,417,10616,14053,blank,blank,5484221,19011401320018,2,2.0,C,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block C,環角道LUNG TAK COURT|Phase|BlockC,環角道LUNG TAK COURT|Phase|BlockC|2|2,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑C座,環角道","LUNG TAK COURT(BLOCK C),CAPE RD","LUNG TAK COURT(Block C),CAPE RD|龍德苑C座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockC|2|2consid5.86,2,很低,低層,東,四正,良好,業主減價 上車筍盤 歡迎約睇
1639,19072301310020,ASP,2019-07-08,RES,blank,2000/08,5.9,559,421,10555,14014,blank,blank,5585843,19072301310020,7,1.0,A,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block A,環角道LUNG TAK COURT|Phase|BlockA,環角道LUNG TAK COURT|Phase|BlockA|1|7,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑A座,環角道","LUNG TAK COURT(BLOCK A),CAPE RD","LUNG TAK COURT(Block A),CAPE RD|龍德苑A座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockA|1|7consid5.9,1,很低,中層,東南,沒資料,有,業主減價 上車筍盤 歡迎約睇
1624,19032600950032,ASP,2019-03-12,RES,blank,2000/08,7.0,699,527,10014,13283,blank,blank,5515592,19032600950032,6,4.0,C,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block C,環角道LUNG TAK COURT|Phase|BlockC,環角道LUNG TAK COURT|Phase|BlockC|4|6,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑C座,環角道","LUNG TAK COURT(BLOCK C),CAPE RD","LUNG TAK COURT(Block C),CAPE RD|龍德苑C座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockC|4|6consid7.0,4,很低,低層,西南,四正,基本,單位實用四正 交通方便 配套完善
1687,20072301630046,ASP,2020-07-16,RES,blank,1993/12,7.08,776,530,9124,13358,blank,blank,5744304,20072301630046,14,7.0,A,blank,LUNG CHUN HSE,龍駿閣,LUNG YAN COURT,龍欣苑,CAPE RD,環角道,60,blank,HSL,STIL88,LUNG YAN COURT|LUNG CHUN HSE龍駿閣|Phase |Block A,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA,環角道LUNG YAN COURTLUNG CHUN HSE龍駿閣|Phase|BlockA|7|14,赤柱,1993,27,LUNG CHUN HSE龍駿閣,60 CAPE RD|環角道,60 CAPE RD,60 環角道,"龍駿閣,龍欣苑,環角道","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD","LUNG CHUN HSE,LUNG YAN COURT,CAPE RD|龍駿閣,龍欣苑,環角道",CAPE RDLUNG YAN COURTLUNG CHUN HSE龍駿閣|Phaseblank|BlockA|7|14consid7.08,7,低,低層,西北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1682,20063000730018,ASP,2020-06-15,RES,blank,2000/08,7.58,698,526,10860,14411,blank,blank,5731117,20063000730018,12,6.0,D,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block D,環角道LUNG TAK COURT|Phase|BlockD,環角道LUNG TAK COURT|Phase|BlockD|6|12,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑D座,環角道","LUNG TAK COURT(BLOCK D),CAPE RD","LUNG TAK COURT(Block D),CAPE RD|龍德苑D座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockD|6|12consid7.58,6,很低,低層,東北,四正,有,業主減價 上車筍盤 歡迎約睇
1676,20061200700083,ASP,2020-06-01,RES,CP,1988/04,33.8,1544,1359,21891,24871,blank,blank,5722772,20061200700083,C,,blank,blank,BEACH POINTE,海灣閣,blank,blank,STANLEY BEACH RD,赤柱灘道,16,blank,HSL,RBL630,|BEACH POINTE海灣閣|Phase |Block ,赤柱灘道BEACH POINTE海灣閣|Phase|Block,赤柱灘道BEACH POINTE海灣閣|Phase|Block|G|C,赤柱,1988,32,BEACH POINTE海灣閣,16 STANLEY BEACH RD|赤柱灘道,16 STANLEY BEACH RD,16 赤柱灘道,"海灣閣,赤柱灘道","BEACH POINTE,STANLEY BEACH RD","BEACH POINTE,STANLEY BEACH RD|海灣閣,赤柱灘道",STANLEY BEACH RDblankBEACH POINTE海灣閣|Phaseblank|Blockblank|G|Cconsid33.8,G,低,中層,西南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1666,20041500190030,ASP,2020-04-08,RES,blank,1992/03,60.0,2434,2020,24651,29703,blank,GDN:411 SF / TERR:326 SF / ,5695843,20041500190030,21,,blank,blank,CARMEL HILL,海明山,blank,blank,CARMEL RD,佳美道,12,blank,HSL,RBL1095,|CARMEL HILL海明山|Phase |Block ,佳美道CARMEL HILL海明山|Phase|Block,佳美道CARMEL HILL海明山|Phase|Block||21,赤柱,1992,28,CARMEL HILL海明山,12 CARMEL RD|佳美道,12 CARMEL RD,12 佳美道,"海明山,佳美道","CARMEL HILL,CARMEL RD","CARMEL HILL,CARMEL RD|海明山,佳美道",CARMEL RDblankCARMEL HILL海明山|Phaseblank|Blockblank|blank|21consid60.0,blank,低,低層,西南,四正,基本,業主減價 上車筍盤 歡迎約睇
