,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2341664.8421052634,5660.210526315789,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2435840.0,5536.0,440.0,2607579.0,5967.0,437.0,2182593.0,5883.0,371.0,2183038.0,5837.0,374.0,2599960.0,5909.0,440.0,2545525.0,5825.0,437.0,1615741.0,5833.0,277.0,3357195.0000000005,6049.0,555.0,3136860.0,5652.0,555.0,1474239.9999999998,5420.0,272.0,1547532.0,5607.0,276.0,3119655.0,5621.0,555.0,2972580.0,5356.0,555.0,2353120.0,5348.0,440.0,2002396.0000000002,5354.0,374.0,2042414.0,5461.0,374.0,2039795.9999999998,5454.0,374.0,2101880.0,5620.0,374.0,2173688.0,5812.0,374.0,,0.03291466496973694,0.032914893821374136
2022-1-15,2594972.5263157897,6273.9473684210525,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2697640.0,6131.0,440.0,2887696.0,6608.0,437.0,2417065.0,6515.0,371.0,2417910.0,6465.0,374.0,2879360.0,6544.0,440.0,2819961.0,6453.0,437.0,1789420.0,6460.0,277.0,3718500.0,6700.0,555.0,3473745.0,6259.0,555.0,1662192.0,6111.0,272.0,1705956.0,6181.0,276.0,3454875.0,6225.0,555.0,3292260.0,5932.0,555.0,2610960.0,5934.0,440.0,2218194.0,5931.0,374.0,2261952.0,6048.0,374.0,2258960.0,6040.0,374.0,2314312.0,6188.0,374.0,2423520.0,6480.0,374.0,,-0.02454971527352301,-0.02454891371056822
2021-12-15,2660281.6842105263,6431.8421052631575,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2765400.0,6285.0,440.0,2960238.0,6774.0,437.0,2477538.0,6678.0,371.0,2478872.0,6628.0,374.0,2951960.0,6709.0,440.0,2891192.0,6616.0,437.0,1834294.0,6622.0,277.0,3812295.0,6869.0,555.0,3561435.0,6417.0,555.0,1704080.0,6265.0,272.0,1749012.0,6337.0,276.0,3541455.0,6381.0,555.0,3374954.9999999995,6081.0,555.0,2676960.0,6084.0,440.0,2273920.0,6080.0,374.0,2318800.0,6200.0,374.0,2315808.0,6192.0,374.0,2372656.0,6344.0,374.0,2484482.0,6643.0,374.0,,0.011908363802316968,0.01188208992299411
2021-11-15,2628974.8947368423,6356.315789473684,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2732400.0,6210.0,440.0,2924841.0,6693.0,437.0,2447858.0,6598.0,371.0,2448952.0,6548.0,374.0,2916319.9999999995,6628.0,440.0,2856669.0,6537.0,437.0,1812411.0,6543.0,277.0,3766229.9999999995,6786.0,555.0,3518145.0,6339.0,555.0,1683680.0,6190.0,272.0,1727760.0,6260.0,276.0,3499275.0,6305.0,555.0,3334440.0,6008.0,555.0,2645280.0,6012.0,440.0,2258212.0,6038.0,374.0,2291124.0,6126.0,374.0,2288132.0,6118.0,374.0,2344232.0,6268.0,374.0,2454562.0,6563.0,374.0,,-0.010169779767360776,-0.010187439043380708
2021-10-15,2655985.6842105263,6421.736842105263,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2759680.0,6272.0,440.0,2954120.0,6760.0,437.0,2482361.0,6691.0,371.0,2473636.0,6614.0,374.0,2945800.0,6695.0,440.0,2885511.0,6603.0,437.0,1830693.0,6609.0,277.0,3804525.0,6855.0,555.0,3553665.0,6403.0,555.0,1700543.9999999998,6252.0,272.0,1745147.9999999998,6323.0,276.0,3534240.0000000005,6368.0,555.0,3368295.0000000005,6069.0,555.0,2672560.0,6074.0,440.0,2281026.0,6099.0,374.0,2313938.0,6187.0,374.0,2310946.0,6179.0,374.0,2367794.0,6331.0,374.0,2479246.0,6629.0,374.0,,-0.004795442986150422,-0.0047960457092519615
2021-9-15,2668783.6842105263,6452.684210526316,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2772880.0,6302.0,440.0,2968104.0,6792.0,437.0,2494233.0,6723.0,371.0,2485604.0,6646.0,374.0,2959880.0,6727.0,440.0,2899495.0,6635.0,437.0,1839557.0,6641.0,277.0,3822840.0,6888.0,555.0,3570870.0,6434.0,555.0,1708703.9999999998,6282.0,272.0,1753704.0,6354.0,276.0,3551445.0,6399.0,555.0,3384390.0,6098.0,555.0,2685760.0,6104.0,440.0,2291872.0,6128.0,374.0,2325158.0,6217.0,374.0,2322166.0,6209.0,374.0,2379014.0,6361.0,374.0,2491214.0,6661.0,374.0,,-0.0037701684325012197,-0.003988886361420696
2021-8-15,2678883.5263157897,6478.526315789473,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2782120.0,6323.0,440.0,2978155.0,6815.0,437.0,2502766.0,6746.0,371.0,2493832.0,6668.0,374.0,2969559.9999999995,6749.0,440.0,2909109.0,6657.0,437.0,1845651.0000000002,6663.0,277.0,3835605.0,6911.0,555.0,3582525.0,6455.0,555.0,1714688.0,6304.0,272.0,1781304.0,6454.0,276.0,3563100.0,6420.0,555.0,3395490.0,6118.0,555.0,2695440.0,6126.0,440.0,2299726.0,6149.0,374.0,2333012.0,6238.0,374.0,2330020.0,6230.0,374.0,2387242.0,6383.0,374.0,2499442.0,6683.0,374.0,,0.004737340891164843,0.004111332267432211
2021-7-15,2666252.5789473685,6452.0,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2759240.0,6271.0,440.0,2953683.0,6759.0,437.0,2480877.0,6687.0,371.0,2473262.0,6613.0,374.0,2944920.0,6693.0,440.0,2857106.0,6538.0,437.0,1830416.0,6608.0,277.0,3803970.0,6854.0,555.0,3553110.0,6402.0,555.0,1703807.9999999998,6264.0,272.0,1784340.0,6465.0,276.0,3533685.0000000005,6367.0,555.0,3367739.9999999995,6068.0,555.0,2673440.0000000005,6076.0,440.0,2324784.0,6216.0,374.0,2313564.0,6186.0,374.0,2310572.0,6178.0,374.0,2466156.0,6594.0,374.0,2524126.0,6749.0,374.0,,-0.008430012720425983,-0.008300030740854614
2021-6-15,2688920.210526316,6506.0,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2772880.0,6302.0,440.0,2968104.0,6792.0,437.0,2529478.0,6818.0,371.0,2473636.0,6614.0,374.0,2959880.0,6727.0,440.0,2907797.9999999995,6654.0,437.0,1853130.0,6690.0,277.0,3777330.0,6806.0,555.0,3570870.0000000005,6434.0,555.0,1713056.0,6298.0,272.0,1781028.0,6453.0,276.0,3551445.0,6399.0,555.0,3487065.0,6283.0,555.0,2687520.0,6108.0,440.0,2338996.0,6254.0,374.0,2325158.0,6217.0,374.0,2322166.0,6209.0,374.0,2501686.0,6689.0,374.0,2568258.0,6867.0,374.0,,,
2021-5-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2021-4-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2021-3-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2021-2-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2021-1-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-12-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-11-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-10-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-9-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-8-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-7-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-6-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-5-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-4-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-3-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-2-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2020-1-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-12-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-11-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-10-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-9-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-8-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-7-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-6-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-5-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-4-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-3-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-2-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2019-1-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2018-12-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2018-11-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2018-10-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2018-9-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
2018-8-15,,,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",,,440.0,,,437.0,,,371.0,,,374.0,,,440.0,,,437.0,,,277.0,,,555.0,,,555.0,,,272.0,,,276.0,,,555.0,,,555.0,,,440.0,,,374.0,,,374.0,,,374.0,,,374.0,,,374.0,,,
