,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7221600.0,16992.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7221600.0,16992.0,425.0,,,546.0,,0.05941766943076243,0.05941766943076243
2016-11-15,2268043.5,4671.5,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",1985175.0,4671.0,425.0,2550912.0,4672.0,546.0,,-0.003107537272316274,-0.003094323516858677
2016-10-15,2275113.5,4686.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",1991125.0,4685.0,425.0,2559102.0,4687.0,546.0,,0.07255457969743695,0.07255664911879145
2016-9-15,2121210.0,4369.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",1856400.0,4368.0,425.0,2386020.0,4370.0,546.0,,,
2016-8-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-7-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-6-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-5-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-4-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-3-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-2-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-1-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,485.5,,
