,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address_en,st_address_ch,st_addr_google,st_address,ch_address,en_address,ch_addr_google,en_addr_google,final_address,final_address_consid,floor_copy,time_adj_npsf
305,7114113,ASP,1997-05-07,RES,blank,1990/11,23.9,1993,1662,11992,14380.264741275572,blank,blank,5042849,7114113,1,21.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|21|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|21|1consid23.9",21,31494.566367287476
306,7121747,ASP,1997-05-26,RES,blank,1990/11,24.5,1993,1662,12293,14741.275571600481,CPS 27 ON CPL2/F ,blank,5045294,7121747,1,15.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,8,HP,blank,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|15|1,山頂,1990,30,,8-8 WONG NAI CHUNG GAP RD,8-8 黃泥涌峽道,"8-8 WONG NAI CHUNG GAP RD,Hong Kong",8-8 WONG NAI CHUNG GAP RD|8-8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|15|1consid24.5",15,32285.22493717754
309,7131963,ASP,1997-06-03,RES,blank,1990/11,25.0,1993,1662,12544,15042.117930204573,CPS 17 ON CP3/F ,blank,5058074,7131963,2,8.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,8,HP,blank,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|8|2,山頂,1990,30,,8-8 WONG NAI CHUNG GAP RD,8-8 黃泥涌峽道,"8-8 WONG NAI CHUNG GAP RD,Hong Kong",8-8 WONG NAI CHUNG GAP RD|8-8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|8|2consid25.0",8,31053.723757388696
312,7135193,ASP,1997-06-05,RES,blank,1983/11,39.5,2847,2580,13874,15310.077519379845,CPS 1314 ON G/F ,blank,5058802,7135193,B,1.0,blank,blank,CAMERON HSE,嘉樂苑,blank,,MAGAZINE GAP RD,馬己仙峽道,40,blank,HP,blank,|CAMERON HSE嘉樂苑|Phase |Block ,馬己仙峽道CAMERON HSE嘉樂苑|Phase|Block,馬己仙峽道CAMERON HSE嘉樂苑|Phase|Block|1|B,山頂,1983,37,CAMERON HSE嘉樂苑,40 MAGAZINE GAP RD,40 馬己仙峽道,"40 MAGAZINE GAP RD,Hong Kong",40 MAGAZINE GAP RD|40 馬己仙峽道,"嘉樂苑,馬己仙峽道","CAMERON HSE,MAGAZINE GAP RD","嘉樂苑,馬己仙峽道,香港","CAMERON HSE,MAGAZINE GAP RD,Hong Kong","CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道","CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道|1|Bconsid39.5",1,31606.913348043574
314,7137086,ASP,1997-06-02,RES,blank,1983/11,39.5,2847,2580,13874,15310.077519379845,CPS 16 ON G/F ,blank,5059082,7137086,B,2.0,blank,blank,CAMERON HSE,嘉樂苑,blank,,MAGAZINE GAP RD,馬己仙峽道,40,blank,HP,blank,|CAMERON HSE嘉樂苑|Phase |Block ,馬己仙峽道CAMERON HSE嘉樂苑|Phase|Block,馬己仙峽道CAMERON HSE嘉樂苑|Phase|Block|2|B,山頂,1983,37,CAMERON HSE嘉樂苑,40 MAGAZINE GAP RD,40 馬己仙峽道,"40 MAGAZINE GAP RD,Hong Kong",40 MAGAZINE GAP RD|40 馬己仙峽道,"嘉樂苑,馬己仙峽道","CAMERON HSE,MAGAZINE GAP RD","嘉樂苑,馬己仙峽道,香港","CAMERON HSE,MAGAZINE GAP RD,Hong Kong","CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道","CAMERON HSE,MAGAZINE GAP RD|嘉樂苑,馬己仙峽道|2|Bconsid39.5",2,31606.913348043574
324,7153309,MEM-ASP,1997-05-31,RES,blank,1965/04,18.0,0,2920,0,6164.3835616438355,CPS 252 ,blank,5050962,7153309,2,8.0,F,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block F,司徒拔道VILLA MONTE ROSA|Phase|BlockF,司徒拔道VILLA MONTE ROSA|Phase|BlockF|8|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD","玫瑰新村,F座,司徒拔道,香港","VILLA MONTE ROSA,Block F,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道","VILLA MONTE ROSA(Block F),STUBBS RD|玫瑰新村F座,司徒拔道|8|2consid18.0",8,13500.76585435565
331,7166082,ASP,1997-06-26,RES,blank,1965/04,16.6,2217,2074,7488,8003.857280617166,CPS 70 ,blank,5070315,7166082,1,1.0,D,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block D,司徒拔道VILLA MONTE ROSA|Phase|BlockD,司徒拔道VILLA MONTE ROSA|Phase|BlockD|1|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD","玫瑰新村,D座,司徒拔道,香港","VILLA MONTE ROSA,Block D,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道","VILLA MONTE ROSA(Block D),STUBBS RD|玫瑰新村D座,司徒拔道|1|1consid16.6",1,16523.575612099292
332,7168748,ASP,1997-06-14,RES,blank,1965/04,19.5,2217,2062,8796,9456.838021338506,CPS 96 ,blank,5072443,7168748,1,16.0,E,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block E,司徒拔道VILLA MONTE ROSA|Phase|BlockE,司徒拔道VILLA MONTE ROSA|Phase|BlockE|16|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村E座,司徒拔道","VILLA MONTE ROSA(Block E),STUBBS RD","玫瑰新村,E座,司徒拔道,香港","VILLA MONTE ROSA,Block E,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道","VILLA MONTE ROSA(Block E),STUBBS RD|玫瑰新村E座,司徒拔道|16|1consid19.5",16,19523.183962234925
335,7178244,ASP,1997-06-05,RES,blank,1990/11,24.15,1993,1662,12117,14530.685920577618,CPS 20 ON CPL1/F ,blank,5076152,7178244,2,8.0,A,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block A,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA,黃泥涌峽道NICHOLSON TOWER|Phase|BlockA|8|2,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD","蔚豪苑,A座,黃泥涌峽道,香港","NICHOLSON TOWER,Block A,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道","NICHOLSON TOWER(Block A),WONG NAI CHUNG GAP RD|蔚豪苑A座,黃泥涌峽道|8|2consid24.15",8,29997.897149637483
337,7180598,ASP,1997-06-26,RES,blank,1970/11,16.0,2600,2380,6154,6722.689075630252,CPS 220 ON 2/F ,blank,5076678,7180598,2,16.0,B,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block B,司徒拔道EVERGREEN VILLA|Phase|BlockB,司徒拔道EVERGREEN VILLA|Phase|BlockB|16|2,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD","松柏新村,B座,司徒拔道,香港","EVERGREEN VILLA,Block B,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道","EVERGREEN VILLA(Block B),STUBBS RD|松柏新村B座,司徒拔道|16|2consid16.0",16,13878.665918596305
340,7185783,ASP,1997-06-12,RES,blank,1990/11,24.75,1993,1662,12418,14891.696750902527,CPS 88A ONCPL3/F ,blank,5077863,7185783,1,25.0,B,blank,blank,,NICHOLSON TOWER,蔚豪苑,WONG NAI CHUNG GAP RD,黃泥涌峽道,8,blank,HP,blank,NICHOLSON TOWER||Phase |Block B,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB,黃泥涌峽道NICHOLSON TOWER|Phase|BlockB|25|1,山頂,1990,30,,8 WONG NAI CHUNG GAP RD,8 黃泥涌峽道,"8 WONG NAI CHUNG GAP RD,Hong Kong",8 WONG NAI CHUNG GAP RD|8 黃泥涌峽道,"蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD","蔚豪苑,B座,黃泥涌峽道,香港","NICHOLSON TOWER,Block B,WONG NAI CHUNG GAP RD,Hong Kong","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道","NICHOLSON TOWER(Block B),WONG NAI CHUNG GAP RD|蔚豪苑B座,黃泥涌峽道|25|1consid24.75",25,30743.186519814808
344,7192008,ASP,1997-06-23,RES,blank,1965/10,46.98,3250,2900,14455,16200.0,CPS 6A ON LG/F ,blank,5080210,7192008,A,6.0,blank,blank,EREDINE,七重天大廈,blank,,MOUNT KELLETT RD,加列山道,38,blank,HP,blank,|EREDINE七重天大廈|Phase |Block ,加列山道EREDINE七重天大廈|Phase|Block,加列山道EREDINE七重天大廈|Phase|Block|6|A,山頂,1965,55,EREDINE七重天大廈,38 MOUNT KELLETT RD,38 加列山道,"38 MOUNT KELLETT RD,Hong Kong",38 MOUNT KELLETT RD|38 加列山道,"七重天大廈,加列山道","EREDINE,MOUNT KELLETT RD","七重天大廈,加列山道,香港","EREDINE,MOUNT KELLETT RD,Hong Kong","EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道","EREDINE,MOUNT KELLETT RD|七重天大廈,加列山道|6|Aconsid46.98",6,33444.11519733745
348,7205287,ASP,1997-07-29,RES,blank,1965/04,25.0,0,2590,0,9652.509652509652,CPS 279 ,blank,5084038,7205287,2,19.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|19|2,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|19|2consid25.0",19,21274.400427119414
351,7216261,ASP,1997-07-19,RES,blank,1972/08,13.5,1720,1520,7849,8881.578947368422,CPS 130 ON 1/F ,blank,5086240,7216261,1,9.0,F,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block F,司徒拔道EVERGREEN VILLA|Phase|BlockF,司徒拔道EVERGREEN VILLA|Phase|BlockF|9|1,山頂,1972,48,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD","松柏新村,F座,司徒拔道,香港","EVERGREEN VILLA,Block F,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道","EVERGREEN VILLA(Block F),STUBBS RD|松柏新村F座,司徒拔道|9|1consid13.5",9,19575.247656163956
353,7221039,ASP,1997-07-28,RES,blank,1970/11,17.8,2600,2380,6846,7478.991596638655,CPS 126 ON 1/F ,blank,5088148,7221039,2,1.0,A,blank,blank,,EVERGREEN VILLA,松柏新村,STUBBS RD,司徒拔道,43,blank,HP,blank,EVERGREEN VILLA||Phase |Block A,司徒拔道EVERGREEN VILLA|Phase|BlockA,司徒拔道EVERGREEN VILLA|Phase|BlockA|1|2,山頂,1970,50,,43 STUBBS RD,43 司徒拔道,"43 STUBBS RD,Hong Kong",43 STUBBS RD|43 司徒拔道,"松柏新村A座,司徒拔道","EVERGREEN VILLA(Block A),STUBBS RD","松柏新村,A座,司徒拔道,香港","EVERGREEN VILLA,Block A,STUBBS RD,Hong Kong","EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道","EVERGREEN VILLA(Block A),STUBBS RD|松柏新村A座,司徒拔道|1|2consid17.8",1,16483.906025059816
358,7262633,ASP,1997-08-27,RES,blank,1965/04,23.5,0,2580,0,9108.527131782947,CPS 45195 ,blank,5103104,7262633,1,3.0,A,blank,blank,,VILLA MONTE ROSA,玫瑰新村,STUBBS RD,司徒拔道,41A,blank,HP,blank,VILLA MONTE ROSA||Phase |Block A,司徒拔道VILLA MONTE ROSA|Phase|BlockA,司徒拔道VILLA MONTE ROSA|Phase|BlockA|3|1,山頂,1965,55,,41A STUBBS RD,41A 司徒拔道,"41A STUBBS RD,Hong Kong",41A STUBBS RD|41A 司徒拔道,"玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD","玫瑰新村,A座,司徒拔道,香港","VILLA MONTE ROSA,Block A,STUBBS RD,Hong Kong","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道","VILLA MONTE ROSA(Block A),STUBBS RD|玫瑰新村A座,司徒拔道|3|1consid23.5",3,19259.143697939733
