,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5576152.5,9159.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6171048.0,9022.0,684.0,6243552.0,9128.0,684.0,4905415.0,9169.0,535.0,4984595.0,9317.0,535.0,,-0.0365289555000774,-0.03602157610840684
2022-1-15,6816503.75,11191.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7586244.0,11091.0,684.0,7639596.0,11169.0,684.0,6004305.0,11223.0,535.0,6035870.0,11282.0,535.0,,0.002826788634895827,0.002800179211469578
2021-12-15,6797289.25,11160.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7563672.0,11058.0,684.0,7616340.000000001,11135.0,684.0,5989325.0,11195.0,535.0,6019820.0,11252.0,535.0,,-0.020188985061977416,-0.020214657272667358
2021-11-15,6937347.25,11390.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7718255.999999999,11284.0,684.0,7771607.999999999,11362.0,684.0,6114515.0,11429.0,535.0,6145010.0,11486.0,535.0,,0.02503595554385818,0.02501743571283943
2021-10-15,6767906.25,11112.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7528788.0,11007.0,684.0,7580771.999999999,11083.0,684.0,5966320.0,11152.0,535.0,5995745.0,11207.0,535.0,,-0.02047723739492835,-0.020494061129597396
2021-9-15,6909391.5,11344.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7685424.0,11236.0,684.0,7738092.0,11313.0,684.0,6092045.0,11387.0,535.0,6122005.0,11443.0,535.0,,-0.009137211984974414,-0.009148871129743608
2021-8-15,6973106.25,11449.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7755876.000000001,11339.0,684.0,7808544.0,11416.0,684.0,6149290.0,11494.0,535.0,6178715.0,11549.0,535.0,,0.009519056481064547,0.009522549927258206
2021-7-15,6907354.75,11341.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7682688.0,11232.0,684.0,7735356.0,11309.0,684.0,6090975.0,11385.0,535.0,6120400.0,11440.0,535.0,,0.04503242675588903,0.045034668632374375
2021-6-15,6609703.75,10852.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7352316.000000001,10749.0,684.0,7401564.000000001,10821.0,684.0,5828290.0,10894.0,535.0,5856645.0,10947.0,535.0,,-0.0159593681684691,-0.01595829083078315
2021-5-15,6716901.25,11028.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7471332.0,10923.0,684.0,7521948.0,10997.0,684.0,5922985.0,11071.0,535.0,5951340.0,11124.0,535.0,,0.005265110393523287,0.0052638774952147305
2021-4-15,6681721.25,10971.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7432344.0,10866.0,684.0,7482275.999999999,10939.0,684.0,5891955.0,11013.0,535.0,5920310.0,11066.0,535.0,,0.01677052782437416,0.016774791473586737
2021-3-15,6571513.5,10790.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7309908.0,10687.0,684.0,7359156.0,10759.0,684.0,5794585.0,10831.0,535.0,5822405.0,10883.0,535.0,,0.014526346349073238,0.014526820553805608
2021-2-15,6477420.25,10635.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7205255.999999999,10534.0,684.0,7253820.0,10605.0,684.0,5711660.0,10676.0,535.0,5738945.0,10727.0,535.0,,-0.0011713925025713667,-0.001666158214629343
2021-1-15,6485016.75,10653.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7128647.999999999,10422.0,684.0,7295544.0,10666.0,684.0,5744295.0,10737.0,535.0,5771580.0,10788.0,535.0,,0.027564281228960485,0.02756209307933455
2020-12-15,6311057.0,10367.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6937128.0,10142.0,684.0,7099920.0,10380.0,684.0,5590215.0,10449.0,535.0,5616965.0,10499.0,535.0,,0.0125781332510142,0.012550053716183118
2020-11-15,6232661.75,10239.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6852996.0,10019.0,684.0,7006896.0,10244.0,684.0,5522270.0,10322.0,535.0,5548485.0,10371.0,535.0,,-0.02096490534983042,-0.020964310472593395
2020-10-15,6366127.0,10458.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6999372.0,10233.0,684.0,7157376.0,10464.0,684.0,5640505.0,10543.0,535.0,5667255.0,10593.0,535.0,,-0.013502702934724442,-0.01346571078200165
2020-9-15,6453263.5,10601.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7077348.0,10347.0,684.0,7277075.999999999,10639.0,684.0,5729315.0,10709.0,535.0,5729315.0,10709.0,535.0,,0.034626922240452274,0.03462242283762351
2020-8-15,6237285.5,10246.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6840000.0,10000.0,684.0,7033572.0,10283.0,684.0,5537785.0,10351.0,535.0,5537785.0,10351.0,535.0,,-0.05110162712571953,-0.0510974254491573
2020-7-15,6573186.0,10798.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7208676.0,10539.0,684.0,7412508.0,10837.0,684.0,5835780.0,10908.0,535.0,5835780.0,10908.0,535.0,,0.024463936710399592,0.02564589665653494
2020-6-15,6416220.0,10528.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6962436.0,10179.0,684.0,7428924.0,10861.0,684.0,5636760.0,10536.0,535.0,5636760.0,10536.0,535.0,,-0.004706579030797187,-0.004703268653541648
2020-5-15,6446561.25,10577.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7041096.0,10294.0,684.0,7418664.0,10846.0,684.0,5624455.0,10513.0,535.0,5702030.0,10658.0,535.0,,0.008130412819343569,0.00781268608722585
2020-4-15,6394570.75,10495.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6967224.0,10186.0,684.0,7343424.0,10736.0,684.0,5625525.0,10515.0,535.0,5642110.0,10546.0,535.0,,0.0035732430668855564,0.0040176969986847055
2020-3-15,6371802.75,10453.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",6915240.0,10110.0,684.0,7389936.0,10804.0,684.0,5582725.0,10435.0,535.0,5599310.0,10466.0,535.0,,-0.09487149333585143,0.13912498637899096
2020-2-15,7039666.415416836,9177.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7658434.331127567,8855.0,684.0,7613461.029578315,8803.0,684.0,6517796.947494156,9635.0,535.0,6368973.353467304,9415.0,535.0,,0.003383363204265688,-0.007301638812266753
2020-1-15,7015928.979463976,9244.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7632593.190533514,8920.0,684.0,7586386.9088867875,8866.0,684.0,6497326.767683037,9708.0,535.0,6347409.050752567,9484.0,535.0,,0.026925669582109624,0.0166052674987629
2019-12-15,6831973.517926563,9093.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7432339.129825932,8774.0,684.0,7385749.358667918,8719.0,684.0,6328778.2919784365,9552.0,535.0,6181027.291233964,9329.0,535.0,,-0.014229690872366363,-0.10121077341240425
2019-11-15,6930593.724183658,10117.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7681746.798046199,8769.0,684.0,7714152.0,11278.0,684.0,5938500.0,11100.0,535.0,6387976.098688433,9323.0,535.0,,-0.0026893970592011263,0.01757562042694416
2019-10-15,6949283.105731769,9942.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7699981.646407212,8397.0,684.0,7735356.0,11309.0,684.0,5958295.0,11137.0,535.0,6403499.776519866,8928.0,535.0,,-0.003007886397872861,0.007600516835144733
2019-9-15,6970248.822354319,9867.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7720918.641182797,8215.0,684.0,7759296.0,11344.0,684.0,5980230.0,11178.0,535.0,6420550.648234481,8734.0,535.0,,-0.0618042994328305,-0.12290564863783837
2019-8-15,7429418.849543415,11250.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8090075.398173658,7888.0,684.0,8132760.0,11890.0,684.0,6761865.0,12639.0,535.0,6732975.0,12585.0,535.0,,0.04486438217435795,0.036697459052270176
2019-7-15,7110414.496169185,10852.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7722784.984676738,7866.0,684.0,7819488.000000001,11432.0,684.0,6454775.0,12065.0,535.0,6444610.0,12046.0,535.0,,-0.022661254252610674,-0.09368214464673463
2019-6-15,7275281.5,11974.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7992540.0,11685.0,684.0,7967916.0,11649.0,684.0,6575150.0,12290.0,535.0,6565520.0,12272.0,535.0,,-0.01113009864190262,-0.011679253848376092
2019-5-15,7357167.5,12115.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8124552.0,11878.0,684.0,7949448.0,11622.0,684.0,6681615.0,12489.0,535.0,6673055.0,12473.0,535.0,,0.0480453835912622,0.04805363321799305
2019-4-15,7019894.0,11560.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7753140.000000001,11335.0,684.0,7584876.0,11089.0,684.0,6374525.0,11915.0,535.0,6367035.0,11901.0,535.0,,0.013697176211460382,0.0135238804988711
2019-3-15,6925040.5,11405.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7617024.0,11136.0,684.0,7494588.0,10957.0,684.0,6297485.0,11771.0,535.0,6291065.0,11759.0,535.0,,0.028901984881469556,0.028912293362801877
2019-2-15,6730515.25,11085.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7403616.0,10824.0,684.0,7284600.0,10650.0,684.0,6119330.0,11438.0,535.0,6114515.0,11429.0,535.0,,0.018318302688661303,0.018326711526537087
2019-1-15,6609441.5,10885.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7271604.0,10631.0,684.0,7153272.0,10458.0,684.0,6008585.0,11231.0,535.0,6004305.0,11223.0,535.0,,0.002936987245918621,0.0029482897616031067
2018-12-15,6590086.5,10853.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7251084.0,10601.0,684.0,7132752.0,10428.0,684.0,5989860.0,11196.0,535.0,5986650.0,11190.0,535.0,,-0.038558934013657065,-0.038555230755602854
2018-11-15,6854384.25,11289.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7542468.0,11027.0,684.0,7418664.0,10846.0,684.0,6229005.0,11643.0,535.0,6227400.0,11640.0,535.0,,-0.0019810017916814804,-0.001768502962242513
2018-10-15,6867989.75,11309.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7544520.0,11030.0,684.0,7469964.000000001,10921.0,684.0,6229005.0,11643.0,535.0,6228470.0,11642.0,535.0,,-0.0809717239814618,-0.08096137827350114
2018-9-15,7473099.5,12305.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8210052.0,12003.0,684.0,8128656.0,11884.0,684.0,6776845.0,12667.0,535.0,6776845.0,12667.0,535.0,,0.016720945822236377,0.01673173452314547
2018-8-15,7350197.25,12102.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8075988.000000001,11807.0,684.0,7995276.0,11689.0,684.0,6664495.0,12457.0,535.0,6665030.0,12458.0,535.0,,0.007044049836107957,0.007051922116824816
2018-7-15,7298784.25,12018.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8020584.0,11726.0,684.0,7939188.0,11607.0,684.0,6616880.0,12368.0,535.0,6618485.0,12371.0,535.0,,-0.015151450240452724,-0.015140029911290487
2018-6-15,7411072.75,12202.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",8145072.000000001,11908.0,684.0,8061624.000000001,11786.0,684.0,6717460.0,12556.0,535.0,6720135.0,12561.0,535.0,,0.034282514195949965,0.03428474561905359
2018-5-15,7165424.0,11798.25,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7875576.000000001,11514.0,684.0,7794179.999999999,11395.0,684.0,6494365.0,12139.0,535.0,6497575.0,12145.0,535.0,,0.028742351110739195,0.02873024523160761
2018-4-15,6965227.0,11468.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7656696.0,11194.0,684.0,7573932.000000001,11073.0,684.0,6313535.0,11801.0,535.0,6316745.0,11807.0,535.0,,0.03668911488090809,0.03616117811808284
2018-3-15,6718723.0,11068.5,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7359156.0,10759.0,684.0,7277076.0,10639.0,684.0,6067970.0,11342.0,535.0,6170690.0,11534.0,535.0,,0.02212227590482807,0.022116538923261597
2018-2-15,6573306.5,10829.0,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7200468.0,10527.0,684.0,7118388.0,10407.0,684.0,5937430.0,11098.0,535.0,6036940.0,11284.0,535.0,,0.013411973806842337,0.013405703857941598
2018-1-15,6486312.25,10685.75,"HONG KONG GOLD COAST(Phase 2A),Block 8,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,8座,青山公路青山灣段",7106076.0,10389.0,684.0,7022628.0,10267.0,684.0,5859855.0,10953.0,535.0,5956690.0,11134.0,535.0,609.5,,
